1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,335676.00,30289.00,30289.00,0.00,0.00,0.00,305387.00,335676.00,335676.00,30289.00,305387.00,335676.00,0.00
1972:Q2,343066.00,32423.00,32423.00,0.00,0.00,0.00,310643.00,343066.00,343066.00,32423.00,310643.00,343066.00,0.00
1972:Q3,350618.00,32693.00,32693.00,0.00,0.00,0.00,317925.00,350618.00,350618.00,32693.00,317925.00,350618.00,0.00
1972:Q4,358252.00,33364.00,33364.00,0.00,0.00,0.00,324888.00,358252.00,358252.00,33364.00,324888.00,358252.00,0.00
1973:Q1,365800.00,33182.00,33182.00,0.00,0.00,0.00,332618.00,365800.00,365800.00,33182.00,332618.00,365800.00,0.00
1973:Q2,373504.00,35497.00,35497.00,0.00,0.00,0.00,338007.00,373504.00,373504.00,35497.00,338007.00,373504.00,0.00
1973:Q3,381358.00,35193.00,35193.00,0.00,0.00,0.00,346165.00,381358.00,381358.00,35193.00,346165.00,381358.00,0.00
1973:Q4,389264.00,35499.00,35499.00,0.00,0.00,0.00,353765.00,389264.00,389264.00,35499.00,353765.00,389264.00,0.00
1974:Q1,397053.00,35113.00,35113.00,0.00,0.00,0.00,361940.00,397053.00,397053.00,35113.00,361940.00,397053.00,0.00
1974:Q2,404960.00,38912.00,38912.00,0.00,0.00,0.00,366048.00,404960.00,404960.00,38912.00,366048.00,404960.00,0.00
1974:Q3,412981.00,38126.00,38126.00,0.00,0.00,0.00,374855.00,412981.00,412981.00,38126.00,374855.00,412981.00,0.00
1974:Q4,421024.00,38238.00,38238.00,0.00,0.00,0.00,382786.00,421024.00,421024.00,38238.00,382786.00,421024.00,0.00
1975:Q1,428928.00,37947.00,37947.00,0.00,0.00,0.00,390981.00,428928.00,428928.00,37947.00,390981.00,428928.00,0.00
1975:Q2,436949.00,43043.00,43043.00,0.00,0.00,0.00,393906.00,436949.00,436949.00,43043.00,393906.00,436949.00,0.00
1975:Q3,445099.00,41962.00,41962.00,0.00,0.00,0.00,403137.00,445099.00,445099.00,41962.00,403137.00,445099.00,0.00
