date,FL892150005.Q,FL712151003.Q,FL762150005.Q,FL762152005.Q,FL762151005.Q,FL752150005.Q,FL752152005.Q,FL752151005.Q,FL472150053.Q,FL512151003.Q,FL542151073.Q,FL402150005.Q,FL642151073.Q,FL662151003.Q,FL732151003.Q,FL262151003.Q,FL892050005.Q,FL102051003.Q,FL212051003.Q,FL712051000.Q,FL762050005.Q,FL762052005.Q,FL762051005.Q,FL752050005.Q,FL752052005.Q,FL752051005.Q,FL472050053.Q,FL472052053.Q,FL472051053.Q,FL512051003.Q,FL542051073.Q,FL572051005.Q,FL222051043.Q,FL632051000.Q,FL652051003.Q,FL402050005.Q,FL402052033.Q,FL662051003.Q,FL732051003.Q,FL502051003.Q,FL262051003.Q,FL902050005.Q,FL072052006.Q,FL712151103.Q,FL632051103.Q,FL792051115.Q
1959:Q4,133.00,0.00,122.00,ND,ND,11.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1188.00,0.00,576.00,73.00,140.00,ND,ND,12.00,ND,ND,0.00,ND,ND,0.00,0.00,235.00,0.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,-1055.00,3.99,0.00,0.00,0.00
1960:Q1,1865.00,0.00,1856.00,ND,ND,9.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1837.00,0.00,154.00,125.00,1121.00,ND,ND,12.00,ND,ND,0.00,ND,ND,0.00,0.00,245.00,0.00,0.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,3.84,0.00,0.00,0.00
1960:Q2,1434.00,0.00,1427.00,ND,ND,7.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1790.00,0.00,0.00,225.00,1109.00,ND,ND,12.00,ND,ND,0.00,ND,ND,0.00,0.00,255.00,0.00,0.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,-356.00,3.32,0.00,0.00,0.00
1960:Q3,1099.00,0.00,1093.00,ND,ND,6.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1868.00,0.00,155.00,325.00,900.00,ND,ND,13.00,ND,ND,0.00,ND,ND,0.00,0.00,266.00,0.00,0.00,209.00,0.00,0.00,0.00,0.00,0.00,0.00,-769.00,2.60,0.00,0.00,0.00
1960:Q4,108.00,0.00,104.00,ND,ND,4.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,984.00,0.00,-176.00,420.00,272.00,ND,ND,13.00,ND,ND,0.00,ND,ND,0.00,0.00,275.00,0.00,0.00,177.00,3.00,0.00,0.00,0.00,0.00,0.00,-876.00,1.98,0.00,0.00,0.00
1961:Q1,1338.00,0.00,1331.00,ND,ND,7.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2196.00,0.00,79.00,310.00,1269.00,ND,ND,14.00,ND,ND,0.00,ND,ND,0.00,0.00,284.00,0.00,0.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,-858.00,2.02,0.00,0.00,0.00
1961:Q2,316.00,0.00,306.00,ND,ND,10.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1037.00,0.00,0.00,260.00,267.00,ND,ND,16.00,ND,ND,0.00,ND,ND,0.00,0.00,291.00,0.00,0.00,203.00,0.00,0.00,0.00,0.00,0.00,0.00,-721.00,1.73,0.00,0.00,0.00
1961:Q3,1622.00,0.00,1613.00,ND,ND,9.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2724.00,0.00,556.00,210.00,1389.00,ND,ND,15.00,ND,ND,0.00,ND,ND,0.00,0.00,298.00,0.00,0.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,-1102.00,1.88,0.00,0.00,0.00
1961:Q4,274.00,0.00,267.00,ND,ND,7.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,836.00,0.00,-55.00,162.00,233.00,ND,ND,15.00,ND,ND,0.00,ND,ND,0.00,0.00,307.00,0.00,0.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,-562.00,2.33,0.00,0.00,0.00
1962:Q1,1693.00,0.00,1688.00,ND,ND,5.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2444.00,0.00,41.00,220.00,1532.00,ND,ND,14.00,ND,ND,0.00,ND,ND,0.00,0.00,321.00,0.00,0.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,-751.00,2.85,0.00,0.00,0.00
1962:Q2,560.00,0.00,557.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1363.00,0.00,0.00,270.00,488.00,ND,ND,13.00,ND,ND,0.00,ND,ND,0.00,0.00,338.00,0.00,0.00,254.00,0.00,0.00,0.00,0.00,0.00,0.00,-803.00,2.68,0.00,0.00,0.00
1962:Q3,1388.00,0.00,1386.00,ND,ND,2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3027.00,0.00,912.00,320.00,1154.00,ND,ND,13.00,ND,ND,0.00,ND,ND,0.00,0.00,355.00,0.00,0.00,273.00,0.00,0.00,0.00,0.00,0.00,0.00,-1639.00,2.90,0.00,0.00,0.00
1962:Q4,671.00,0.00,668.00,ND,ND,3.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2126.00,0.00,466.00,400.00,589.00,ND,ND,13.00,ND,ND,0.00,ND,ND,0.00,0.00,369.00,0.00,0.00,289.00,0.00,0.00,0.00,0.00,0.00,0.00,-1455.00,2.93,0.00,0.00,0.00
1963:Q1,2186.00,0.00,2180.00,ND,ND,6.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2858.00,0.00,-1.00,320.00,1828.00,ND,ND,15.00,ND,ND,0.00,ND,ND,0.00,0.00,380.00,0.00,0.00,316.00,0.00,0.00,0.00,0.00,0.00,0.00,-672.00,2.98,0.00,0.00,0.00
