1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2008:Q1,412.00,412.00,4396.00,4396.00,-9972.00,-300.00,2356.00,0.00,-11840.00,-620.00,-16.00,448.00,0.00,0.00,109420.00,0.00,-2736.00,17108.00,50224.00,19648.00,193664.00,11808.00,11808.00,-2284.00,-30272.00,-32556.00,0.00,0.00,0.00
2008:Q2,4268.00,4268.00,1300.00,1300.00,7224.00,-68.00,412.00,0.00,4928.00,1172.00,48.00,732.00,0.00,0.00,286504.00,0.00,-2788.00,-25996.00,177008.00,-74152.00,360576.00,-8996.00,-8996.00,-12604.00,-12964.00,-25568.00,0.00,0.00,0.00
2008:Q3,516.00,516.00,1752.00,1752.00,-2784.00,-128.00,764.00,0.00,-5428.00,808.00,132.00,1068.00,0.00,0.00,-9672.00,0.00,-21248.00,14596.00,-129736.00,-96428.00,-242488.00,5052.00,5052.00,-178684.00,5436.00,-173248.00,0.00,0.00,0.00
2008:Q4,340.00,340.00,3056.00,3056.00,-11284.00,148.00,1084.00,0.00,-13640.00,-328.00,56.00,1396.00,0.00,0.00,68284.00,0.00,-23200.00,-35008.00,295356.00,114652.00,420084.00,-12112.00,-12112.00,336096.00,63536.00,399632.00,0.00,0.00,0.00
2009:Q1,552.00,552.00,5928.00,5928.00,6844.00,156.00,-2368.00,0.00,10400.00,-1340.00,-120.00,116.00,0.00,0.00,581856.00,0.00,-5820.00,-25444.00,-603024.00,-2044.00,-54476.00,-14028.00,-14028.00,-29196.00,64348.00,35152.00,0.00,0.00,0.00
2009:Q2,5188.00,5188.00,6752.00,6752.00,7224.00,-64.00,408.00,0.00,6420.00,352.00,36.00,72.00,0.00,0.00,-124740.00,0.00,16632.00,-54160.00,115136.00,90028.00,42896.00,-18420.00,-18420.00,-179512.00,-81272.00,-260784.00,0.00,0.00,0.00
2009:Q3,312.00,312.00,2688.00,2688.00,-2784.00,-136.00,772.00,0.00,-3040.00,-8.00,-64.00,-308.00,0.00,0.00,174580.00,0.00,27928.00,-17220.00,-187232.00,41764.00,39820.00,-5852.00,-5852.00,-98148.00,-42292.00,-140440.00,0.00,0.00,0.00
2009:Q4,552.00,552.00,2888.00,2888.00,-11284.00,136.00,1096.00,0.00,-10944.00,-548.00,4.00,-1028.00,0.00,0.00,35352.00,0.00,-1568.00,3544.00,-17476.00,-35668.00,-15816.00,1200.00,1200.00,12664.00,84496.00,97160.00,9568.00,4784.00,4784.00
2010:Q1,1940.00,1940.00,2460.00,2460.00,-3072.00,64.00,64.00,0.00,-2804.00,-28.00,-400.00,8.00,24.00,0.00,-89996.00,0.00,10940.00,-111240.00,73412.00,31184.00,-85700.00,98796.00,98796.00,-55608.00,-2740.00,-58348.00,13368.00,6684.00,6684.00
2010:Q2,5308.00,5308.00,1460.00,1460.00,-1872.00,-128.00,312.00,0.00,-2396.00,0.00,180.00,36.00,124.00,0.00,223700.00,0.00,15024.00,-9996.00,-53716.00,-135904.00,39108.00,-5288.00,-5288.00,-155128.00,-30888.00,-186016.00,10184.00,5092.00,5092.00
2010:Q3,1312.00,1312.00,264.00,264.00,384.00,304.00,1212.00,0.00,-1528.00,180.00,20.00,208.00,-12.00,0.00,74040.00,0.00,15452.00,-2656.00,-32380.00,77868.00,132324.00,-1400.00,-1400.00,106660.00,64680.00,171340.00,4992.00,2496.00,2496.00
2010:Q4,776.00,776.00,-648.00,-648.00,-6424.00,252.00,-76.00,0.00,-5352.00,-952.00,-132.00,-256.00,92.00,0.00,-74328.00,0.00,47520.00,-34036.00,-84648.00,69192.00,-76300.00,14552.00,14552.00,-21952.00,-138472.00,-160424.00,3096.00,1548.00,1548.00
2011:Q1,2276.00,2276.00,-924.00,-924.00,-1640.00,336.00,-148.00,0.00,-2008.00,52.00,0.00,220.00,-92.00,0.00,152572.00,0.00,7172.00,-60656.00,85632.00,-55052.00,129668.00,48608.00,48608.00,69468.00,39572.00,109040.00,-344.00,-172.00,-172.00
