1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,2566.00,2566.00,2566.00,3353.00,3267.00,86.00,-788.00,742.00,120.00,0.00,0.00,0.00,0.00,0.00,-313.00,0.00,-313.00,876.00,59.00,55.00,4.00,0.00,1530.00,317.00,-61.00,160.00,218.00,958.00,0.00,1.00,0.00,254.00
1957:Q2,2596.00,2596.00,2596.00,3401.00,3216.00,185.00,-806.00,-442.00,139.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,121.00,-768.00,66.00,59.00,7.00,0.00,364.00,1092.00,365.00,73.00,654.00,-328.00,0.00,1.00,0.00,-401.00
1957:Q3,2627.00,2627.00,2627.00,3475.00,3325.00,150.00,-848.00,49.00,177.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00,-26.00,-162.00,60.00,58.00,2.00,0.00,897.00,750.00,76.00,32.00,642.00,81.00,0.00,1.00,0.00,64.00
1957:Q4,2661.00,2661.00,2661.00,3085.00,3382.00,-297.00,-424.00,-79.00,230.00,0.00,0.00,0.00,0.00,0.00,259.00,0.00,259.00,-619.00,51.00,48.00,3.00,0.00,345.00,294.00,75.00,-31.00,250.00,-425.00,0.00,1.00,0.00,476.00
1958:Q1,2696.00,2696.00,2696.00,3855.00,3386.00,469.00,-1159.00,1273.00,384.00,0.00,0.00,0.00,0.00,0.00,-400.00,0.00,-400.00,1239.00,50.00,48.00,2.00,0.00,2432.00,461.00,-123.00,213.00,371.00,1263.00,0.00,2.00,0.00,706.00
1958:Q2,2724.00,2724.00,2724.00,3740.00,3424.00,316.00,-1016.00,567.00,558.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,72.00,-101.00,38.00,38.00,0.00,0.00,1583.00,1396.00,489.00,129.00,778.00,125.00,0.00,2.00,0.00,60.00
1958:Q3,2750.00,2750.00,2750.00,4074.00,3543.00,531.00,-1325.00,920.00,480.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,34.00,358.00,48.00,38.00,10.00,0.00,2245.00,1075.00,60.00,42.00,973.00,289.00,0.00,2.00,0.00,878.00
1958:Q4,2770.00,2770.00,2770.00,4279.00,3796.00,483.00,-1509.00,-3.00,150.00,0.00,0.00,0.00,0.00,0.00,295.00,0.00,295.00,-497.00,49.00,45.00,4.00,0.00,1506.00,868.00,129.00,33.00,706.00,-603.00,0.00,2.00,0.00,1239.00
1959:Q1,2785.00,2785.00,2785.00,3810.00,3826.00,-16.00,-1025.00,333.00,-165.00,0.00,0.00,0.00,0.00,0.00,-267.00,0.00,-267.00,702.00,63.00,58.00,5.00,0.00,1358.00,1465.00,87.00,339.00,1039.00,674.00,0.00,2.00,0.00,-783.00
1959:Q2,2798.00,2798.00,2798.00,3640.00,3991.00,-351.00,-842.00,-812.00,-492.00,0.00,0.00,0.00,0.00,0.00,133.00,0.00,133.00,-523.00,70.00,68.00,2.00,0.00,30.00,2381.00,611.00,286.00,1484.00,6.00,0.00,3.00,0.00,-2359.00
1959:Q3,2809.00,2809.00,2809.00,3514.00,4026.00,-512.00,-705.00,-415.00,-562.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,-25.00,92.00,80.00,68.00,12.00,0.00,290.00,1589.00,293.00,10.00,1286.00,317.00,0.00,3.00,0.00,-1619.00
1959:Q4,2818.00,2818.00,2818.00,3537.00,3897.00,-360.00,-720.00,-1247.00,-380.00,0.00,0.00,0.00,0.00,0.00,481.00,0.00,481.00,-1414.00,66.00,61.00,5.00,0.00,-527.00,633.00,64.00,-116.00,685.00,-1407.00,0.00,3.00,0.00,243.00
1960:Q1,2823.00,2823.00,2823.00,4675.00,3888.00,787.00,-1852.00,755.00,-259.00,0.00,0.00,0.00,0.00,0.00,-561.00,0.00,-561.00,1521.00,54.00,48.00,6.00,0.00,2607.00,1175.00,121.00,216.00,838.00,1553.00,0.00,1.00,0.00,-122.00
1960:Q2,2831.00,2831.00,2831.00,4108.00,3755.00,353.00,-1277.00,-737.00,-193.00,0.00,0.00,0.00,0.00,0.00,161.00,0.00,161.00,-745.00,40.00,41.00,-1.00,0.00,540.00,1782.00,386.00,179.00,1217.00,-359.00,0.00,1.00,0.00,-884.00
1960:Q3,2840.00,2840.00,2840.00,4102.00,3665.00,438.00,-1262.00,51.00,-139.00,0.00,0.00,0.00,0.00,0.00,-98.00,0.00,-98.00,236.00,52.00,40.00,12.00,0.00,1313.00,1171.00,32.00,11.00,1128.00,253.00,0.00,1.00,0.00,-112.00
1960:Q4,2850.00,2850.00,2850.00,3334.00,3730.00,-396.00,-484.00,-468.00,-102.00,0.00,0.00,0.00,0.00,0.00,275.00,0.00,275.00,-692.00,51.00,47.00,4.00,0.00,16.00,648.00,-24.00,-87.00,759.00,-865.00,0.00,2.00,0.00,230.00
1961:Q1,2864.00,2864.00,2864.00,3759.00,3803.00,-43.00,-896.00,601.00,-27.00,0.00,0.00,0.00,0.00,0.00,-608.00,0.00,-608.00,1177.00,59.00,54.00,5.00,0.00,1497.00,1881.00,113.00,285.00,1483.00,993.00,0.00,2.00,0.00,-1380.00
1961:Q2,2879.00,2879.00,2879.00,4144.00,3930.00,215.00,-1266.00,-31.00,48.00,0.00,0.00,0.00,0.00,0.00,169.00,0.00,169.00,-310.00,62.00,61.00,1.00,0.00,1235.00,1802.00,243.00,80.00,1479.00,-361.00,0.00,3.00,0.00,-209.00
