1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q2,58784.00,14260.00,6956.00,15540.00,140.00,956.00,14444.00,22028.00,113428.00,34600.00,72128.00,12324.00,59804.00,-2496.00,62300.00,6700.00
2013:Q3,11012.00,16148.00,-492.00,-4144.00,4.00,-216.00,-3932.00,-500.00,9888.00,32700.00,-23236.00,18852.00,-42088.00,-1624.00,-40464.00,424.00
2013:Q4,16928.00,-18476.00,-1860.00,5388.00,4.00,-608.00,5992.00,31876.00,104768.00,64924.00,29772.00,-11360.00,41132.00,-2256.00,43388.00,10072.00
2014:Q1,32828.00,-3352.00,-460.00,4032.00,-4.00,-116.00,4152.00,32608.00,55292.00,33908.00,20044.00,8664.00,11380.00,-1484.00,12864.00,1340.00
2014:Q2,43524.00,15948.00,232.00,708.00,-16.00,-36.00,760.00,26636.00,73560.00,65928.00,-5772.00,-12320.00,6548.00,2800.00,3748.00,13404.00
2014:Q3,-17832.00,-744.00,-600.00,-1876.00,4.00,-132.00,-1748.00,-14612.00,20156.00,12356.00,4144.00,14004.00,-9860.00,-248.00,-9612.00,3656.00
2014:Q4,4380.00,12.00,2748.00,7560.00,20.00,12.00,7528.00,-5940.00,49504.00,2960.00,43556.00,14540.00,29016.00,4408.00,24608.00,2988.00
2015:Q1,30532.00,-2124.00,2896.00,436.00,172.00,40.00,224.00,29324.00,64296.00,29144.00,33292.00,16924.00,16368.00,3124.00,13244.00,1860.00
2015:Q2,-7680.00,-12948.00,-4472.00,1384.00,-148.00,-48.00,1580.00,8356.00,74108.00,32592.00,33240.00,19940.00,13300.00,3232.00,10068.00,8276.00
2015:Q3,26172.00,11380.00,1140.00,2140.00,12.00,172.00,1956.00,11512.00,71388.00,38944.00,21256.00,6904.00,14352.00,-2088.00,16440.00,11188.00
2015:Q4,-23360.00,-5380.00,-1244.00,-3620.00,-8.00,144.00,-3756.00,-13116.00,-28728.00,21420.00,-43244.00,-15280.00,-27964.00,-5384.00,-22580.00,-6904.00
2016:Q1,16724.00,1736.00,-616.00,-4864.00,24.00,96.00,-4984.00,20468.00,17588.00,25464.00,-6912.00,-3848.00,-3064.00,196.00,-3260.00,-964.00
2016:Q2,42816.00,13384.00,532.00,4404.00,72.00,212.00,4120.00,24496.00,37060.00,50332.00,-34688.00,-16708.00,-17980.00,2140.00,-20120.00,21416.00
2016:Q3,-6744.00,-1564.00,692.00,-2532.00,68.00,100.00,-2700.00,-3340.00,-9792.00,9516.00,-29980.00,-3356.00,-26624.00,1452.00,-28076.00,10672.00
