1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q4,-341.00,-98.00,42.00,-3.00,-53.00,54.00,104.00,0.00,0.00,-242.00,0.00,0.00,158.00,39.00,186.00,11.00,0.00,0.00,0.00,154.00,10.00,144.00,339.00,339.00,0.00,0.00,0.00,0.00,0.00,-124.00,0.00,-6.00,-118.00,0.00,0.00,0.00,554.00,499.00,55.00,26.00,26.00,-1389.00,-1389.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,503.00,268.00,19.00,5.00,24.00,38.00,93.00,0.00,0.00,89.00,0.00,0.00,172.00,43.00,116.00,99.00,0.00,0.00,0.00,178.00,10.00,168.00,-614.00,-614.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,5.00,88.00,0.00,0.00,0.00,1039.00,935.00,104.00,-313.00,-313.00,-363.00,-363.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,1414.00,232.00,69.00,168.00,-29.00,98.00,-232.00,0.00,0.00,158.00,0.00,0.00,13.00,3.00,-149.00,165.00,0.00,0.00,0.00,195.00,15.00,180.00,250.00,250.00,0.00,0.00,0.00,0.00,0.00,144.00,0.00,7.00,137.00,0.00,0.00,0.00,706.00,635.00,71.00,47.00,47.00,-176.00,-176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,594.00,133.00,49.00,-119.00,20.00,79.00,56.00,0.00,0.00,48.00,0.00,0.00,228.00,58.00,78.00,208.00,0.00,0.00,0.00,151.00,5.00,146.00,-34.00,-34.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,32.00,0.00,0.00,0.00,-409.00,-368.00,-41.00,78.00,78.00,357.00,357.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,1954.00,128.00,29.00,24.00,-19.00,-10.00,-19.00,0.00,0.00,123.00,0.00,0.00,288.00,71.00,196.00,163.00,0.00,0.00,0.00,129.00,10.00,119.00,245.00,245.00,0.00,0.00,0.00,0.00,0.00,-131.00,0.00,-6.00,-125.00,0.00,0.00,0.00,572.00,515.00,57.00,64.00,64.00,588.00,588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,80.00,526.00,46.00,-5.00,164.00,50.00,-24.00,0.00,0.00,295.00,0.00,0.00,163.00,41.00,-47.00,251.00,0.00,0.00,0.00,152.00,10.00,142.00,-504.00,-504.00,0.00,0.00,0.00,0.00,0.00,141.00,0.00,4.00,137.00,0.00,0.00,0.00,-157.00,-141.00,-16.00,373.00,373.00,-655.00,-655.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,1684.00,-268.00,32.00,172.00,-53.00,113.00,-13.00,0.00,0.00,-519.00,0.00,0.00,32.00,8.00,-115.00,155.00,0.00,0.00,0.00,175.00,25.00,150.00,392.00,392.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,8.00,127.00,0.00,0.00,0.00,60.00,54.00,6.00,460.00,460.00,690.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,87.00,594.00,59.00,-46.00,80.00,38.00,9.00,0.00,0.00,454.00,0.00,0.00,121.00,30.00,29.00,122.00,0.00,0.00,0.00,122.00,11.00,111.00,255.00,255.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,2.00,60.00,0.00,0.00,0.00,-371.00,-334.00,-37.00,-41.00,-41.00,-685.00,-685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,1887.00,304.00,29.00,-50.00,-44.00,25.00,95.00,0.00,0.00,249.00,0.00,0.00,208.00,53.00,194.00,67.00,0.00,0.00,0.00,110.00,11.00,99.00,538.00,538.00,0.00,0.00,0.00,0.00,0.00,-141.00,0.00,-6.00,-135.00,0.00,0.00,0.00,671.00,604.00,67.00,282.00,282.00,-138.00,-138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q1,-309.00,635.00,43.00,60.00,163.00,85.00,-60.00,0.00,0.00,344.00,0.00,0.00,-148.00,-37.00,-153.00,-32.00,0.00,0.00,0.00,126.00,11.00,115.00,-511.00,-511.00,0.00,0.00,0.00,0.00,0.00,146.00,0.00,4.00,142.00,0.00,0.00,0.00,184.00,166.00,18.00,-344.00,-344.00,-360.00,-360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1962:Q2,1704.00,576.00,56.00,114.00,-3.00,161.00,-44.00,0.00,0.00,292.00,0.00,0.00,-124.00,-32.00,-8.00,-148.00,0.00,0.00,0.00,159.00,12.00,147.00,616.00,616.00,0.00,0.00,0.00,0.00,0.00,197.00,0.00,8.00,189.00,0.00,0.00,0.00,40.00,36.00,4.00,-378.00,-378.00,650.00,650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
