1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q3,13.00,33.00,34350.00,-346.00,7076.00,773.00,273.00,-2016.00,304.00,-4144.00,-2694.00,4518.00,142.00,-23387.00,27927.00,23908.00,-4834.00,4547.00,22572.00,1623.00,34370.00,12702.00,21648.00
1998:Q4,13.00,33.00,37454.00,150.00,6686.00,1186.00,107.00,853.00,160.00,-4118.00,-9770.00,14581.00,-425.00,10392.00,3811.00,14694.00,-469.00,-523.00,15765.00,-79.00,37474.00,12911.00,24543.00
1999:Q1,12.00,30.00,5915.00,-269.00,-8984.00,4070.00,1167.00,17335.00,829.00,1884.00,8914.00,5708.00,453.00,-70119.00,21030.00,41232.00,259.00,-3114.00,39464.00,4623.00,5933.00,12890.00,-6975.00
1999:Q2,13.00,30.00,15174.00,428.00,-8423.00,2815.00,166.00,28435.00,731.00,7277.00,9413.00,11014.00,454.00,-49709.00,13470.00,27538.00,-2771.00,-3966.00,28767.00,5508.00,15191.00,13131.00,2043.00
1999:Q3,14.00,30.00,20900.00,330.00,-11561.00,5146.00,411.00,21019.00,610.00,7145.00,6121.00,7143.00,453.00,-53776.00,29837.00,29041.00,7113.00,-5037.00,21915.00,5050.00,20916.00,13007.00,7893.00
1999:Q4,14.00,31.00,29741.00,884.00,-10205.00,546.00,200.00,32545.00,468.00,571.00,12268.00,19238.00,453.00,-3037.00,1440.00,6915.00,-16469.00,-6253.00,25110.00,4527.00,29758.00,12415.00,17326.00
2000:Q1,12.00,24.00,37706.00,346.00,-2839.00,285.00,-945.00,-7930.00,-606.00,-2339.00,3319.00,-8304.00,213.00,40335.00,15244.00,-7003.00,-2241.00,-2014.00,-1291.00,-1457.00,37718.00,11691.00,26015.00
2000:Q2,12.00,25.00,17731.00,595.00,-8662.00,13.00,-1266.00,-31428.00,-866.00,-1384.00,-13277.00,-15901.00,89.00,-3255.00,31835.00,29810.00,-6029.00,-6779.00,42718.00,-100.00,17744.00,11415.00,6316.00
2000:Q3,12.00,26.00,19255.00,1133.00,-7228.00,2913.00,-1362.00,-33032.00,-919.00,-1785.00,-9053.00,-21275.00,44.00,3506.00,30995.00,22286.00,-7372.00,-5291.00,35532.00,-583.00,19269.00,11880.00,7375.00
2000:Q4,12.00,27.00,28979.00,1235.00,-4054.00,864.00,-1529.00,-48980.00,-1078.00,-3819.00,-12630.00,-31453.00,-112.00,23793.00,28866.00,28896.00,-6978.00,-5008.00,40979.00,-97.00,28993.00,12812.00,16167.00
2001:Q1,14.00,28.00,-7946.00,-1200.00,-12026.00,-3551.00,-4932.00,19306.00,-4508.00,6018.00,16676.00,1120.00,-1689.00,-4432.00,2745.00,-2167.00,-15993.00,-2230.00,48661.00,-32605.00,-7932.00,13632.00,-21578.00
