1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q1,1218625.00,15000.00,28238.00,191121.00,16000.00,18866.00,47620.00,1058.00,107577.00,8115.00,615.00,7500.00,141199.00,787032.00,47920.00,1225880.00,194398.00,772216.00,259266.00
2004:Q2,1233487.00,16000.00,29737.00,192180.00,15000.00,20096.00,45977.00,1055.00,110052.00,8365.00,615.00,7750.00,140669.00,801554.00,44982.00,1240780.00,196438.00,782354.00,261988.00
2004:Q3,1239348.00,17000.00,30428.00,192242.00,13000.00,21328.00,44329.00,1053.00,112532.00,8615.00,615.00,8000.00,136149.00,808221.00,46693.00,1245810.00,196592.00,794198.00,255020.00
2004:Q4,1332567.00,18345.00,26580.00,194009.00,12708.00,22560.00,42680.00,1052.00,115009.00,8880.00,621.00,8259.00,146721.00,892959.00,45073.00,1338830.00,211966.00,857718.00,269146.00
2005:Q1,1328106.00,19000.00,28191.00,195786.00,14027.00,21534.00,43739.00,1049.00,115437.00,9181.00,621.00,8560.00,147960.00,879869.00,48119.00,1334814.00,201926.00,853340.00,279548.00
2005:Q2,1361848.00,17000.00,26844.00,196463.00,14009.00,21064.00,44334.00,1043.00,116013.00,9481.00,621.00,8860.00,159307.00,913333.00,39420.00,1369185.00,195551.00,907751.00,265883.00
2005:Q3,1418880.00,17000.00,28610.00,197206.00,13991.00,20654.00,44941.00,1038.00,116582.00,9781.00,621.00,9160.00,166991.00,953126.00,46166.00,1426828.00,199520.00,947376.00,279932.00
2005:Q4,1454680.00,16913.00,26293.00,198556.00,13973.00,21455.00,44940.00,1051.00,117137.00,10057.00,572.00,9485.00,173350.00,976503.00,53008.00,1463500.00,198509.00,976155.00,288836.00
2006:Q1,1532771.00,17600.00,26780.00,199779.00,14507.00,21549.00,45491.00,1087.00,117145.00,10090.00,577.00,9513.00,173325.00,1039056.00,66141.00,1541661.00,213876.00,1040307.00,287478.00
2006:Q2,1523939.00,18300.00,32476.00,209548.00,15048.00,22511.00,52838.00,1249.00,117902.00,10472.00,572.00,9900.00,162031.00,1032443.00,58669.00,1532858.00,216644.00,1046519.00,269695.00
2006:Q3,1588859.00,19000.00,33663.00,214407.00,15594.00,22726.00,54469.00,1275.00,120343.00,10672.00,572.00,10100.00,161744.00,1084744.00,64629.00,1597590.00,229399.00,1103181.00,265010.00
2006:Q4,1701428.00,19594.00,32576.00,219207.00,16140.00,22857.00,56542.00,1274.00,122394.00,10880.00,580.00,10300.00,160739.00,1180475.00,77957.00,1711722.00,252476.00,1192120.00,267126.00
2007:Q1,1744998.00,19896.00,35242.00,224453.00,18113.00,22082.00,57615.00,1339.00,125304.00,10885.00,580.00,10305.00,156256.00,1208718.00,89548.00,1755123.00,257071.00,1215354.00,282698.00
2007:Q2,1838520.00,20265.00,36903.00,228420.00,20108.00,21171.00,58364.00,1397.00,127380.00,10824.00,559.00,10265.00,155123.00,1289313.00,97672.00,1848557.00,270889.00,1283450.00,294218.00
2007:Q3,1892627.00,22500.00,39795.00,233676.00,22125.00,20251.00,59503.00,1465.00,130332.00,10832.00,559.00,10273.00,149833.00,1341670.00,94321.00,1903084.00,279216.00,1324891.00,298977.00
2007:Q4,1884836.00,18340.00,40801.00,236855.00,24143.00,19448.00,60020.00,1503.00,131741.00,10950.00,552.00,10398.00,132633.00,1329635.00,115622.00,1896440.00,276451.00,1315515.00,304474.00
