1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,-246.00,2399.00,31990.00,-115.00,881.00,0.00,32129.00,-782.00,611.00,1827.00,1423.00,29050.00,1829.00,1681.00,148.00,-6000.00,9192.00,261.00,-6187.00,1.00,179.00,-6367.00,29947.00,0.00,-1554.00,37.00,11373.00,19984.00,413.00,176.00,-482.00,0.00,0.00,2740.00,1296.00,-4518.00,-4688.00
1995:Q3,-1097.00,2428.00,24527.00,-114.00,261.00,0.00,13574.00,1476.00,63.00,3474.00,-453.00,9014.00,4193.00,2320.00,1873.00,-3768.00,6897.00,-117.00,3601.00,1.00,180.00,3420.00,21509.00,0.00,-135.00,-13.00,6135.00,13076.00,436.00,369.00,1641.00,0.00,0.00,1115.00,1772.00,-1246.00,-6543.00
1995:Q4,-1109.00,2483.00,26377.00,-115.00,338.00,0.00,11827.00,-10735.00,-3735.00,-4582.00,-812.00,31691.00,362.00,4908.00,-4546.00,-4899.00,9304.00,240.00,9320.00,-9.00,179.00,9150.00,22330.00,0.00,-1200.00,-97.00,7782.00,9397.00,385.00,1075.00,4988.00,0.00,0.00,1424.00,2814.00,750.00,-7639.00
1996:Q1,-209.00,1843.00,18669.00,-218.00,702.00,0.00,12604.00,8731.00,-2284.00,-3762.00,439.00,9480.00,1677.00,1857.00,-180.00,-1603.00,11169.00,218.00,-5880.00,35.00,198.00,-6113.00,7841.00,0.00,-2215.00,631.00,3412.00,8455.00,115.00,194.00,-2751.00,0.00,0.00,201.00,1009.00,-3961.00,-12881.00
1996:Q2,4.00,1889.00,14732.00,-114.00,620.00,0.00,-1541.00,2368.00,-5146.00,-4494.00,-222.00,5953.00,1025.00,1207.00,-182.00,913.00,12376.00,183.00,1270.00,11.00,198.00,1061.00,13632.00,0.00,-281.00,70.00,6553.00,6718.00,110.00,106.00,356.00,0.00,0.00,979.00,2392.00,-3015.00,-2985.00
1996:Q3,169.00,1951.00,41110.00,-115.00,658.00,0.00,31419.00,-1945.00,1130.00,7786.00,271.00,24177.00,-1458.00,2958.00,-4416.00,454.00,10831.00,253.00,-932.00,2.00,197.00,-1131.00,31039.00,0.00,-768.00,-101.00,13605.00,5569.00,150.00,435.00,12149.00,0.00,0.00,1351.00,4871.00,5927.00,-11853.00
1996:Q4,863.00,2013.00,43541.00,-425.00,700.00,0.00,26035.00,-6207.00,-8068.00,1670.00,942.00,37698.00,-1667.00,-1469.00,-198.00,-3712.00,10267.00,185.00,12158.00,43.00,198.00,11917.00,48465.00,0.00,-5545.00,488.00,13844.00,31039.00,121.00,278.00,8240.00,0.00,0.00,5271.00,-3519.00,6488.00,3774.00
1997:Q1,-1517.00,1992.00,39967.00,-847.00,1134.00,0.00,21488.00,6771.00,-79.00,-992.00,131.00,15657.00,486.00,1757.00,-1271.00,-1399.00,12099.00,739.00,6267.00,2.00,84.00,6181.00,38423.00,0.00,-583.00,188.00,11041.00,14808.00,275.00,845.00,11849.00,0.00,0.00,2330.00,-5348.00,14867.00,-5052.00
1997:Q2,-1718.00,2040.00,48981.00,569.00,-260.00,0.00,37211.00,2554.00,526.00,2524.00,198.00,31409.00,2752.00,2003.00,749.00,-932.00,11700.00,123.00,-2182.00,5.00,83.00,-2270.00,40678.00,0.00,536.00,34.00,10261.00,25810.00,305.00,3692.00,40.00,0.00,0.00,2942.00,8295.00,-11197.00,-12061.00
1997:Q3,-1829.00,2139.00,43875.00,-362.00,-632.00,0.00,22172.00,6360.00,2532.00,3269.00,346.00,9665.00,-924.00,1026.00,-1950.00,-236.00,14114.00,-150.00,9893.00,227.00,84.00,9582.00,33950.00,0.00,-579.00,45.00,12290.00,19087.00,328.00,1002.00,1777.00,0.00,92.00,2831.00,4784.00,-5930.00,-13893.00
