1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,479424.00,302693.00,273308.00,29385.00,51020.00,16703.00,51506.00,50314.00,50050.00,38393.00,8413.00,3244.00,20936.00,17356.00,3580.00,29114.00,13508.00,10460.00,936.00,2112.00,15606.00,10577.00,3897.00,1132.00,264.00,1192.00,1395.00,-203.00,11306.00,45284.00,1232.00,1770.00,1308.00,462.00,0.00,374.00,479424.00,48739.00,20102.00,-3846.00,3356.00,541063.00
1961:Q1,481351.00,303740.00,273789.00,29951.00,52327.00,16918.00,50242.00,49103.00,49179.00,37241.00,8550.00,3388.00,20656.00,17096.00,3560.00,28523.00,13564.00,10256.00,936.00,2372.00,14959.00,9889.00,4054.00,1016.00,-76.00,1139.00,1339.00,-200.00,11770.00,45776.00,1572.00,1851.00,1320.00,531.00,0.00,299.00,481351.00,49125.00,20381.00,-1332.00,3576.00,545949.00
1961:Q2,491089.00,307960.00,277633.00,30327.00,52646.00,17083.00,54481.00,53111.00,52095.00,40661.00,8258.00,3176.00,22092.00,18660.00,3432.00,30003.00,13640.00,10464.00,956.00,2220.00,16363.00,11537.00,3870.00,956.00,1016.00,1370.00,1562.00,-192.00,12333.00,46463.00,2008.00,1870.00,1340.00,530.00,0.00,261.00,491089.00,49542.00,20654.00,-455.00,3400.00,557430.00
1961:Q3,500863.00,313005.00,282252.00,30753.00,53326.00,17286.00,57243.00,55357.00,55033.00,43463.00,8226.00,3344.00,23392.00,19964.00,3428.00,31641.00,13932.00,10536.00,924.00,2472.00,17709.00,12963.00,3874.00,872.00,324.00,1886.00,2065.00,-179.00,12721.00,47256.00,2172.00,1915.00,1368.00,547.00,0.00,283.00,500863.00,49991.00,20958.00,-82.00,3502.00,568228.00
1961:Q4,515470.00,319650.00,288403.00,31247.00,54494.00,17511.00,61816.00,59131.00,59311.00,47677.00,8278.00,3356.00,25420.00,21956.00,3464.00,33891.00,14468.00,11048.00,904.00,2516.00,19423.00,14673.00,3910.00,840.00,-180.00,2685.00,2846.00,-161.00,13461.00,48377.00,2304.00,1968.00,1416.00,552.00,0.00,497.00,515470.00,50472.00,21306.00,-2027.00,3597.00,581624.00
1962:Q1,524618.00,326196.00,293276.00,32920.00,55324.00,17740.00,62552.00,58784.00,58340.00,46562.00,8406.00,3372.00,23904.00,20488.00,3416.00,34436.00,14564.00,11392.00,816.00,2356.00,19872.00,14682.00,4174.00,1016.00,444.00,3768.00,3906.00,-138.00,13297.00,49396.00,2284.00,2034.00,1480.00,554.00,0.00,363.00,524618.00,50986.00,21728.00,1445.00,3601.00,595176.00
1962:Q2,531780.00,332140.00,298747.00,33393.00,54967.00,17950.00,62520.00,57902.00,58026.00,45728.00,8674.00,3624.00,23660.00,20128.00,3532.00,34366.00,14992.00,11680.00,740.00,2572.00,19374.00,13920.00,4402.00,1052.00,-124.00,4618.00,4746.00,-128.00,14253.00,49906.00,2384.00,2091.00,1532.00,559.00,0.00,337.00,531780.00,51514.00,22004.00,1273.00,3992.00,602579.00
1962:Q3,538179.00,334944.00,301175.00,33769.00,54888.00,18150.00,64243.00,59005.00,59757.00,47292.00,8749.00,3716.00,24364.00,20796.00,3568.00,35393.00,15180.00,11880.00,744.00,2556.00,20213.00,14616.00,4437.00,1160.00,-752.00,5238.00,5367.00,-129.00,14723.00,50888.00,2216.00,2146.00,1572.00,574.00,0.00,413.00,538179.00,52056.00,22504.00,887.00,4051.00,609575.00
1962:Q4,546180.00,338367.00,304234.00,34133.00,55761.00,18343.00,66858.00,61230.00,60694.00,47765.00,8553.00,4376.00,24452.00,20952.00,3500.00,36242.00,15372.00,11408.00,764.00,3200.00,20870.00,15405.00,4289.00,1176.00,536.00,5628.00,5769.00,-141.00,15123.00,51338.00,2208.00,2197.00,1612.00,585.00,0.00,401.00,546180.00,52612.00,22998.00,-3928.00,4730.00,613132.00
1963:Q1,553029.00,343401.00,307962.00,35439.00,55973.00,18543.00,67196.00,61412.00,60428.00,47875.00,8409.00,4144.00,24556.00,20924.00,3632.00,35872.00,15760.00,12056.00,952.00,2752.00,20112.00,14895.00,3825.00,1392.00,984.00,5784.00,5950.00,-166.00,14782.00,52005.00,2032.00,2438.00,1796.00,642.00,0.00,723.00,553029.00,53182.00,23329.00,-2354.00,4507.00,622679.00
