1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,36505.00,16777.00,12172.00,3581.00,5104.00,3884.00,9048.00,5576.00,2204.00,1236.00
1955:Q1,32505.00,22469.00,12776.00,6153.00,6908.00,4220.00,-2376.00,5504.00,204.00,-668.00
1955:Q2,41821.00,23197.00,13356.00,8169.00,13572.00,8067.00,-56.00,5108.00,4480.00,308.00
1955:Q3,37665.00,21241.00,12480.00,7577.00,11712.00,6869.00,-208.00,4920.00,3448.00,-64.00
1955:Q4,41745.00,17533.00,11708.00,6045.00,17392.00,14747.00,2168.00,4652.00,4784.00,544.00
1956:Q1,30677.00,17789.00,11036.00,5397.00,12676.00,10298.00,-4260.00,4472.00,1972.00,532.00
1956:Q2,19669.00,14965.00,11388.00,3445.00,15112.00,10718.00,-14836.00,4428.00,2232.00,1188.00
1956:Q3,27037.00,12881.00,10408.00,2953.00,12524.00,8414.00,-2464.00,4096.00,1612.00,400.00
1956:Q4,30093.00,13717.00,10404.00,2729.00,11032.00,9549.00,1408.00,3936.00,2404.00,1416.00
1957:Q1,37479.00,16227.00,9940.00,3195.00,12344.00,11175.00,4940.00,3968.00,532.00,1340.00
1957:Q2,16511.00,13823.00,8180.00,3027.00,14872.00,12077.00,-16612.00,4428.00,2896.00,804.00
1957:Q3,36555.00,11747.00,8340.00,2971.00,11004.00,7827.00,9008.00,4796.00,4500.00,404.00
1957:Q4,18067.00,6899.00,8056.00,1355.00,10260.00,7593.00,-4532.00,5440.00,4140.00,2640.00
1958:Q1,31725.00,8861.00,8100.00,-1263.00,9628.00,7945.00,7768.00,5468.00,1556.00,1636.00
1958:Q2,38713.00,7537.00,7940.00,-1107.00,8304.00,4369.00,17296.00,5576.00,4332.00,2324.00
1958:Q3,25933.00,13301.00,10400.00,781.00,10948.00,6355.00,-3676.00,5360.00,-8180.00,1828.00
1958:Q4,58409.00,17485.00,12772.00,2681.00,15660.00,10673.00,19148.00,6116.00,5224.00,2272.00
1959:Q1,47739.00,22375.00,12980.00,6559.00,10520.00,4866.00,9068.00,5776.00,1416.00,272.00
1959:Q2,56435.00,20887.00,12880.00,6779.00,20344.00,12532.00,9012.00,6192.00,9332.00,1236.00
1959:Q3,54907.00,24175.00,13692.00,8139.00,13272.00,6563.00,10608.00,6852.00,7320.00,840.00
1959:Q4,43079.00,20791.00,12588.00,9415.00,14464.00,10366.00,2536.00,5288.00,8548.00,172.00
1960:Q1,34540.00,18460.00,11876.00,3428.00,14904.00,10491.00,-4728.00,5904.00,2868.00,1412.00
1960:Q2,39076.00,18780.00,10092.00,6116.00,15916.00,10553.00,-1284.00,5664.00,6924.00,1676.00
1960:Q3,34152.00,17972.00,11700.00,3932.00,10104.00,5013.00,508.00,5568.00,4180.00,1448.00
1960:Q4,34932.00,14972.00,11448.00,2664.00,13964.00,9728.00,1072.00,4924.00,7568.00,2580.00
1961:Q1,35201.00,19109.00,11128.00,1685.00,9556.00,2396.00,956.00,5580.00,-7660.00,2580.00
1961:Q2,40849.00,14861.00,10612.00,-519.00,13404.00,7996.00,8180.00,4404.00,5764.00,40.00
1961:Q3,54489.00,17313.00,13196.00,2157.00,14064.00,5948.00,16768.00,6344.00,3348.00,2764.00
1961:Q4,52845.00,20917.00,15660.00,5425.00,19328.00,13236.00,6512.00,6088.00,11472.00,3540.00
1962:Q1,52207.00,22059.00,12072.00,3551.00,12924.00,6175.00,10240.00,6984.00,-4092.00,3640.00
1962:Q2,51259.00,17571.00,13548.00,8067.00,20540.00,12619.00,7572.00,5576.00,5600.00,1916.00
1962:Q3,46599.00,25883.00,15376.00,5235.00,17244.00,9684.00,-1376.00,4848.00,6804.00,-464.00
