1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q2,1800550.00,1800550.00,1101443.00,38408.00,33450.00,2447.00,2830.00,503.00,171464.00,308500.00,91084.00,50421.00
1995:Q3,1954042.00,1954042.00,1172754.00,42323.00,34385.00,2580.00,2830.00,594.00,190165.00,353986.00,98429.00,55996.00
1995:Q4,2058275.00,2058275.00,1210218.00,45668.00,35000.00,2323.00,2840.00,671.00,205365.00,392724.00,103189.00,60277.00
1996:Q1,2201626.00,2201626.00,1285952.00,50177.00,35763.00,2463.00,2870.00,755.00,224805.00,425959.00,107296.00,65586.00
1996:Q2,2351651.00,2351651.00,1373964.00,54306.00,39108.00,2311.00,2915.00,841.00,244190.00,452156.00,110790.00,71070.00
1996:Q3,2461780.00,2461780.00,1422429.00,57743.00,40493.00,2226.00,2746.00,927.00,262311.00,483812.00,113587.00,75506.00
1996:Q4,2623994.00,2623994.00,1450356.00,62566.00,41034.00,2610.00,2577.00,1040.00,285185.00,536840.00,160476.00,81310.00
1997:Q1,2686387.00,2686387.00,1468855.00,62961.00,40546.00,7085.00,2562.00,1140.00,298188.00,555280.00,165279.00,84491.00
1997:Q2,3051401.00,3051401.00,1646651.00,69664.00,38824.00,8304.00,2546.00,1365.00,348525.00,651303.00,188591.00,95628.00
1997:Q3,3368362.00,3368362.00,1813166.00,74632.00,35883.00,7922.00,2531.00,1573.00,391238.00,731126.00,204790.00,105501.00
1997:Q4,3409315.00,3409315.00,1831257.00,74492.00,33636.00,8126.00,2426.00,1674.00,398628.00,740922.00,210036.00,108118.00
1998:Q1,3840596.00,3840596.00,2065945.00,84641.00,30500.00,7104.00,2784.00,1902.00,459447.00,830815.00,236461.00,120997.00
1998:Q2,3977323.00,3977323.00,2157655.00,88194.00,32921.00,7000.00,3141.00,1989.00,485070.00,833026.00,242195.00,126132.00
1998:Q3,3622978.00,3622978.00,1965934.00,83020.00,26420.00,7029.00,3100.00,1873.00,440904.00,749151.00,227192.00,118355.00
1998:Q4,4173531.00,4173531.00,2213039.00,97645.00,34137.00,9147.00,3636.00,2201.00,524461.00,889897.00,264997.00,134371.00
1999:Q1,4327921.00,4327921.00,2249267.00,102125.00,33976.00,10060.00,3750.00,2268.00,551648.00,953675.00,281182.00,139970.00
1999:Q2,4651052.00,4651052.00,2397521.00,110629.00,33606.00,11010.00,3870.00,2423.00,601978.00,1038731.00,301278.00,150006.00
1999:Q3,4498393.00,4498393.00,2282668.00,109252.00,33204.00,10112.00,3990.00,2350.00,581844.00,1028757.00,298684.00,147532.00
1999:Q4,5233194.00,5233194.00,2651137.00,127331.00,33350.00,12387.00,2544.00,2702.00,713582.00,1182367.00,339403.00,168391.00
2000:Q1,5600779.00,5600779.00,2852713.00,132886.00,32914.00,13656.00,3210.00,2928.00,783020.00,1248153.00,351703.00,179596.00
2000:Q2,5463631.00,5463631.00,2742018.00,128352.00,32180.00,13489.00,2261.00,2935.00,766371.00,1253357.00,352367.00,170301.00
2000:Q3,5541139.00,5541139.00,2749199.00,128479.00,31653.00,13830.00,2200.00,3043.00,782026.00,1298077.00,364744.00,167888.00
2000:Q4,5119386.00,5119386.00,2466199.00,118041.00,30821.00,15044.00,2202.00,2914.00,726083.00,1246111.00,362504.00,149467.00
2001:Q1,4588723.00,4588723.00,2231645.00,106246.00,30090.00,17043.00,1980.00,2691.00,638667.00,1090945.00,341863.00,127553.00
2001:Q2,4887912.00,4887912.00,2426316.00,112361.00,29736.00,17251.00,3575.00,2909.00,681809.00,1126529.00,355177.00,132249.00
2001:Q3,4252626.00,4252626.00,2099917.00,99260.00,28624.00,16012.00,3100.00,2633.00,579772.00,992575.00,323753.00,106980.00
2001:Q4,4689603.00,4689603.00,2338432.00,108960.00,28139.00,21342.00,3740.00,2956.00,653568.00,1065212.00,351160.00,116094.00
2002:Q1,4812247.00,4812247.00,2349074.00,109114.00,27148.00,22339.00,3000.00,3396.00,679926.00,1145090.00,358031.00,115129.00
2002:Q2,4433260.00,4433260.00,2185636.00,99863.00,26128.00,18247.00,3970.00,3096.00,610581.00,1055669.00,331991.00,98079.00
2002:Q3,3898456.00,3898456.00,1911677.00,87756.00,24974.00,13595.00,3789.00,2707.00,522229.00,952392.00,293587.00,85750.00
