1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q3,36912.00,0.00,3592.00,6984.00,0.00,320.00,-176.00,-2972.00,260.00,1964.00,1244.00,1264.00,-1960.00,860.00,2596.00,23364.00,-108.00,75394.00,22333.00,13130.00,39331.00,0.00,600.00,50421.00,8055.00,9513.00,32853.00,24973.00,14278.00,3617.00,6478.00,0.00,600.00,15552.00,8340.00,3368.00,2971.00,40.00,833.00,1880.00,48213.00,6478.00,112.00,32.00,41655.00,37816.00,3839.00,332983.00,14.48,12.51,11.36,1.15
1957:Q4,29444.00,0.00,-7148.00,13676.00,0.00,-2652.00,36.00,-3372.00,-540.00,1928.00,-704.00,3128.00,-1824.00,728.00,2712.00,22764.00,-1940.00,73313.00,22217.00,13337.00,38947.00,0.00,-1188.00,50880.00,8189.00,9587.00,33104.00,22433.00,14028.00,3750.00,5843.00,0.00,-1188.00,8158.00,8056.00,1532.00,1355.00,-668.00,-2117.00,1708.00,45427.00,5843.00,116.00,28.00,39496.00,35859.00,3637.00,332703.00,13.65,11.87,10.78,1.09
1958:Q1,57044.00,0.00,9424.00,15412.00,0.00,1204.00,1348.00,-3652.00,-1268.00,1548.00,3228.00,1584.00,-1964.00,1304.00,2884.00,21576.00,5620.00,72793.00,21249.00,13099.00,36569.00,0.00,1876.00,52727.00,8115.00,9868.00,34744.00,20066.00,13134.00,3231.00,1825.00,0.00,1876.00,15884.00,8100.00,2776.00,-1263.00,1560.00,4711.00,1751.00,62978.00,1825.00,132.00,36.00,61057.00,37847.00,23210.00,334244.00,18.84,18.27,11.32,6.94
1958:Q2,42964.00,0.00,-5804.00,15472.00,0.00,5512.00,536.00,11224.00,-116.00,-3404.00,-2728.00,3404.00,-1568.00,1812.00,3100.00,21216.00,-180.00,71521.00,21341.00,13056.00,35862.00,0.00,1262.00,53690.00,8228.00,9947.00,35515.00,17831.00,13113.00,3109.00,347.00,0.00,1262.00,12232.00,7940.00,4232.00,-1107.00,2244.00,-1077.00,1693.00,50256.00,347.00,-516.00,36.00,50461.00,37843.00,12618.00,337089.00,14.91,14.97,11.23,3.74
1958:Q3,42216.00,0.00,15836.00,11212.00,0.00,-14556.00,-404.00,-17088.00,232.00,868.00,1836.00,2116.00,-772.00,1488.00,3176.00,21616.00,2100.00,74735.00,22842.00,13199.00,36569.00,0.00,2125.00,53822.00,8333.00,10032.00,35457.00,20913.00,14509.00,3167.00,1112.00,0.00,2125.00,19322.00,10400.00,4184.00,781.00,676.00,3281.00,1653.00,45460.00,1112.00,584.00,36.00,43800.00,39894.00,3906.00,344140.00,13.21,12.73,11.59,1.14
1958:Q4,38564.00,0.00,-2312.00,14300.00,0.00,304.00,-1072.00,-1960.00,-1368.00,4048.00,656.00,4364.00,-3384.00,1028.00,3132.00,22612.00,-1480.00,78783.00,25163.00,13917.00,37773.00,0.00,1930.00,54088.00,8428.00,10116.00,35544.00,24695.00,16735.00,3801.00,2229.00,0.00,1930.00,20380.00,12772.00,2592.00,2681.00,1244.00,1091.00,1684.00,44563.00,2229.00,-84.00,40.00,42458.00,40013.00,2445.00,348233.00,12.80,12.19,11.49,0.70
1959:Q1,58544.00,0.00,7340.00,10400.00,0.00,8088.00,796.00,3144.00,32.00,2744.00,1372.00,2500.00,-1568.00,1724.00,3184.00,23268.00,3608.00,82368.00,27962.00,13852.00,40618.00,0.00,-64.00,52750.00,8579.00,10136.00,34035.00,29618.00,19383.00,3716.00,6583.00,0.00,-64.00,31929.00,12980.00,5132.00,6559.00,604.00,6654.00,1691.00,57925.00,6583.00,172.00,44.00,51214.00,37842.00,13372.00,353634.00,16.38,14.48,10.70,3.78
1959:Q2,57804.00,0.00,2020.00,13544.00,0.00,14744.00,420.00,7772.00,3644.00,3340.00,-432.00,2024.00,-2472.00,1224.00,3208.00,24788.00,-1276.00,84344.00,28872.00,14568.00,42307.00,0.00,-1403.00,53699.00,8660.00,10216.00,34823.00,30645.00,20212.00,4352.00,7484.00,0.00,-1403.00,29123.00,12880.00,6584.00,6779.00,972.00,1908.00,1732.00,61058.00,7484.00,-716.00,40.00,54330.00,38704.00,15626.00,360706.00,16.93,15.06,10.73,4.33
1959:Q3,44064.00,0.00,5524.00,8060.00,0.00,2804.00,136.00,-2644.00,2288.00,2884.00,140.00,628.00,-4536.00,1484.00,3444.00,25376.00,1280.00,84362.00,28293.00,14999.00,43118.00,0.00,-2048.00,54223.00,8732.00,10291.00,35200.00,30139.00,19561.00,4708.00,7918.00,0.00,-2048.00,32600.00,13692.00,5552.00,8139.00,-4.00,5221.00,1882.00,43485.00,7918.00,1068.00,40.00,34539.00,34902.00,-363.00,362351.00,12.00,9.53,9.63,-0.10
1959:Q4,25876.00,0.00,-11636.00,10108.00,0.00,7824.00,-2000.00,3760.00,-228.00,6020.00,272.00,-1544.00,-4308.00,1244.00,3848.00,25172.00,-4832.00,81723.00,27535.00,14587.00,41040.00,0.00,-1439.00,54620.00,8797.00,10362.00,35461.00,27103.00,18738.00,4225.00,5579.00,0.00,-1439.00,19689.00,12588.00,2704.00,9415.00,888.00,-5906.00,1915.00,35205.00,5579.00,-268.00,36.00,29930.00,37144.00,-7214.00,366933.00,9.59,8.16,10.12,-1.97
