1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,82423.00,14493.00,31775.00,64049.00,38102.00,-5828.00,-17481.00,27022.00,44503.00,200.00,39586.00,39556.00,30.00,17628.00,13464.00,2190.00,1975.00,0.00,0.00,10716.00,2456484.00
1978:Q4,80896.00,26950.00,37343.00,69892.00,39429.00,-6880.00,-11005.00,53753.00,64758.00,612.00,44513.00,44549.00,-36.00,37377.00,13401.00,2368.00,3677.00,23513.00,5582.00,-27945.00,2537379.00
1979:Q1,87664.00,5354.00,38789.00,70866.00,40844.00,-8767.00,-31750.00,35875.00,67625.00,-1685.00,44932.00,44912.00,20.00,27469.00,17946.00,2264.00,7422.00,0.00,164.00,9909.00,2625043.00
1979:Q2,101525.00,18012.00,40275.00,72591.00,42312.00,-9996.00,-19151.00,30658.00,49809.00,-3112.00,51031.00,51014.00,17.00,27355.00,18177.00,3018.00,6161.00,0.00,0.00,5126.00,2726568.00
1979:Q3,108499.00,14339.00,39566.00,72369.00,43834.00,-11030.00,-23332.00,53080.00,76412.00,-1895.00,57221.00,57177.00,44.00,25261.00,17095.00,2938.00,5227.00,0.00,0.00,11679.00,2835067.00
1979:Q4,82999.00,13585.00,40142.00,75205.00,45408.00,-10345.00,-25413.00,39891.00,65304.00,-1144.00,42949.00,42938.00,11.00,46732.00,18515.00,3163.00,6055.00,26246.00,7246.00,-20267.00,2918066.00
1980:Q1,78831.00,10158.00,44069.00,77742.00,47037.00,-13364.00,-35286.00,37180.00,72465.00,1375.00,38892.00,38991.00,-99.00,43927.00,29094.00,3330.00,11503.00,0.00,0.00,-14146.00,2996897.00
1980:Q2,105670.00,3148.00,35479.00,75727.00,48754.00,-8507.00,-33181.00,-7611.00,25570.00,850.00,46193.00,46099.00,94.00,34411.00,29533.00,3302.00,1575.00,0.00,0.00,21918.00,3102568.00
1980:Q3,126753.00,24225.00,30365.00,70352.00,50562.00,-10574.00,-8664.00,64312.00,72976.00,2525.00,51041.00,50923.00,118.00,35932.00,26681.00,3673.00,5308.00,0.00,-270.00,15555.00,3229321.00
1980:Q4,118278.00,23950.00,37182.00,79953.00,52459.00,-9688.00,-18858.00,33430.00,52288.00,5625.00,64039.00,63978.00,61.00,40149.00,20252.00,3519.00,3078.00,32549.00,19248.00,-9860.00,3347599.00
