1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,5588.00,5588.00,604.00,4984.00,0.00,0.00,5588.00,1536.00,-1436.00,0.00,-276.00,5324.00,-52.00,-4.00,0.00,796.00,-188.00,-504.00,0.00,0.00,0.00,0.00,0.00,392.00,0.00
1963:Q1,4908.00,4908.00,-492.00,5400.00,0.00,0.00,4908.00,-1484.00,2676.00,0.00,-320.00,3292.00,-20.00,16.00,0.00,772.00,12.00,-488.00,0.00,0.00,0.00,0.00,0.00,452.00,0.00
1963:Q2,6908.00,6908.00,1668.00,5240.00,0.00,0.00,6908.00,-176.00,1600.00,0.00,-236.00,5860.00,-84.00,28.00,0.00,764.00,-360.00,-516.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00
1963:Q3,4052.00,4052.00,-412.00,4464.00,0.00,0.00,4052.00,-2704.00,3220.00,0.00,-192.00,4524.00,-172.00,28.00,0.00,704.00,-252.00,-508.00,0.00,0.00,0.00,0.00,0.00,-596.00,0.00
1963:Q4,5092.00,5092.00,1020.00,4072.00,0.00,0.00,5092.00,4392.00,-3136.00,0.00,-208.00,4024.00,-76.00,12.00,0.00,588.00,-96.00,-488.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00
1964:Q1,5104.00,5104.00,692.00,4412.00,0.00,0.00,5104.00,2080.00,148.00,0.00,-212.00,3088.00,-16.00,4.00,0.00,464.00,-36.00,-440.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00
1964:Q2,6612.00,6612.00,1660.00,4952.00,0.00,0.00,6612.00,2076.00,2056.00,0.00,-152.00,2576.00,4.00,0.00,0.00,332.00,-164.00,-420.00,0.00,0.00,0.00,0.00,0.00,304.00,0.00
1964:Q3,6596.00,6596.00,936.00,5660.00,0.00,0.00,6596.00,3452.00,-2188.00,0.00,-72.00,5052.00,64.00,0.00,0.00,292.00,80.00,-392.00,0.00,0.00,0.00,0.00,0.00,308.00,0.00
1964:Q4,6168.00,6168.00,-244.00,6412.00,0.00,0.00,6168.00,3432.00,-444.00,0.00,-8.00,3336.00,-12.00,-4.00,0.00,344.00,-192.00,-364.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00
1965:Q1,6768.00,6768.00,-36.00,6804.00,0.00,0.00,6768.00,-3568.00,4836.00,0.00,-8.00,5392.00,-4.00,8.00,0.00,316.00,-112.00,-320.00,0.00,0.00,0.00,0.00,0.00,228.00,0.00
