1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,1918337.00,686599.00,504127.00,3414.00,669.00,178389.00,415400.00,328913.00,44839.00,4675.00,36974.00,0.00,401189.00,346451.00,54738.00,194757.00,98237.00,73690.00,22830.00,194226.00,189077.00,4477.00,672.00,26166.00,59627.00,3451.00,56176.00,33461.00,9039.00,24422.00,1918337.00,31125.00,1.65,1951404.00,27219.00,1.41
1959:Q3,1926936.00,697396.00,513598.00,3487.00,689.00,179622.00,417284.00,331781.00,45059.00,4810.00,35634.00,0.00,394795.00,339875.00,54920.00,196357.00,97892.00,74928.00,23537.00,195095.00,189797.00,4610.00,688.00,26009.00,60270.00,3452.00,56818.00,34261.00,8906.00,25355.00,1926936.00,8598.00,0.45,1963999.00,12595.00,0.65
1959:Q4,1961765.00,706020.00,521544.00,3550.00,710.00,180216.00,419026.00,334803.00,45093.00,4964.00,34165.00,0.00,417131.00,362157.00,54974.00,197749.00,97697.00,75809.00,24243.00,196033.00,190613.00,4716.00,704.00,25806.00,61097.00,3689.00,57408.00,35291.00,9363.00,25928.00,1961765.00,34829.00,1.81,1996705.00,32706.00,1.67
1960:Q1,1961848.00,720530.00,534527.00,3599.00,728.00,181676.00,423775.00,338812.00,45030.00,4997.00,34936.00,0.00,394287.00,339310.00,54977.00,198539.00,97482.00,76079.00,24978.00,197788.00,192230.00,4838.00,720.00,26929.00,61909.00,3544.00,58365.00,34980.00,8811.00,26169.00,1961848.00,83.00,0.00,2005537.00,8831.00,0.44
1960:Q2,1984063.00,726935.00,539185.00,3672.00,747.00,183331.00,426737.00,342539.00,45086.00,5032.00,34080.00,0.00,403002.00,347588.00,55414.00,199862.00,97313.00,76805.00,25744.00,200255.00,194584.00,4934.00,737.00,27272.00,63186.00,3753.00,59433.00,35914.00,9081.00,26833.00,1984063.00,22215.00,1.13,2022414.00,16878.00,0.84
1960:Q3,1976879.00,734741.00,545818.00,3726.00,766.00,184431.00,431122.00,346094.00,45234.00,5088.00,34706.00,0.00,376615.00,321285.00,55330.00,203812.00,99561.00,77733.00,26518.00,202943.00,197161.00,5027.00,755.00,27646.00,63802.00,3580.00,60222.00,36156.00,8460.00,27696.00,1976879.00,-7184.00,-0.36,2017433.00,-4981.00,-0.25
1960:Q4,2032833.00,737552.00,547589.00,3760.00,784.00,185419.00,434725.00,349081.00,45490.00,5154.00,35000.00,0.00,421074.00,365166.00,55908.00,205435.00,99774.00,78369.00,27292.00,205498.00,199598.00,5126.00,774.00,28549.00,66226.00,3984.00,62242.00,37677.00,9302.00,28375.00,2032833.00,55955.00,2.83,2070262.00,52829.00,2.62
1961:Q1,2085106.00,736009.00,545980.00,3809.00,807.00,185413.00,439691.00,353483.00,45736.00,5222.00,35250.00,0.00,466533.00,410353.00,56180.00,205918.00,98380.00,79449.00,28089.00,208422.00,202408.00,5221.00,793.00,28533.00,67972.00,4479.00,63493.00,39439.00,10468.00,28971.00,2085106.00,52272.00,2.57,2121091.00,50829.00,2.46
1961:Q2,2110814.00,748135.00,556950.00,3863.00,830.00,186492.00,444871.00,359268.00,45762.00,5280.00,34561.00,0.00,467636.00,411555.00,56081.00,209363.00,100437.00,79999.00,28927.00,211355.00,205230.00,5312.00,813.00,29454.00,69114.00,4440.00,64674.00,39660.00,10536.00,29124.00,2110814.00,25708.00,1.23,2142803.00,21711.00,1.02
1961:Q3,2145585.00,759553.00,567010.00,3919.00,855.00,187769.00,451522.00,364646.00,45730.00,5378.00,35768.00,0.00,479691.00,423621.00,56070.00,210634.00,99892.00,80946.00,29796.00,214254.00,208020.00,5401.00,833.00,29931.00,71243.00,4524.00,66719.00,41312.00,10900.00,30412.00,2145585.00,34771.00,1.65,2178643.00,35840.00,1.67
1961:Q4,2208212.00,769615.00,576368.00,3989.00,882.00,188376.00,457537.00,370084.00,45402.00,5480.00,36571.00,0.00,516192.00,437674.00,78518.00,216278.00,103601.00,81987.00,30690.00,217882.00,211537.00,5489.00,856.00,30708.00,73114.00,4902.00,68212.00,42406.00,11808.00,30598.00,2208212.00,62627.00,2.92,2232907.00,54264.00,2.49
1962:Q1,2221201.00,779408.00,584759.00,4053.00,914.00,189682.00,464516.00,375802.00,45683.00,5500.00,37531.00,0.00,505572.00,427931.00,77641.00,217674.00,103418.00,82686.00,31570.00,222318.00,215863.00,5576.00,879.00,31713.00,74676.00,4878.00,69798.00,42963.00,11548.00,31415.00,2221201.00,12989.00,0.59,2245978.00,13071.00,0.59
1962:Q2,2124498.00,786520.00,590011.00,4122.00,946.00,191441.00,470243.00,381404.00,45870.00,5569.00,37400.00,0.00,386371.00,326582.00,59789.00,220557.00,103828.00,84258.00,32471.00,226258.00,219683.00,5674.00,901.00,34549.00,75271.00,3847.00,71424.00,40722.00,8793.00,31929.00,2124498.00,-96703.00,-4.35,2149776.00,-96202.00,-4.28
1962:Q3,2170203.00,793692.00,594920.00,4191.00,979.00,193602.00,476880.00,386444.00,46088.00,5626.00,38722.00,0.00,408488.00,345363.00,63125.00,226845.00,107329.00,86124.00,33392.00,229330.00,222639.00,5768.00,923.00,34968.00,76493.00,4185.00,72308.00,41525.00,9267.00,32258.00,2170203.00,45705.00,2.15,2188541.00,38765.00,1.80
1962:Q4,2283303.00,803569.00,603604.00,4245.00,1011.00,194709.00,482180.00,391707.00,46186.00,5680.00,38607.00,0.00,499109.00,424314.00,74795.00,230340.00,107338.00,88649.00,34353.00,233282.00,226474.00,5861.00,947.00,34823.00,78324.00,4714.00,73610.00,43501.00,10336.00,33165.00,2283303.00,113100.00,5.21,2292244.00,103703.00,4.74
1963:Q1,2331427.00,813437.00,611427.00,4309.00,1046.00,196655.00,486448.00,395830.00,46732.00,5707.00,38179.00,0.00,527887.00,447981.00,79906.00,231616.00,107893.00,88274.00,35449.00,236678.00,229725.00,5980.00,973.00,35361.00,80344.00,4943.00,75401.00,44983.00,10950.00,34033.00,2331427.00,48124.00,2.11,2339003.00,46759.00,2.04
1963:Q2,2372519.00,817640.00,612853.00,4372.00,1085.00,199330.00,489287.00,398720.00,47180.00,5760.00,37628.00,0.00,553939.00,469026.00,84913.00,235080.00,109111.00,89284.00,36685.00,240614.00,233498.00,6115.00,1001.00,35959.00,82795.00,5053.00,77742.00,46836.00,11526.00,35310.00,2372519.00,41092.00,1.76,2371254.00,32251.00,1.38
1963:Q3,2415991.00,830883.00,623306.00,4448.00,1125.00,202004.00,490660.00,400427.00,47484.00,5842.00,36906.00,0.00,577178.00,487677.00,89501.00,237389.00,110187.00,89127.00,38075.00,244182.00,236903.00,6247.00,1032.00,35699.00,83776.00,5094.00,78682.00,48077.00,12031.00,36046.00,2415991.00,43471.00,1.83,2413221.00,41968.00,1.77
1963:Q4,2413215.00,839163.00,628622.00,4529.00,1168.00,204844.00,495127.00,405397.00,47574.00,5958.00,36198.00,0.00,553330.00,465779.00,87551.00,240050.00,110313.00,90205.00,39532.00,248684.00,241217.00,6401.00,1066.00,36861.00,85645.00,5145.00,80500.00,48784.00,12485.00,36299.00,2413215.00,-2776.00,-0.11,2407144.00,-6077.00,-0.25
1964:Q1,2463267.00,843876.00,630274.00,4611.00,1211.00,207780.00,498177.00,408364.00,48263.00,5993.00,35557.00,0.00,587915.00,495027.00,92888.00,243063.00,111702.00,90342.00,41019.00,252507.00,244864.00,6544.00,1099.00,37729.00,87615.00,5300.00,82315.00,49886.00,13137.00,36749.00,2463267.00,50052.00,2.07,2454360.00,47216.00,1.96
1964:Q2,2514780.00,860175.00,643749.00,4697.00,1252.00,210477.00,506334.00,416477.00,48917.00,6089.00,34851.00,0.00,606920.00,511094.00,95826.00,246259.00,112593.00,91219.00,42447.00,256714.00,248874.00,6707.00,1133.00,38378.00,89302.00,5332.00,83970.00,50924.00,13468.00,37456.00,2514780.00,51513.00,2.09,2498774.00,44415.00,1.81
1964:Q3,2557804.00,869243.00,649814.00,4785.00,1294.00,213350.00,512278.00,421549.00,49337.00,6158.00,35234.00,0.00,627876.00,528953.00,98923.00,248831.00,113756.00,91266.00,43809.00,260963.00,252941.00,6856.00,1166.00,38613.00,91416.00,5352.00,86064.00,52803.00,13766.00,39037.00,2557804.00,43024.00,1.71,2544502.00,45728.00,1.83
