1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q1,18869.00,3110.00,14810.00,949.00,18869.00,1843.00,1216.00,67.00,3098.00,0.00,9020.00,0.00,0.00,55.00,863.00,191.00,465.00,0.00,502.00,0.00,0.00,121.00,0.00,0.00,0.00,0.00,1428.00
1966:Q2,23042.00,4629.00,17380.00,1033.00,23042.00,4946.00,1382.00,106.00,2863.00,0.00,9546.00,0.00,0.00,84.00,1123.00,232.00,475.00,0.00,622.00,0.00,0.00,151.00,0.00,0.00,0.00,0.00,1512.00
1966:Q3,23200.00,3922.00,18111.00,1167.00,23200.00,5724.00,1107.00,547.00,2607.00,0.00,8786.00,0.00,0.00,115.00,1212.00,241.00,442.00,0.00,671.00,0.00,0.00,152.00,0.00,0.00,0.00,0.00,1596.00
1966:Q4,24243.00,4025.00,18904.00,1314.00,24243.00,5850.00,1027.00,1355.00,2361.00,0.00,9073.00,0.00,0.00,140.00,1276.00,236.00,446.00,0.00,652.00,0.00,0.00,147.00,0.00,0.00,0.00,0.00,1680.00
1967:Q1,25227.00,5489.00,18258.00,1480.00,25227.00,5837.00,793.00,1769.00,2074.00,0.00,9819.00,0.00,0.00,161.00,1512.00,237.00,432.00,0.00,669.00,0.00,0.00,160.00,0.00,0.00,0.00,0.00,1764.00
1967:Q2,26373.00,7100.00,17613.00,1660.00,26373.00,5716.00,686.00,1737.00,2126.00,1.00,10977.00,0.00,0.00,179.00,1552.00,242.00,390.00,0.00,744.00,0.00,0.00,175.00,0.00,0.00,0.00,0.00,1848.00
1967:Q3,26150.00,6919.00,17410.00,1821.00,26150.00,5625.00,684.00,1345.00,2306.00,0.00,11219.00,0.00,0.00,197.00,1304.00,238.00,362.00,0.00,759.00,0.00,0.00,179.00,0.00,0.00,0.00,0.00,1932.00
1967:Q4,28518.00,8180.00,18350.00,1988.00,28518.00,6265.00,1005.00,1267.00,2751.00,0.00,12302.00,0.00,0.00,218.00,1177.00,230.00,337.00,0.00,785.00,0.00,0.00,165.00,0.00,0.00,0.00,0.00,2016.00
1968:Q1,30168.00,8537.00,19462.00,2169.00,30168.00,5670.00,1184.00,1251.00,3842.00,0.00,13107.00,0.00,0.00,248.00,1215.00,266.00,358.00,0.00,758.00,0.00,0.00,169.00,0.00,0.00,0.00,0.00,2100.00
1968:Q2,32673.00,9458.00,20856.00,2359.00,32673.00,6475.00,1333.00,1658.00,4478.00,0.00,13050.00,0.00,0.00,283.00,1371.00,252.00,379.00,0.00,1028.00,0.00,0.00,182.00,0.00,0.00,0.00,0.00,2184.00
1968:Q3,33932.00,10477.00,21011.00,2444.00,33932.00,5982.00,1364.00,1641.00,5396.00,0.00,13586.00,0.00,0.00,320.00,1391.00,263.00,401.00,0.00,1138.00,0.00,0.00,182.00,0.00,0.00,0.00,0.00,2268.00
1968:Q4,35445.00,11340.00,21579.00,2526.00,35445.00,6120.00,1434.00,1401.00,6157.00,0.00,13920.00,0.00,0.00,355.00,1420.00,294.00,397.00,0.00,1410.00,0.00,0.00,185.00,0.00,0.00,0.00,0.00,2352.00
1969:Q1,36896.00,11552.00,22728.00,2616.00,36896.00,5981.00,1770.00,1102.00,7206.00,5.00,14118.00,0.00,0.00,388.00,1511.00,317.00,433.00,0.00,1437.00,0.00,0.00,192.00,0.00,0.00,0.00,0.00,2436.00
1969:Q2,38803.00,11043.00,25059.00,2701.00,38803.00,7983.00,1601.00,472.00,7608.00,0.00,14464.00,0.00,0.00,417.00,1267.00,345.00,468.00,0.00,1465.00,0.00,0.00,193.00,0.00,0.00,0.00,0.00,2520.00
1969:Q3,40084.00,9379.00,27756.00,2949.00,40084.00,9209.00,1569.00,354.00,7607.00,36.00,13944.00,0.00,0.00,451.00,1643.00,382.00,550.00,0.00,1552.00,0.00,0.00,183.00,0.00,0.00,0.00,0.00,2604.00
1969:Q4,42885.00,9036.00,30645.00,3204.00,42885.00,11305.00,1676.00,104.00,7508.00,0.00,14741.00,0.00,0.00,501.00,1615.00,390.00,608.00,0.00,1566.00,0.00,0.00,183.00,0.00,0.00,0.00,0.00,2688.00
1970:Q1,46361.00,8584.00,34278.00,3499.00,46361.00,14195.00,1476.00,120.00,7055.00,43.00,15638.00,0.00,0.00,568.00,1684.00,448.00,578.00,0.00,1592.00,0.00,0.00,182.00,0.00,0.00,0.00,0.00,2782.00
1970:Q2,47633.00,8098.00,35822.00,3713.00,47633.00,14982.00,1486.00,117.00,6633.00,0.00,16209.00,0.00,0.00,653.00,1783.00,445.00,660.00,0.00,1609.00,0.00,0.00,180.00,0.00,0.00,0.00,0.00,2876.00
1970:Q3,49546.00,7999.00,37415.00,4132.00,49546.00,15735.00,1164.00,113.00,6158.00,80.00,17789.00,0.00,0.00,740.00,1638.00,488.00,916.00,0.00,1576.00,0.00,0.00,187.00,0.00,0.00,0.00,0.00,2962.00
1970:Q4,51712.00,8078.00,38879.00,4755.00,51712.00,15943.00,1209.00,7.00,5176.00,0.00,20809.00,0.00,0.00,813.00,1628.00,532.00,904.00,0.00,1491.00,0.00,0.00,188.00,0.00,0.00,0.00,0.00,3012.00
1971:Q1,51176.00,7371.00,37848.00,5957.00,51176.00,14951.00,1049.00,7.00,4033.00,185.00,22329.00,0.00,0.00,868.00,1704.00,539.00,759.00,0.00,1414.00,0.00,0.00,198.00,0.00,0.00,0.00,0.00,3140.00
1971:Q2,51632.00,7136.00,36924.00,7572.00,51632.00,13112.00,929.00,0.00,3301.00,0.00,25733.00,0.00,0.00,902.00,1824.00,539.00,593.00,0.00,1400.00,0.00,0.00,208.00,0.00,0.00,0.00,0.00,3091.00
1971:Q3,53699.00,6695.00,38635.00,8369.00,53699.00,13937.00,902.00,0.00,3150.00,99.00,26810.00,0.00,0.00,944.00,1881.00,613.00,590.00,0.00,1448.00,0.00,0.00,207.00,0.00,0.00,0.00,0.00,3118.00
1971:Q4,56565.00,7028.00,40021.00,9516.00,56565.00,14615.00,911.00,25.00,3004.00,485.00,28569.00,0.00,0.00,1023.00,1897.00,627.00,606.00,0.00,1544.00,0.00,0.00,208.00,0.00,0.00,0.00,0.00,3051.00
1972:Q1,58107.00,7114.00,40451.00,10542.00,58107.00,12831.00,823.00,4.00,3235.00,758.00,30672.00,70.00,0.00,1140.00,2050.00,716.00,858.00,0.00,1668.00,0.00,0.00,213.00,0.00,0.00,0.00,0.00,3069.00
1972:Q2,60732.00,7099.00,41885.00,11748.00,60732.00,11668.00,808.00,3.00,4197.00,1066.00,32147.00,140.00,0.00,1298.00,2254.00,699.00,1207.00,0.00,1800.00,0.00,0.00,221.00,0.00,0.00,0.00,0.00,3224.00
1972:Q3,62929.00,7561.00,42553.00,12815.00,62929.00,10943.00,975.00,3.00,4885.00,1021.00,33164.00,210.00,0.00,1460.00,2415.00,750.00,1741.00,0.00,1944.00,0.00,0.00,229.00,0.00,0.00,0.00,0.00,3189.00
1972:Q4,65873.00,7927.00,43542.00,14404.00,65873.00,8898.00,1036.00,8.00,6325.00,1311.00,35791.00,271.00,0.00,1590.00,2288.00,735.00,2078.00,0.00,2105.00,0.00,0.00,241.00,0.00,0.00,0.00,0.00,3196.00
1973:Q1,68894.00,8188.00,45546.00,15160.00,68894.00,8537.00,1097.00,13.00,7691.00,1319.00,36767.00,355.00,0.00,1588.00,2451.00,764.00,2598.00,0.00,2284.00,0.00,0.00,242.00,0.00,0.00,0.00,0.00,3188.00
1973:Q2,74970.00,7771.00,50584.00,16615.00,74970.00,8472.00,1256.00,6.00,9409.00,1419.00,40218.00,403.00,0.00,1663.00,2479.00,815.00,2788.00,0.00,2480.00,0.00,0.00,310.00,0.00,0.00,0.00,0.00,3252.00
1973:Q3,81941.00,8213.00,56671.00,17057.00,81941.00,9481.00,1659.00,4.00,11195.00,1635.00,42948.00,477.00,0.00,1733.00,2392.00,909.00,2968.00,0.00,2840.00,0.00,0.00,313.00,0.00,0.00,0.00,0.00,3387.00
1973:Q4,86234.00,8357.00,59837.00,18040.00,86234.00,8332.00,2035.00,6.00,12958.00,1937.00,45406.00,462.00,0.00,1808.00,2310.00,884.00,3192.00,0.00,3334.00,0.00,0.00,322.00,0.00,0.00,0.00,0.00,3248.00
1974:Q1,88300.00,8714.00,59877.00,19709.00,88300.00,5738.00,2330.00,8.00,14593.00,1947.00,47033.00,571.00,0.00,1879.00,2452.00,932.00,3252.00,0.00,3817.00,0.00,0.00,313.00,0.00,0.00,0.00,0.00,3435.00
