1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q3,233353.00,17504.00,127271.00,87261.00,1317.00,233353.00,7435.00,1584.00,5175.00,4316.00,1455.00,132463.00,465.00,606.00,458.00,68358.00,1422.00,3076.00,0.00,0.00,4848.00,1692.00
1979:Q4,239448.00,17612.00,125468.00,95062.00,1307.00,239448.00,7191.00,1627.00,5516.00,4502.00,1521.00,135017.00,856.00,615.00,650.00,70920.00,1437.00,3182.00,0.00,0.00,4736.00,1678.00
1980:Q1,243912.00,17563.00,122825.00,102223.00,1301.00,243912.00,7319.00,1582.00,5466.00,4904.00,1539.00,135849.00,1248.00,550.00,774.00,73554.00,1511.00,3271.00,0.00,0.00,4692.00,1653.00
1980:Q2,248864.00,17876.00,117644.00,112051.00,1293.00,248864.00,7407.00,1657.00,5492.00,5165.00,1644.00,137445.00,1639.00,575.00,821.00,75725.00,1541.00,3340.00,0.00,0.00,4784.00,1629.00
1980:Q3,253808.00,18332.00,114437.00,119753.00,1286.00,253808.00,7239.00,1713.00,5708.00,5429.00,1627.00,139018.00,1929.00,606.00,865.00,77916.00,1765.00,3388.00,0.00,0.00,5000.00,1605.00
1980:Q4,259903.00,18256.00,114460.00,125908.00,1280.00,259903.00,6993.00,1776.00,6079.00,5682.00,1681.00,141085.00,2178.00,635.00,994.00,80666.00,1836.00,3529.00,0.00,0.00,5189.00,1580.00
1981:Q1,267511.00,18449.00,114838.00,132944.00,1280.00,267511.00,6365.00,4156.00,6873.00,5861.00,1698.00,142871.00,2558.00,726.00,1055.00,82616.00,1963.00,3568.00,0.00,0.00,5629.00,1572.00
1981:Q2,278496.00,18723.00,120372.00,138120.00,1281.00,278496.00,5654.00,8009.00,7704.00,6107.00,1831.00,146211.00,3054.00,869.00,1147.00,84571.00,2063.00,3736.00,0.00,0.00,5975.00,1565.00
1981:Q3,288922.00,19007.00,125700.00,142930.00,1285.00,288922.00,4674.00,12435.00,8626.00,6365.00,2032.00,149476.00,3427.00,1000.00,1249.00,86070.00,2066.00,3861.00,0.00,0.00,6084.00,1557.00
1981:Q4,299685.00,19053.00,120914.00,158425.00,1293.00,299685.00,3525.00,17479.00,9619.00,6667.00,2163.00,151864.00,3916.00,1055.00,1341.00,88163.00,2115.00,3928.00,0.00,0.00,6299.00,1551.00
1982:Q1,306619.00,19928.00,119186.00,166197.00,1308.00,306619.00,926.00,22543.00,10159.00,6850.00,2324.00,154002.00,4255.00,1095.00,1406.00,89573.00,1283.00,4018.00,0.00,0.00,6620.00,1565.00
1982:Q2,315647.00,20311.00,115439.00,178566.00,1331.00,315647.00,790.00,23020.00,10631.00,7018.00,2589.00,158178.00,4651.00,1103.00,1448.00,91200.00,2500.00,4192.00,0.00,0.00,6747.00,1580.00
1982:Q3,324780.00,20477.00,108427.00,194523.00,1353.00,324780.00,665.00,24644.00,10930.00,7220.00,2780.00,163231.00,4876.00,1093.00,1501.00,91687.00,3093.00,4434.00,0.00,0.00,7031.00,1595.00
1982:Q4,333680.00,20918.00,105961.00,205432.00,1369.00,333680.00,563.00,26862.00,11091.00,7388.00,3062.00,166226.00,4994.00,1075.00,1600.00,93547.00,4127.00,4474.00,0.00,0.00,7061.00,1610.00
1983:Q1,346330.00,22457.00,121951.00,200543.00,1379.00,346330.00,1887.00,27419.00,11253.00,7452.00,3220.00,172948.00,5025.00,1018.00,1749.00,95356.00,5914.00,4494.00,0.00,0.00,7012.00,1583.00
1983:Q2,360215.00,23741.00,126227.00,208862.00,1385.00,360215.00,2138.00,28411.00,11532.00,7551.00,3288.00,182278.00,4974.00,914.00,1954.00,97416.00,6289.00,4542.00,0.00,0.00,7372.00,1556.00
1983:Q3,373975.00,25988.00,130387.00,216212.00,1388.00,373975.00,2485.00,27530.00,12101.00,7655.00,3433.00,191587.00,4833.00,814.00,2160.00,100209.00,7294.00,4547.00,0.00,0.00,7798.00,1529.00
1983:Q4,389424.00,28428.00,134685.00,224925.00,1386.00,389424.00,2467.00,28733.00,12905.00,7760.00,3430.00,200622.00,5190.00,740.00,2311.00,103831.00,6923.00,4786.00,0.00,0.00,8223.00,1503.00
1984:Q1,408654.00,31848.00,136883.00,238482.00,1441.00,408654.00,2473.00,32388.00,13845.00,7775.00,3494.00,215398.00,4422.00,705.00,2414.00,104770.00,5806.00,4841.00,0.00,0.00,8710.00,1613.00
1984:Q2,429688.00,33865.00,142154.00,252137.00,1532.00,429688.00,2325.00,35995.00,14848.00,7845.00,3531.00,228655.00,4264.00,688.00,2490.00,107548.00,5427.00,5053.00,0.00,0.00,9289.00,1730.00
1984:Q3,451779.00,34963.00,146254.00,268943.00,1619.00,451779.00,1876.00,40869.00,16010.00,7957.00,3611.00,242345.00,4407.00,701.00,2580.00,109801.00,4796.00,5092.00,0.00,0.00,9893.00,1841.00
1984:Q4,471898.00,35354.00,147257.00,287626.00,1661.00,471898.00,1197.00,44025.00,17297.00,8056.00,3694.00,254830.00,5616.00,696.00,2664.00,111175.00,5277.00,5378.00,0.00,0.00,10075.00,1918.00
1985:Q1,487050.00,37066.00,135805.00,312511.00,1668.00,487050.00,1986.00,44007.00,18244.00,8102.00,3751.00,264594.00,5453.00,695.00,2869.00,113421.00,5908.00,5472.00,0.00,0.00,10574.00,1974.00
1985:Q2,505953.00,37192.00,137550.00,329535.00,1676.00,505953.00,1464.00,45559.00,19151.00,8177.00,3892.00,275962.00,5380.00,720.00,3047.00,117295.00,6749.00,5505.00,0.00,85.00,10916.00,2051.00
1985:Q3,522126.00,37771.00,135708.00,346961.00,1686.00,522126.00,1844.00,46091.00,19960.00,8264.00,4129.00,286704.00,5471.00,752.00,3197.00,120183.00,6494.00,5531.00,0.00,83.00,11289.00,2134.00
1985:Q4,541661.00,38572.00,144742.00,356649.00,1698.00,541661.00,2127.00,46062.00,20692.00,8349.00,4423.00,293138.00,5743.00,773.00,3339.00,127670.00,7195.00,5552.00,0.00,564.00,12188.00,3846.00
1986:Q1,554231.00,40124.00,146093.00,366226.00,1788.00,554231.00,872.00,43139.00,20887.00,8367.00,5087.00,304171.00,6174.00,795.00,3623.00,130718.00,7632.00,5699.00,0.00,548.00,12521.00,3998.00
1986:Q2,565823.00,43241.00,149233.00,371409.00,1940.00,565823.00,470.00,41748.00,21077.00,8458.00,5077.00,311296.00,6587.00,810.00,3843.00,136325.00,6169.00,5647.00,0.00,1084.00,13032.00,4200.00
1986:Q3,579130.00,45612.00,153325.00,378263.00,1930.00,579130.00,577.00,39460.00,21254.00,8524.00,5017.00,320494.00,6993.00,827.00,4075.00,140841.00,5775.00,5973.00,0.00,1144.00,13909.00,4267.00
1986:Q4,601970.00,43240.00,159739.00,397122.00,1869.00,601970.00,1022.00,34697.00,20171.00,8446.00,5101.00,339013.00,8675.00,833.00,4348.00,149111.00,4585.00,6342.00,132.00,1116.00,14527.00,3851.00
1987:Q1,639606.00,46062.00,188560.00,403054.00,1930.00,639606.00,2000.00,29567.00,19347.00,8463.00,5157.00,376293.00,8361.00,848.00,4444.00,151420.00,6125.00,6195.00,127.00,1601.00,15652.00,4006.00
1987:Q2,655668.00,46958.00,199690.00,407087.00,1933.00,655668.00,500.00,28205.00,18273.00,8553.00,5209.00,388618.00,9777.00,848.00,4750.00,155611.00,5935.00,6197.00,126.00,2395.00,16683.00,3988.00
1987:Q3,668224.00,46719.00,208584.00,410963.00,1958.00,668224.00,1299.00,25620.00,17249.00,6592.00,5398.00,399808.00,11235.00,859.00,4868.00,159464.00,5439.00,6261.00,124.00,2428.00,17370.00,4210.00
1987:Q4,694063.00,49546.00,225573.00,416860.00,2084.00,694063.00,2898.00,27238.00,16571.00,6603.00,5654.00,411339.00,13921.00,885.00,4994.00,166722.00,5205.00,6196.00,63.00,3125.00,18120.00,4529.00
1988:Q1,707871.00,51563.00,228130.00,426103.00,2075.00,707871.00,2695.00,32705.00,16746.00,6640.00,5846.00,408432.00,15959.00,943.00,5139.00,173363.00,6126.00,6264.00,58.00,3171.00,19058.00,4726.00
1988:Q2,729750.00,52827.00,228591.00,446245.00,2087.00,729750.00,2489.00,38570.00,17271.00,6288.00,6142.00,416399.00,17863.00,1029.00,5269.00,177123.00,7064.00,6459.00,41.00,3459.00,19532.00,4752.00
1988:Q3,740212.00,54090.00,223262.00,460789.00,2071.00,740212.00,2287.00,44624.00,17846.00,5300.00,6182.00,411296.00,19955.00,1132.00,5406.00,181196.00,9141.00,6621.00,38.00,3881.00,20203.00,5104.00
1988:Q4,765926.00,62742.00,226284.00,474633.00,2267.00,765926.00,2599.00,47986.00,18171.00,5343.00,6033.00,420611.00,22063.00,1241.00,5574.00,187549.00,11145.00,6712.00,38.00,4622.00,20592.00,5647.00
1989:Q1,782385.00,64956.00,237954.00,477176.00,2299.00,782385.00,2819.00,43519.00,17296.00,5101.00,6089.00,435684.00,23613.00,1358.00,5779.00,190914.00,11250.00,6738.00,34.00,5097.00,21621.00,5473.00
1989:Q2,789255.00,66682.00,240033.00,480228.00,2312.00,789255.00,3046.00,36743.00,16272.00,3885.00,6215.00,442555.00,25554.00,1486.00,6027.00,195098.00,11887.00,6620.00,26.00,5883.00,22527.00,5431.00
1989:Q3,798971.00,68246.00,240833.00,487493.00,2399.00,798971.00,3282.00,30352.00,15198.00,4366.00,6260.00,448827.00,27917.00,1625.00,6270.00,199513.00,12617.00,6742.00,26.00,7006.00,23639.00,5331.00
1989:Q4,801286.00,69972.00,234186.00,494642.00,2486.00,801286.00,3526.00,23288.00,14171.00,4443.00,6444.00,447348.00,30189.00,1772.00,6460.00,205472.00,13843.00,6626.00,26.00,8369.00,23870.00,5439.00
1990:Q1,811252.00,71695.00,248249.00,488735.00,2573.00,811252.00,3346.00,19144.00,13733.00,6499.00,6715.00,443641.00,35761.00,1929.00,6615.00,210422.00,17017.00,6587.00,25.00,9333.00,25096.00,5389.00
1990:Q2,814801.00,73244.00,250613.00,488284.00,2660.00,814801.00,3180.00,20048.00,13151.00,8811.00,6933.00,435441.00,38545.00,2090.00,6752.00,214024.00,17651.00,6596.00,24.00,9254.00,26932.00,5369.00
1990:Q3,818264.00,74967.00,254262.00,486221.00,2814.00,818264.00,3017.00,18822.00,12552.00,13032.00,6985.00,431293.00,41326.00,2269.00,6849.00,214585.00,17968.00,6768.00,24.00,9490.00,27930.00,5354.00
1990:Q4,819769.00,77205.00,255731.00,483932.00,2901.00,819769.00,2844.00,17739.00,11947.00,13426.00,7111.00,427371.00,45534.00,2478.00,6885.00,215121.00,18178.00,7492.00,24.00,10149.00,28481.00,4989.00
1991:Q1,827227.00,79343.00,262643.00,482294.00,2948.00,827227.00,2824.00,18685.00,11054.00,17403.00,7185.00,426521.00,49129.00,2637.00,6859.00,216768.00,17076.00,7867.00,23.00,10667.00,27645.00,4884.00
1991:Q2,831448.00,81480.00,264012.00,482953.00,3003.00,831448.00,2782.00,18717.00,10395.00,20610.00,7396.00,423040.00,51698.00,2869.00,6766.00,219204.00,15608.00,7767.00,21.00,11603.00,28141.00,4831.00
1991:Q3,819475.00,83618.00,257527.00,475263.00,3067.00,819475.00,2756.00,20633.00,8878.00,20484.00,7356.00,411660.00,52546.00,3076.00,6640.00,218179.00,14595.00,7934.00,20.00,11798.00,28221.00,4699.00
1991:Q4,806399.00,85756.00,249484.00,467947.00,3211.00,806399.00,2785.00,21936.00,8227.00,21175.00,7662.00,404588.00,54299.00,3169.00,6511.00,209496.00,13306.00,8323.00,19.00,12586.00,27851.00,4466.00
1992:Q1,797409.00,87400.00,244419.00,462235.00,3355.00,797409.00,3008.00,22122.00,7895.00,22582.00,7728.00,395757.00,54208.00,3170.00,6388.00,207709.00,12588.00,8161.00,18.00,13635.00,28072.00,4368.00
1992:Q2,791919.00,89045.00,239914.00,459590.00,3369.00,791919.00,3231.00,22331.00,7568.00,21273.00,7950.00,391625.00,54391.00,3080.00,6267.00,204670.00,11734.00,8940.00,18.00,15464.00,28668.00,4708.00
1992:Q3,780394.00,90689.00,231405.00,454858.00,3443.00,780394.00,3454.00,22824.00,7247.00,18428.00,7512.00,385439.00,53517.00,2988.00,6113.00,200177.00,11258.00,8521.00,18.00,19128.00,29260.00,4511.00
1992:Q4,762720.00,92333.00,212461.00,454338.00,3588.00,762720.00,3676.00,23479.00,6866.00,14622.00,7530.00,379308.00,51605.00,2994.00,5889.00,194353.00,10619.00,8875.00,17.00,19074.00,29060.00,4753.00
1993:Q1,755776.00,94824.00,204382.00,452751.00,3819.00,755776.00,3905.00,22901.00,6418.00,13073.00,7540.00,376142.00,50235.00,2947.00,5588.00,193410.00,10697.00,8234.00,16.00,21142.00,28908.00,4620.00
1993:Q2,746890.00,97314.00,196324.00,449207.00,4045.00,746890.00,4134.00,22237.00,6276.00,11525.00,7840.00,372693.00,48999.00,2945.00,5192.00,191507.00,10460.00,6973.00,15.00,23219.00,28307.00,4568.00
1993:Q3,741309.00,99805.00,192807.00,443618.00,5079.00,741309.00,4364.00,21530.00,6177.00,10889.00,7454.00,372982.00,47801.00,2980.00,4792.00,187730.00,10821.00,7565.00,14.00,23584.00,28094.00,4532.00
1993:Q4,737758.00,103019.00,193300.00,435447.00,5992.00,737758.00,4593.00,20838.00,5965.00,20478.00,7724.00,370356.00,45060.00,3089.00,4472.00,178364.00,9074.00,6961.00,13.00,28055.00,28239.00,4477.00
1994:Q1,729242.00,102813.00,187759.00,431032.00,7638.00,729242.00,4557.00,21301.00,5686.00,17697.00,7887.00,369029.00,43536.00,3175.00,4303.00,175339.00,8485.00,6959.00,12.00,27893.00,28151.00,5232.00
1994:Q2,728823.00,102609.00,187939.00,428561.00,9715.00,728823.00,4522.00,21792.00,6179.00,17158.00,7973.00,369777.00,42514.00,3620.00,4134.00,172683.00,8226.00,7097.00,10.00,28791.00,28512.00,5835.00
1994:Q3,728831.00,102404.00,188035.00,426667.00,11725.00,728831.00,4486.00,22295.00,6249.00,15281.00,8162.00,370425.00,41424.00,3842.00,3964.00,171062.00,7955.00,6998.00,9.00,31121.00,29319.00,6239.00
1994:Q4,722729.00,102198.00,185027.00,422958.00,12546.00,722729.00,4451.00,22790.00,6498.00,13216.00,8270.00,371980.00,40261.00,4019.00,3795.00,169830.00,3056.00,7011.00,9.00,31636.00,29780.00,6127.00
1995:Q1,728222.00,102058.00,186787.00,426267.00,13110.00,728222.00,4669.00,23097.00,6286.00,12469.00,8139.00,379609.00,38826.00,4081.00,3550.00,169568.00,3087.00,7029.00,7.00,31362.00,30385.00,6058.00
1995:Q2,730653.00,101918.00,186288.00,428023.00,14424.00,730653.00,4889.00,23402.00,6189.00,11767.00,8193.00,383019.00,37658.00,3837.00,3306.00,169499.00,3119.00,7007.00,6.00,31547.00,31103.00,6112.00
1995:Q3,733352.00,101778.00,185424.00,430974.00,15176.00,733352.00,5106.00,23721.00,6034.00,10940.00,7793.00,384660.00,36829.00,3891.00,3050.00,170747.00,3151.00,7011.00,5.00,32512.00,31890.00,6011.00
1995:Q4,733799.00,101639.00,182944.00,433102.00,16114.00,733799.00,5325.00,24018.00,5937.00,9370.00,7725.00,390318.00,35123.00,3987.00,2816.00,165877.00,3182.00,7012.00,5.00,35631.00,31829.00,5644.00
1996:Q1,741237.00,102665.00,185598.00,435920.00,17054.00,741237.00,5483.00,26492.00,5828.00,9981.00,7785.00,394484.00,33204.00,4222.00,2571.00,165514.00,3212.00,7007.00,5.00,37800.00,32495.00,5154.00
1996:Q2,750772.00,103691.00,188946.00,439767.00,18368.00,750772.00,5641.00,27198.00,5675.00,9773.00,7703.00,401299.00,32310.00,4062.00,2567.00,165172.00,3242.00,7008.00,5.00,39694.00,34608.00,4815.00
1996:Q3,751298.00,104717.00,185966.00,440678.00,19937.00,751298.00,5799.00,28098.00,5624.00,9265.00,7501.00,405544.00,32228.00,3882.00,2539.00,162215.00,3275.00,7008.00,4.00,40377.00,33469.00,4470.00
1996:Q4,763432.00,105743.00,191239.00,445072.00,21378.00,763432.00,5957.00,29098.00,5565.00,8494.00,7540.00,414019.00,32223.00,3933.00,2394.00,160315.00,3324.00,7008.00,0.00,46353.00,32563.00,4646.00
1997:Q1,770991.00,106506.00,192316.00,448011.00,24158.00,770991.00,6114.00,34098.00,5375.00,8399.00,7672.00,416791.00,30765.00,4097.00,2480.00,159699.00,3380.00,7007.00,0.00,47898.00,32116.00,5100.00
1997:Q2,787834.00,107269.00,197672.00,456019.00,26874.00,787834.00,6272.00,39098.00,5301.00,8307.00,7850.00,426815.00,28277.00,4152.00,2370.00,159613.00,3435.00,7004.00,0.00,51255.00,32443.00,5642.00
1997:Q3,804560.00,108032.00,209718.00,458817.00,27993.00,804560.00,6428.00,44098.00,5197.00,8198.00,7743.00,437200.00,27611.00,4267.00,2366.00,157368.00,3500.00,7003.00,0.00,55168.00,32411.00,6002.00
1997:Q4,826355.00,108795.00,218471.00,467722.00,31367.00,826355.00,6586.00,49098.00,5117.00,7837.00,7692.00,443889.00,26097.00,4414.00,2230.00,158779.00,3374.00,7000.00,0.00,66103.00,31288.00,6851.00
1998:Q1,839613.00,111264.00,210362.00,485096.00,32891.00,839613.00,6802.00,46634.00,5627.00,7876.00,7700.00,449419.00,23957.00,4496.00,2203.00,158493.00,3372.00,7470.00,0.00,76875.00,30718.00,7971.00
1998:Q2,858627.00,113734.00,204623.00,504054.00,36216.00,858627.00,7017.00,44151.00,6138.00,7861.00,7650.00,454550.00,23026.00,4539.00,2160.00,159456.00,3375.00,8272.00,0.00,91799.00,30129.00,8504.00
1998:Q3,880457.00,116204.00,200524.00,520876.00,42853.00,880457.00,7233.00,41629.00,6648.00,7877.00,9848.00,467167.00,22840.00,4716.00,1903.00,159189.00,3378.00,8599.00,0.00,97424.00,32697.00,9309.00
1998:Q4,915584.00,118674.00,215518.00,533417.00,47975.00,915584.00,7448.00,39107.00,7157.00,7938.00,10189.00,484092.00,20396.00,4837.00,1954.00,163769.00,3174.00,8964.00,0.00,113191.00,33997.00,9371.00
1999:Q1,940486.00,119308.00,222803.00,547029.00,51346.00,940486.00,7653.00,34357.00,7150.00,7972.00,10278.00,498090.00,18362.00,5217.00,1908.00,168795.00,3389.00,9117.00,0.00,122728.00,35424.00,10046.00
1999:Q2,963415.00,119942.00,236059.00,558121.00,49293.00,963415.00,7859.00,29607.00,6991.00,8065.00,10311.00,513754.00,17147.00,5586.00,1937.00,173495.00,3605.00,9587.00,0.00,128458.00,37022.00,9991.00
1999:Q3,1020999.00,120576.00,278366.00,571195.00,50862.00,1020999.00,8064.00,24857.00,6830.00,41173.00,10338.00,531760.00,16871.00,5847.00,1989.00,174571.00,3820.00,9542.00,0.00,136862.00,38607.00,9868.00
1999:Q4,1052389.00,121211.00,291785.00,575129.00,64264.00,1052389.00,8270.00,20107.00,6670.00,41453.00,10544.00,554469.00,15940.00,5987.00,1921.00,179048.00,4034.00,10275.00,0.00,143363.00,40337.00,9971.00
2000:Q1,1079334.00,124115.00,296389.00,593204.00,65626.00,1079334.00,8700.00,20392.00,6627.00,40572.00,10575.00,577396.00,16652.00,6092.00,2549.00,178156.00,3976.00,9741.00,0.00,148201.00,39988.00,9717.00
2000:Q2,1109689.00,127020.00,304470.00,611561.00,66638.00,1109689.00,9129.00,20677.00,6582.00,40600.00,10515.00,596587.00,17204.00,6417.00,1848.00,180856.00,3801.00,9837.00,0.00,154866.00,41157.00,9613.00
2000:Q3,1131710.00,129925.00,308381.00,627974.00,65430.00,1131710.00,9557.00,20962.00,6539.00,40718.00,10527.00,611506.00,17004.00,6699.00,1676.00,182646.00,3534.00,8629.00,0.00,160604.00,42310.00,8799.00
2000:Q4,1159861.00,132829.00,312950.00,648155.00,65927.00,1159861.00,9986.00,21247.00,6494.00,41099.00,10443.00,625608.00,17128.00,6806.00,1634.00,183757.00,3135.00,8757.00,0.00,172337.00,43426.00,8004.00
2001:Q1,1141079.00,136404.00,281079.00,657641.00,65955.00,1141079.00,9819.00,21622.00,6722.00,41279.00,10396.00,639237.00,17111.00,9452.00,1642.00,183078.00,2588.00,8590.00,0.00,138287.00,43597.00,7659.00
2001:Q2,1163295.00,138930.00,290365.00,665937.00,68063.00,1163295.00,9652.00,21993.00,6948.00,41277.00,10487.00,654593.00,16739.00,10082.00,1674.00,184713.00,3074.00,8026.00,0.00,143852.00,43158.00,7027.00
2001:Q3,1200501.00,140614.00,315451.00,677939.00,66497.00,1200501.00,9485.00,22368.00,7175.00,40487.00,10316.00,674411.00,17889.00,10301.00,1706.00,186469.00,3465.00,8164.00,0.00,158252.00,43053.00,6960.00
2001:Q4,1244584.00,141658.00,347847.00,688442.00,66637.00,1244584.00,9317.00,22743.00,7403.00,40973.00,10377.00,689280.00,17867.00,11006.00,1877.00,188376.00,3701.00,8116.00,0.00,184249.00,41395.00,7904.00
2002:Q1,1259357.00,144700.00,344439.00,702417.00,67801.00,1259357.00,9959.00,22983.00,7359.00,41138.00,10257.00,704854.00,18252.00,11186.00,1879.00,188699.00,4713.00,8078.00,0.00,185269.00,37418.00,7313.00
2002:Q2,1288250.00,147743.00,354483.00,712405.00,73619.00,1288250.00,10169.00,23226.00,7317.00,41202.00,10129.00,721948.00,18593.00,11100.00,1896.00,190050.00,5067.00,7979.00,0.00,192945.00,39013.00,7616.00
2002:Q3,1315042.00,150785.00,367186.00,722575.00,74496.00,1315042.00,10351.00,23471.00,7276.00,41447.00,9950.00,737792.00,19016.00,11517.00,1899.00,190698.00,5403.00,7115.00,0.00,202349.00,38882.00,7876.00
2002:Q4,1350690.00,153828.00,397240.00,723480.00,76142.00,1350690.00,10600.00,23716.00,7232.00,42131.00,9950.00,754513.00,18989.00,11194.00,1979.00,195040.00,5662.00,7174.00,0.00,215251.00,39159.00,8100.00
2003:Q1,1374361.00,155394.00,408541.00,735229.00,75197.00,1374361.00,10769.00,23956.00,7239.00,40169.00,9943.00,771406.00,19000.00,11313.00,1984.00,196492.00,5892.00,7241.00,0.00,221684.00,39279.00,7994.00
2003:Q2,1407385.00,156961.00,419964.00,753774.00,76686.00,1407385.00,11033.00,24196.00,7247.00,40382.00,10250.00,785737.00,19543.00,11593.00,1925.00,199807.00,6009.00,7750.00,0.00,233946.00,39687.00,8280.00
2003:Q3,1442122.00,158528.00,430903.00,772570.00,80121.00,1442122.00,11309.00,24436.00,7256.00,40176.00,10186.00,801613.00,24189.00,12369.00,1917.00,202253.00,6212.00,7294.00,0.00,242820.00,41086.00,9006.00
2003:Q4,1471496.00,160095.00,435944.00,790927.00,84530.00,1471496.00,11585.00,24676.00,7263.00,40544.00,10331.00,821461.00,17502.00,12782.00,2081.00,203946.00,6441.00,6935.00,0.00,251598.00,44229.00,10122.00
2004:Q1,1517375.00,161333.00,468948.00,798406.00,88688.00,1517375.00,11869.00,24916.00,7571.00,42500.00,10469.00,845463.00,17782.00,13184.00,2140.00,204889.00,6536.00,6478.00,0.00,267980.00,43849.00,11749.00
2004:Q2,1555467.00,162571.00,481159.00,817878.00,93859.00,1555467.00,12172.00,25156.00,7878.00,41199.00,10964.00,870791.00,15063.00,13873.00,2218.00,206433.00,6508.00,6036.00,0.00,281892.00,42754.00,12530.00
2004:Q3,1603521.00,163809.00,500788.00,841699.00,97225.00,1603521.00,12492.00,25396.00,8185.00,41535.00,11150.00,896390.00,15606.00,14846.00,2350.00,209489.00,6558.00,5835.00,0.00,296535.00,44420.00,12734.00
2004:Q4,1661295.00,165047.00,517737.00,872058.00,106453.00,1661295.00,12917.00,25636.00,8493.00,42377.00,11490.00,922978.00,16866.00,15878.00,2430.00,214085.00,6446.00,5100.00,0.00,314612.00,48364.00,13623.00
2005:Q1,1700884.00,167050.00,531352.00,890933.00,111549.00,1700884.00,13240.00,25793.00,8853.00,42566.00,11686.00,948725.00,17811.00,13279.00,2473.00,215405.00,6394.00,4625.00,0.00,328397.00,47387.00,14250.00
2005:Q2,1764176.00,168977.00,577589.00,899806.00,117804.00,1764176.00,13706.00,25951.00,9214.00,42963.00,11849.00,979320.00,18466.00,13987.00,2534.00,218065.00,6387.00,3962.00,0.00,355621.00,46710.00,15441.00
2005:Q3,1823669.00,170904.00,620548.00,911245.00,120972.00,1823669.00,14219.00,26112.00,9575.00,44177.00,12413.00,1017115.00,21624.00,15727.00,2660.00,220005.00,6373.00,4839.00,0.00,367289.00,46153.00,15388.00
2005:Q4,1900097.00,172831.00,689046.00,917521.00,120699.00,1900097.00,14856.00,26272.00,9936.00,45218.00,12732.00,1049708.00,20848.00,18767.00,2730.00,224258.00,6320.00,4569.00,0.00,401097.00,45950.00,16836.00
2006:Q1,1962171.00,177298.00,706100.00,954027.00,124746.00,1962171.00,15402.00,25472.00,9832.00,45958.00,12809.00,1089123.00,21519.00,19954.00,2746.00,226093.00,6294.00,4446.00,0.00,417849.00,46087.00,18587.00
2006:Q2,2018416.00,181766.00,711877.00,995867.00,128906.00,2018416.00,15910.00,24662.00,9728.00,47501.00,13120.00,1122803.00,23165.00,20766.00,2855.00,231033.00,6232.00,4506.00,0.00,430823.00,46389.00,18923.00
2006:Q3,2085043.00,186234.00,729004.00,1040578.00,129227.00,2085043.00,16451.00,23844.00,9623.00,48398.00,13661.00,1160176.00,23306.00,20971.00,2912.00,234090.00,6178.00,4855.00,0.00,451104.00,47048.00,22426.00
2006:Q4,2185799.00,190701.00,783231.00,1084900.00,126967.00,2185799.00,17016.00,23026.00,9519.00,48947.00,14039.00,1188695.00,24925.00,21989.00,3454.00,235402.00,28598.00,5215.00,0.00,490044.00,47783.00,27147.00
2007:Q1,2229512.00,194018.00,781845.00,1130499.00,123150.00,2229512.00,17346.00,21235.00,10022.00,49929.00,14545.00,1192675.00,27669.00,22349.00,3558.00,237338.00,29194.00,5581.00,0.00,520226.00,45295.00,32550.00
2007:Q2,2306489.00,197334.00,803361.00,1178855.00,126939.00,2306489.00,17977.00,19424.00,10524.00,50568.00,14882.00,1224999.00,29990.00,22689.00,4056.00,241754.00,29725.00,5956.00,0.00,553766.00,46096.00,34083.00
2007:Q3,2392041.00,200650.00,833456.00,1226130.00,131805.00,2392041.00,18632.00,17592.00,11026.00,50760.00,15237.00,1249455.00,35219.00,23412.00,4299.00,245452.00,30210.00,5922.00,0.00,598765.00,49761.00,36299.00
2007:Q4,2452137.00,203966.00,843477.00,1270715.00,133979.00,2452137.00,19087.00,15762.00,11529.00,50999.00,15507.00,1286785.00,38993.00,19255.00,4770.00,252193.00,30829.00,5885.00,0.00,612162.00,51121.00,37260.00
2008:Q1,2496113.00,203208.00,855444.00,1299604.00,137857.00,2496113.00,19424.00,15187.00,11328.00,51557.00,15639.00,1322353.00,39853.00,19411.00,4865.00,256611.00,28552.00,5857.00,0.00,609033.00,58851.00,37592.00
2008:Q2,2537801.00,202450.00,860049.00,1338053.00,137249.00,2537801.00,19711.00,14448.00,11128.00,53822.00,15495.00,1354826.00,41047.00,19491.00,5011.00,261752.00,26430.00,5819.00,0.00,608538.00,62462.00,37821.00
2008:Q3,2548767.00,201692.00,826538.00,1382361.00,138176.00,2548767.00,19808.00,13700.00,10927.00,56646.00,15127.00,1383667.00,28788.00,19473.00,4660.00,265962.00,24084.00,5362.00,0.00,600428.00,61827.00,38308.00
2008:Q4,2571546.00,200934.00,795001.00,1437177.00,138434.00,2571546.00,19957.00,12953.00,10726.00,61413.00,14990.00,1404158.00,32808.00,19680.00,4954.00,267106.00,22412.00,4926.00,0.00,596179.00,61594.00,37690.00
2009:Q1,2566503.00,201607.00,779908.00,1441421.00,143567.00,2566503.00,19903.00,12564.00,10645.00,62504.00,14742.00,1408475.00,33661.00,19635.00,4992.00,264067.00,21478.00,4500.00,0.00,586041.00,61154.00,42142.00
