1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,357605.00,3227.00,233683.00,4953.00,49862.00,65880.00,357605.00,343319.00,0.00,58418.00,235039.00,49862.00,10905.00,782.00,195.00,3448.00,149.00,0.00,6331.00,0.00,0.00,0.00,0.00,3381.00,357605.00,134615.00,100615.00,18765.00,0.00,9.00,15226.00,215729.00,24644.00,90229.00,855.00,361.00,151.00,11782.00,49107.00,12273.00,10911.00,11286.00,0.00,1051.00,780.00,0.00,1226.00,0.00,0.00,0.00,965.00,0.00,108.00,7261.00
1957:Q1,360112.00,3793.00,232013.00,5380.00,50925.00,68001.00,360112.00,344179.00,0.00,59863.00,233391.00,50925.00,12335.00,823.00,206.00,3845.00,157.00,0.00,7304.00,0.00,0.00,0.00,0.00,3598.00,360112.00,136795.00,103038.00,18440.00,0.00,20.00,15297.00,215969.00,22689.00,91170.00,831.00,366.00,155.00,11835.00,49675.00,12764.00,10924.00,11631.00,0.00,1094.00,803.00,0.00,1342.00,0.00,0.00,0.00,570.00,0.00,120.00,7348.00
1957:Q2,357116.00,3515.00,226421.00,5538.00,51836.00,69806.00,357116.00,340478.00,0.00,61295.00,227347.00,51836.00,12914.00,791.00,198.00,4446.00,166.00,0.00,7313.00,0.00,0.00,0.00,0.00,3724.00,357116.00,135273.00,103367.00,16579.00,0.00,18.00,15309.00,214581.00,22658.00,87977.00,847.00,369.00,159.00,11927.00,50173.00,13200.00,11224.00,11974.00,0.00,1191.00,828.00,0.00,1269.00,0.00,0.00,0.00,659.00,0.00,126.00,7262.00
1957:Q3,364912.00,3845.00,230591.00,5509.00,53192.00,71775.00,364912.00,347339.00,0.00,62852.00,231295.00,53192.00,13818.00,967.00,242.00,4635.00,170.00,0.00,7804.00,0.00,0.00,0.00,0.00,3755.00,364912.00,137857.00,105341.00,17328.00,0.00,19.00,15169.00,219913.00,22769.00,91471.00,811.00,372.00,163.00,12160.00,50844.00,13579.00,11270.00,12380.00,0.00,1166.00,853.00,0.00,1137.00,0.00,0.00,0.00,819.00,0.00,119.00,7142.00
1957:Q4,370184.00,4066.00,231465.00,6700.00,54369.00,73584.00,370184.00,352007.00,0.00,64494.00,233144.00,54369.00,14361.00,1056.00,264.00,4848.00,173.00,0.00,8020.00,0.00,0.00,0.00,0.00,3816.00,370184.00,139017.00,105712.00,18303.00,0.00,13.00,14989.00,223692.00,23762.00,92157.00,785.00,373.00,166.00,12438.00,51356.00,13911.00,11346.00,12718.00,0.00,1180.00,880.00,0.00,1143.00,0.00,0.00,0.00,1354.00,0.00,123.00,7475.00
1958:Q1,374076.00,5152.00,229917.00,7178.00,55829.00,76000.00,374076.00,354674.00,0.00,66653.00,232192.00,55829.00,15315.00,1235.00,309.00,4728.00,175.00,0.00,8868.00,0.00,0.00,0.00,0.00,4087.00,374076.00,138300.00,106501.00,17057.00,0.00,55.00,14687.00,228796.00,23154.00,95523.00,753.00,381.00,170.00,12432.00,52099.00,14255.00,11511.00,13197.00,0.00,1298.00,908.00,0.00,1742.00,0.00,0.00,0.00,1220.00,0.00,153.00,6980.00
1958:Q2,378590.00,4873.00,233403.00,6024.00,56972.00,77318.00,378590.00,359405.00,0.00,67808.00,234625.00,56972.00,14758.00,1093.00,273.00,4625.00,177.00,0.00,8590.00,0.00,0.00,0.00,0.00,4427.00,378590.00,134435.00,104662.00,14977.00,0.00,26.00,14770.00,237809.00,25173.00,99878.00,788.00,393.00,174.00,12555.00,52766.00,14615.00,11859.00,13439.00,0.00,1478.00,937.00,0.00,1631.00,0.00,0.00,0.00,1940.00,0.00,183.00,6346.00
1958:Q3,382030.00,4573.00,234110.00,6314.00,58513.00,78520.00,382030.00,363172.00,0.00,69258.00,235401.00,58513.00,14343.00,1035.00,259.00,4840.00,183.00,0.00,8026.00,0.00,0.00,0.00,0.00,4515.00,382030.00,133831.00,103061.00,15928.00,0.00,7.00,14835.00,241058.00,24678.00,102696.00,750.00,404.00,178.00,12858.00,53619.00,15000.00,12170.00,13818.00,0.00,1477.00,967.00,0.00,1497.00,0.00,0.00,0.00,775.00,0.00,171.00,7141.00
1958:Q4,391832.00,4053.00,241244.00,6713.00,59819.00,80003.00,391832.00,373034.00,0.00,70373.00,242842.00,59819.00,14064.00,965.00,241.00,4925.00,190.00,0.00,7743.00,0.00,0.00,0.00,0.00,4734.00,391832.00,137652.00,103828.00,18860.00,0.00,3.00,14961.00,246657.00,26295.00,104496.00,797.00,408.00,181.00,13222.00,54283.00,15409.00,12280.00,14227.00,0.00,1453.00,996.00,0.00,1252.00,0.00,0.00,0.00,1242.00,0.00,116.00,7523.00
1959:Q1,394480.00,4444.00,241163.00,6550.00,61397.00,80926.00,394480.00,374833.00,0.00,70959.00,242477.00,61397.00,14744.00,852.00,213.00,5041.00,195.00,0.00,8443.00,0.00,0.00,0.00,0.00,4903.00,394480.00,142039.00,106442.00,20440.00,0.00,2.00,15155.00,244495.00,25436.00,101596.00,793.00,327.00,184.00,13358.00,55051.00,15669.00,12413.00,14634.00,0.00,1528.00,1075.00,0.00,1457.00,0.00,0.00,0.00,825.00,0.00,149.00,7946.00
