1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,61076.00,10364.00,15000.00,0.00,20.00,24322.00,0.00,20115.00,2074.00,2133.00,0.00,2922.00,0.00,0.00,7112.00,879.00,457.00,162919.00,107874.00,6067.00,101807.00,3414.00,15266.00,36365.00
1967:Q2,61974.00,10406.00,15651.00,0.00,0.00,24265.00,0.00,20003.00,2126.00,2136.00,0.00,2948.00,0.00,0.00,7256.00,950.00,498.00,165984.00,110195.00,7010.00,103185.00,3464.00,15685.00,36640.00
1967:Q3,62881.00,10278.00,15389.00,0.00,959.00,24466.00,0.00,20033.00,2306.00,2127.00,0.00,2975.00,0.00,0.00,7459.00,887.00,468.00,168844.00,112319.00,7826.00,104493.00,3570.00,16104.00,36851.00
1967:Q4,64005.00,11124.00,15731.00,0.00,256.00,24618.00,0.00,19742.00,2751.00,2125.00,0.00,3003.00,0.00,0.00,7822.00,999.00,452.00,171015.00,113793.00,8000.00,105793.00,3579.00,16536.00,37107.00
1968:Q1,65084.00,10373.00,16272.00,0.00,869.00,25247.00,0.00,19320.00,3842.00,2085.00,0.00,3044.00,0.00,0.00,7742.00,1066.00,471.00,175149.00,115278.00,8074.00,107204.00,3636.00,16983.00,39252.00
1968:Q2,66482.00,11184.00,16447.00,0.00,200.00,25925.00,0.00,19303.00,4478.00,2144.00,0.00,3090.00,0.00,0.00,8025.00,1147.00,464.00,179003.00,117323.00,8427.00,108896.00,3835.00,17448.00,40397.00
1968:Q3,68017.00,9293.00,17286.00,0.00,1369.00,27059.00,0.00,19514.00,5396.00,2149.00,0.00,3141.00,0.00,0.00,8388.00,1081.00,400.00,183154.00,119319.00,8102.00,111217.00,3878.00,17922.00,42035.00
1968:Q4,69765.00,10389.00,18880.00,0.00,-1273.00,28254.00,0.00,19926.00,6157.00,2171.00,0.00,3195.00,0.00,0.00,8769.00,1184.00,367.00,188093.00,122132.00,8143.00,113989.00,3993.00,18407.00,43561.00
1969:Q1,71537.00,10030.00,18224.00,0.00,-160.00,29833.00,0.00,20432.00,7206.00,2195.00,0.00,3243.00,0.00,0.00,8842.00,1201.00,324.00,194335.00,125803.00,9006.00,116797.00,4130.00,18903.00,45499.00
1969:Q2,73165.00,10432.00,16547.00,0.00,1300.00,30816.00,0.00,20956.00,7608.00,2252.00,0.00,3302.00,0.00,0.00,9173.00,1293.00,302.00,200318.00,129343.00,10082.00,119261.00,4205.00,19411.00,47359.00
1969:Q3,74247.00,9971.00,13361.00,0.00,4858.00,31613.00,0.00,21751.00,7607.00,2255.00,0.00,3432.00,0.00,0.00,9543.00,1180.00,289.00,205339.00,132054.00,10721.00,121333.00,4271.00,19922.00,49092.00
1969:Q4,75847.00,12336.00,13050.00,0.00,2599.00,32751.00,0.00,23007.00,7508.00,2236.00,0.00,3652.00,0.00,0.00,10008.00,1194.00,257.00,209740.00,133518.00,10909.00,122609.00,4739.00,20431.00,51052.00
1970:Q1,76841.00,11293.00,14796.00,0.00,2010.00,33226.00,0.00,23963.00,7055.00,2208.00,0.00,4078.00,0.00,0.00,9991.00,1191.00,256.00,212827.00,135658.00,11218.00,124440.00,4698.00,20953.00,51518.00
1970:Q2,77989.00,11834.00,16939.00,0.00,0.00,33293.00,0.00,24366.00,6633.00,2294.00,0.00,4187.00,0.00,0.00,10184.00,1294.00,258.00,218394.00,138998.00,12155.00,126843.00,4572.00,21484.00,53340.00
1970:Q3,78997.00,9706.00,19729.00,0.00,1073.00,32322.00,0.00,23868.00,6158.00,2296.00,0.00,4353.00,0.00,0.00,10351.00,1234.00,229.00,220757.00,141582.00,12261.00,129321.00,4766.00,22045.00,52364.00
1970:Q4,80061.00,11290.00,23012.00,0.00,-1416.00,30500.00,0.00,22940.00,5176.00,2384.00,0.00,4569.00,0.00,0.00,10630.00,1259.00,217.00,225029.00,145501.00,13252.00,132249.00,4816.00,22618.00,52094.00
1971:Q1,81128.00,11521.00,25946.00,0.00,-1819.00,28406.00,0.00,22010.00,4033.00,2363.00,0.00,4875.00,0.00,0.00,10701.00,1292.00,206.00,232143.00,149746.00,14386.00,135360.00,4909.00,23200.00,54288.00
1971:Q2,83349.00,11873.00,26041.00,0.00,0.00,27522.00,0.00,21890.00,3301.00,2331.00,0.00,5031.00,0.00,0.00,10839.00,1788.00,255.00,240582.00,153966.00,15210.00,138756.00,4841.00,23796.00,57979.00
1971:Q3,85973.00,11180.00,26752.00,0.00,1901.00,27283.00,0.00,21848.00,3150.00,2285.00,0.00,5358.00,0.00,0.00,11062.00,2112.00,325.00,249095.00,157875.00,15820.00,142055.00,5090.00,24395.00,61735.00
1971:Q4,89230.00,12114.00,30236.00,0.00,-863.00,27723.00,0.00,22587.00,3004.00,2132.00,0.00,5648.00,0.00,0.00,11559.00,2505.00,308.00,257030.00,161566.00,15735.00,145831.00,5181.00,25012.00,65271.00
1972:Q1,92484.00,11412.00,31781.00,0.00,-63.00,28518.00,0.00,23279.00,3235.00,2004.00,0.00,5983.00,0.00,0.00,11582.00,2938.00,333.00,265139.00,165681.00,16206.00,149475.00,5448.00,25638.00,68372.00
1972:Q2,96402.00,11839.00,33077.00,0.00,0.00,29505.00,0.00,23584.00,4197.00,1724.00,0.00,6386.00,0.00,0.00,11785.00,3475.00,335.00,273162.00,169065.00,15722.00,153343.00,5145.00,26259.00,72693.00
1972:Q3,100823.00,11192.00,33335.00,0.00,2314.00,30972.00,0.00,24150.00,4885.00,1937.00,0.00,6673.00,0.00,0.00,12291.00,3756.00,290.00,281410.00,172476.00,15926.00,156550.00,5271.00,26891.00,76772.00
1972:Q4,106273.00,12663.00,36970.00,0.00,-952.00,33054.00,0.00,24896.00,6325.00,1833.00,0.00,7035.00,0.00,0.00,13013.00,4284.00,206.00,287791.00,175184.00,15787.00,159397.00,5526.00,27547.00,79534.00
1973:Q1,111387.00,11255.00,39845.00,0.00,-346.00,35173.00,0.00,25424.00,7691.00,2058.00,0.00,7313.00,0.00,0.00,13297.00,4642.00,208.00,289839.00,179246.00,16164.00,163082.00,4797.00,28217.00,77579.00
