1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q4,20276.00,27647.00,27719.00,-45.00,-27.00,1141.00,-8512.00,20276.00,18053.00,2223.00
2000:Q1,19740.00,-11328.00,-11231.00,-61.00,-36.00,2077.00,28991.00,19740.00,17908.00,1832.00
2000:Q2,19840.00,11003.00,11025.00,-14.00,-8.00,1248.00,7589.00,19840.00,17968.00,1872.00
2000:Q3,20227.00,14747.00,14714.00,21.00,12.00,1264.00,4216.00,20227.00,18250.00,1977.00
2000:Q4,19961.00,8554.00,8383.00,112.00,59.00,626.00,10781.00,19961.00,18353.00,1608.00
2001:Q1,19864.00,10977.00,10201.00,510.00,266.00,-820.00,9707.00,19864.00,18046.00,1818.00
2001:Q2,20773.00,13314.00,13072.00,159.00,83.00,795.00,6664.00,20773.00,18305.00,2468.00
2001:Q3,20107.00,16058.00,15033.00,674.00,351.00,-1140.00,5189.00,20107.00,18507.00,1600.00
2001:Q4,21541.00,30036.00,29555.00,302.00,179.00,574.00,-9069.00,21541.00,18468.00,3073.00
2002:Q1,21089.00,-10365.00,-10306.00,-37.00,-22.00,1368.00,30086.00,21089.00,18053.00,3036.00
2002:Q2,20430.00,10410.00,10116.00,185.00,109.00,523.00,9497.00,20430.00,18331.00,2099.00
2002:Q3,23597.00,15732.00,14739.00,624.00,369.00,213.00,7652.00,23597.00,20196.00,3401.00
2002:Q4,30073.00,21975.00,19761.00,1339.00,875.00,5567.00,2531.00,30073.00,27395.00,2678.00
2003:Q1,32148.00,-65111.00,-67931.00,1728.00,1092.00,6091.00,91168.00,32148.00,28652.00,3496.00
2003:Q2,23160.00,61000.00,60970.00,18.00,12.00,2766.00,-40606.00,23160.00,19874.00,3286.00
2003:Q3,24567.00,9972.00,10559.00,-402.00,-185.00,3848.00,10747.00,24567.00,21349.00,3218.00
2003:Q4,23296.00,25711.00,26351.00,-438.00,-202.00,4014.00,-6429.00,23296.00,19903.00,3393.00
2004:Q1,23486.00,-13573.00,-13478.00,-92.00,-3.00,3044.00,34015.00,23486.00,20165.00,3321.00
2004:Q2,22970.00,9737.00,9875.00,-117.00,-21.00,995.00,12238.00,22970.00,20064.00,2906.00
2004:Q3,24505.00,18384.00,17526.00,495.00,363.00,618.00,5503.00,24505.00,20417.00,4088.00
2004:Q4,24640.00,31470.00,31671.00,-189.00,-12.00,3942.00,-10772.00,24640.00,20682.00,3958.00
2005:Q1,23988.00,-9547.00,-9474.00,-99.00,26.00,1498.00,32037.00,23988.00,20098.00,3890.00
2005:Q2,24327.00,11537.00,11395.00,39.00,103.00,749.00,12041.00,24327.00,20579.00,3748.00
2005:Q3,25050.00,16522.00,15975.00,248.00,299.00,1584.00,6944.00,25050.00,20870.00,4180.00
2005:Q4,24445.00,29517.00,29710.00,-144.00,-49.00,2874.00,-7946.00,24445.00,20630.00,3815.00
2006:Q1,23651.00,-12841.00,-12664.00,-125.00,-52.00,2220.00,34272.00,23651.00,19688.00,3963.00
2006:Q2,23872.00,9077.00,9228.00,-113.00,-38.00,-787.00,15582.00,23872.00,19881.00,3991.00
2006:Q3,23955.00,17234.00,16781.00,237.00,216.00,1444.00,5277.00,23955.00,20127.00,3828.00
2006:Q4,23852.00,31057.00,30950.00,-221.00,328.00,3031.00,-10236.00,23852.00,19825.00,4027.00
2007:Q1,23472.00,-11666.00,-11804.00,-190.00,328.00,53.00,35085.00,23472.00,19375.00,4097.00
2007:Q2,23590.00,-9645.00,-9630.00,-288.00,273.00,2542.00,30693.00,23590.00,19838.00,3752.00
2007:Q3,23804.00,21181.00,20305.00,101.00,775.00,-1641.00,4264.00,23804.00,20158.00,3646.00
2007:Q4,24570.00,46019.00,45711.00,212.00,96.00,904.00,-22353.00,24570.00,20382.00,4188.00
2008:Q1,23796.00,-4824.00,-6415.00,1030.00,561.00,-6881.00,35501.00,23796.00,19982.00,3814.00
2008:Q2,24139.00,8875.00,9059.00,-85.00,-99.00,1513.00,13751.00,24139.00,19997.00,4142.00
2008:Q3,24090.00,24755.00,25723.00,-292.00,-676.00,-2110.00,1445.00,24090.00,19950.00,4140.00
2008:Q4,24435.00,58446.00,59637.00,-890.00,-301.00,-889.00,-33122.00,24435.00,19583.00,4852.00
2009:Q1,22436.00,-17666.00,-17452.00,-224.00,10.00,-1037.00,41139.00,22436.00,18562.00,3874.00
2009:Q2,23644.00,4985.00,4950.00,-69.00,104.00,3906.00,14753.00,23644.00,18670.00,4974.00
2009:Q3,22482.00,16700.00,16572.00,120.00,8.00,2313.00,3469.00,22482.00,19101.00,3381.00
2009:Q4,25176.00,65322.00,65283.00,199.00,-160.00,3653.00,-43799.00,25176.00,19165.00,6011.00
2010:Q1,23868.00,-15296.00,-15233.00,90.00,-153.00,2373.00,36791.00,23868.00,19864.00,4004.00
2010:Q2,25519.00,8263.00,8174.00,200.00,-111.00,401.00,16855.00,25519.00,20582.00,4937.00
2010:Q3,25811.00,21559.00,20582.00,664.00,313.00,-1101.00,5353.00,25811.00,21565.00,4246.00
2010:Q4,26937.00,62043.00,62270.00,-348.00,121.00,3733.00,-38839.00,26937.00,22161.00,4776.00
2011:Q1,26073.00,-10235.00,-10322.00,-140.00,227.00,-296.00,36604.00,26073.00,21924.00,4149.00
2011:Q2,27462.00,-187114.00,-187958.00,310.00,534.00,303.00,214273.00,27462.00,22534.00,4928.00
2011:Q3,26923.00,220177.00,219449.00,253.00,475.00,-4544.00,-188710.00,26923.00,22812.00,4111.00
