1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q1,-16413.00,-24275.00,0.00,266.00,174.00,2992.00,-247.00,158.00,93.00,0.00,1713.00,322.00,1626.00,0.00,695.00,0.00,70.00,5138.00,465.00,0.00,0.00,245.00,224.00,1988.00,218.00,226.00,-33.00,0.00,658.00,682.00,0.00,0.00,0.00,0.00,229.00,333.00,0.00,-97.00,0.00,-21551.00
1953:Q2,-16848.00,-24824.00,0.00,251.00,21.00,3098.00,-223.00,158.00,101.00,0.00,1763.00,299.00,1768.00,0.00,680.00,0.00,60.00,4993.00,536.00,0.00,0.00,136.00,148.00,2142.00,-20.00,222.00,-36.00,0.00,666.00,683.00,0.00,0.00,0.00,0.00,228.00,389.00,0.00,-101.00,0.00,-21841.00
1953:Q3,-16919.00,-25574.00,0.00,263.00,181.00,3464.00,-224.00,159.00,110.00,0.00,1772.00,308.00,1898.00,0.00,666.00,0.00,58.00,5481.00,728.00,0.00,0.00,273.00,244.00,2100.00,-36.00,221.00,-38.00,0.00,675.00,685.00,0.00,0.00,0.00,0.00,233.00,501.00,0.00,-105.00,0.00,-22400.00
1953:Q4,-18300.00,-26450.00,0.00,226.00,307.00,2909.00,-229.00,160.00,123.00,0.00,1770.00,305.00,1825.00,0.00,676.00,0.00,78.00,5714.00,638.00,0.00,0.00,397.00,205.00,2405.00,-62.00,222.00,-40.00,0.00,688.00,685.00,0.00,0.00,0.00,0.00,228.00,458.00,0.00,-110.00,0.00,-24014.00
1954:Q1,-18824.00,-27323.00,0.00,232.00,188.00,3145.00,-232.00,160.00,140.00,0.00,1901.00,331.00,1899.00,0.00,661.00,0.00,74.00,5559.00,754.00,0.00,0.00,267.00,219.00,2158.00,-28.00,226.00,-41.00,0.00,710.00,692.00,0.00,0.00,0.00,0.00,234.00,483.00,0.00,-115.00,0.00,-24383.00
1954:Q2,-18759.00,-27616.00,0.00,216.00,193.00,3293.00,-234.00,158.00,156.00,0.00,2037.00,298.00,2015.00,0.00,657.00,0.00,68.00,5905.00,712.00,0.00,0.00,121.00,150.00,2662.00,-6.00,230.00,-44.00,0.00,738.00,700.00,0.00,0.00,0.00,0.00,252.00,510.00,0.00,-120.00,0.00,-24664.00
1954:Q3,-18343.00,-27830.00,0.00,250.00,201.00,3794.00,-240.00,158.00,172.00,0.00,2068.00,290.00,2080.00,0.00,643.00,0.00,71.00,6381.00,776.00,0.00,0.00,212.00,232.00,2775.00,14.00,236.00,-46.00,0.00,766.00,710.00,0.00,0.00,0.00,0.00,233.00,598.00,0.00,-125.00,0.00,-24724.00
1954:Q4,-18427.00,-28033.00,0.00,242.00,258.00,3537.00,-310.00,154.00,190.00,0.00,2020.00,324.00,2485.00,0.00,629.00,0.00,77.00,6862.00,664.00,0.00,0.00,315.00,192.00,3145.00,-18.00,248.00,-49.00,0.00,787.00,730.00,0.00,0.00,0.00,0.00,321.00,657.00,0.00,-130.00,0.00,-25289.00
1955:Q1,-18246.00,-28419.00,0.00,292.00,235.00,3692.00,-299.00,155.00,203.00,0.00,2015.00,323.00,2838.00,0.00,625.00,0.00,94.00,6793.00,805.00,0.00,0.00,213.00,199.00,2893.00,-1.00,250.00,-50.00,0.00,800.00,762.00,0.00,0.00,0.00,0.00,306.00,752.00,0.00,-136.00,0.00,-25039.00
1955:Q2,-15742.00,-27678.00,0.00,254.00,233.00,4242.00,-277.00,157.00,218.00,0.00,2086.00,346.00,3966.00,0.00,620.00,0.00,91.00,7350.00,905.00,0.00,0.00,141.00,197.00,3231.00,-9.00,250.00,-53.00,0.00,806.00,798.00,0.00,0.00,0.00,0.00,319.00,907.00,0.00,-142.00,0.00,-23092.00
