date,FL713014003.Q,FL713014003.Q,FL313112003.Q,FL713012003.Q,FL903012005.Q
1945:Q4,0.00,0.00,2310.00,4183.00,-1873.00
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,2436.00,4406.00,-1970.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,2408.00,4406.00,-1998.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,0.00,0.00,2403.00,4433.00,-2030.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,2384.00,4442.00,-2058.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,0.00,0.00,2374.00,4480.00,-2106.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
2010:Q4,5200.00,5200.00,25923.00,43542.00,-17619.00
2011:Q1,5200.00,5200.00,25923.00,43790.00,-17867.00
2011:Q2,5200.00,5200.00,25923.00,43953.00,-18030.00
2011:Q3,5200.00,5200.00,25923.00,44082.00,-18159.00
2011:Q4,5200.00,5200.00,25923.00,44198.00,-18275.00
2012:Q1,5200.00,5200.00,25923.00,44389.00,-18466.00
2012:Q2,5200.00,5200.00,25923.00,44517.00,-18594.00
2012:Q3,5200.00,5200.00,25923.00,44635.00,-18712.00
2012:Q4,5200.00,5200.00,25923.00,44751.00,-18828.00
2013:Q1,5200.00,5200.00,25923.00,44971.00,-19048.00
2013:Q2,5200.00,5200.00,25923.00,45147.00,-19224.00
2013:Q3,5200.00,5200.00,25573.00,45334.00,-19761.00
2013:Q4,5200.00,5200.00,25573.00,45493.00,-19920.00
2014:Q1,5200.00,5200.00,25573.00,45749.00,-20176.00
2014:Q2,5200.00,5200.00,25573.00,45963.00,-20390.00
2014:Q3,5200.00,5200.00,25323.00,46171.00,-20848.00
2014:Q4,5200.00,5200.00,25323.00,46301.00,-20978.00
2015:Q1,5200.00,5200.00,25323.00,46671.00,-21348.00
2015:Q2,5200.00,5200.00,25323.00,47000.00,-21677.00
2015:Q3,5200.00,5200.00,25323.00,47327.00,-22004.00
2015:Q4,5200.00,5200.00,25322.00,47567.00,-22245.00
2016:Q1,5200.00,5200.00,25322.00,47726.00,-22404.00
2016:Q2,5200.00,5200.00,25322.00,47941.00,-22619.00
