date,FL344090045.Q,FL344022045.Q,FL343061165.Q,FL343061733.Q,FL343063033.Q,LM343064133.Q,FL343073045.Q,FL344190045.Q
1945:Q4,24055.00,2903.00,2903.00,0.00,0.00,0.00,21152.00,24055.00
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,28162.00,3273.00,3273.00,0.00,0.00,0.00,24889.00,28162.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,31565.00,4096.00,4096.00,0.00,0.00,0.00,27469.00,31565.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,35122.00,4919.00,4919.00,0.00,0.00,0.00,30203.00,35122.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,38974.00,5959.00,5959.00,0.00,0.00,0.00,33015.00,38974.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,43275.00,6743.00,6743.00,0.00,0.00,0.00,36532.00,43275.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q3,1479503.00,463883.00,463883.00,0.00,0.00,0.00,1015620.00,1479503.00
1994:Q4,1496540.00,485506.00,485506.00,0.00,0.00,0.00,1011034.00,1496540.00
1995:Q1,1513239.00,476892.00,476892.00,0.00,0.00,0.00,1036347.00,1513239.00
1995:Q2,1530063.00,486918.00,486918.00,0.00,0.00,0.00,1043145.00,1530063.00
1995:Q3,1547003.00,501617.00,501617.00,0.00,0.00,0.00,1045386.00,1547003.00
1995:Q4,1563884.00,506332.00,506332.00,0.00,0.00,0.00,1057552.00,1563884.00
1996:Q1,1580462.00,510850.00,510850.00,0.00,0.00,0.00,1069612.00,1580462.00
1996:Q2,1597019.00,522650.00,522650.00,0.00,0.00,0.00,1074369.00,1597019.00
1996:Q3,1613766.00,535788.00,535788.00,0.00,0.00,0.00,1077978.00,1613766.00
1996:Q4,1630551.00,561392.00,561392.00,0.00,0.00,0.00,1069159.00,1630551.00
1997:Q1,1647055.00,551537.00,551537.00,0.00,0.00,0.00,1095518.00,1647055.00
1997:Q2,1663822.00,561040.00,561040.00,0.00,0.00,0.00,1102782.00,1663822.00
1997:Q3,1680871.00,576602.00,576602.00,0.00,0.00,0.00,1104269.00,1680871.00
1997:Q4,1698027.00,601693.00,601693.00,0.00,0.00,0.00,1096334.00,1698027.00
1998:Q1,1714961.00,590469.00,590469.00,0.00,0.00,0.00,1124492.00,1714961.00
1998:Q2,1732206.00,601532.00,601532.00,0.00,0.00,0.00,1130674.00,1732206.00
1998:Q3,1749772.00,616276.00,616276.00,0.00,0.00,0.00,1133496.00,1749772.00
1998:Q4,1767473.00,642911.00,642911.00,0.00,0.00,0.00,1124562.00,1767473.00
1999:Q1,1784841.00,632554.00,632554.00,0.00,0.00,0.00,1152287.00,1784841.00
