1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q4,20669.00,210.00,16953.00,1066.00,728.00,727.00,10.00,975.00,7699.00,5246.00,710.00,-71.00,1114.00,126.00,0.00,574.00,12970.00
1974:Q1,4496.00,260.00,-116.00,2264.00,-301.00,771.00,20.00,1598.00,15119.00,12612.00,1454.00,209.00,276.00,154.00,0.00,414.00,-10623.00
1974:Q2,14358.00,430.00,10724.00,1638.00,121.00,824.00,20.00,601.00,17924.00,15445.00,1092.00,224.00,730.00,125.00,0.00,308.00,-3566.00
1974:Q3,11854.00,180.00,9805.00,154.00,528.00,853.00,20.00,314.00,9703.00,7911.00,189.00,357.00,611.00,121.00,0.00,514.00,2151.00
1974:Q4,5894.00,280.00,6040.00,-951.00,-904.00,874.00,20.00,535.00,-7187.00,-4212.00,-533.00,208.00,-3655.00,135.00,0.00,870.00,13081.00
1975:Q1,-13418.00,47.00,-13722.00,367.00,-877.00,935.00,20.00,-188.00,9605.00,8352.00,405.00,97.00,-221.00,162.00,0.00,810.00,-23023.00
1975:Q2,2692.00,103.00,385.00,442.00,597.00,922.00,20.00,223.00,8191.00,6486.00,369.00,522.00,191.00,177.00,0.00,446.00,-5499.00
1975:Q3,13143.00,181.00,10236.00,381.00,879.00,952.00,20.00,494.00,17499.00,15941.00,279.00,391.00,675.00,167.00,0.00,46.00,-4356.00
1975:Q4,14505.00,164.00,12768.00,122.00,175.00,994.00,20.00,262.00,-11688.00,-13570.00,210.00,180.00,744.00,142.00,0.00,606.00,26193.00
1976:Q1,-4947.00,138.00,-8374.00,617.00,1758.00,1024.00,20.00,-130.00,20327.00,18634.00,-9.00,4.00,-136.00,257.00,0.00,1577.00,-25274.00
1976:Q2,11392.00,-58.00,8295.00,944.00,1010.00,998.00,20.00,183.00,16458.00,15005.00,124.00,383.00,593.00,307.00,0.00,46.00,-5066.00
1976:Q3,9749.00,88.00,6437.00,745.00,1879.00,987.00,20.00,-407.00,15758.00,12908.00,457.00,102.00,510.00,327.00,0.00,1454.00,-6009.00
1976:Q4,15053.00,-6.00,12563.00,696.00,443.00,985.00,20.00,352.00,-13162.00,-15539.00,726.00,-35.00,759.00,319.00,0.00,608.00,28215.00
1977:Q1,5356.00,107.00,1482.00,1556.00,1319.00,1021.00,20.00,-149.00,23781.00,23036.00,29.00,-181.00,335.00,315.00,0.00,247.00,-18425.00
1977:Q2,11074.00,40.00,8031.00,1225.00,914.00,1051.00,20.00,-207.00,14801.00,12951.00,948.00,-185.00,593.00,317.00,0.00,177.00,-3727.00
1977:Q3,7777.00,38.00,5555.00,673.00,993.00,1054.00,20.00,-556.00,20444.00,16847.00,1395.00,454.00,433.00,326.00,0.00,989.00,-12667.00
1977:Q4,18299.00,190.00,16966.00,145.00,-21.00,1066.00,10.00,-57.00,-6189.00,-8877.00,1755.00,-850.00,983.00,340.00,0.00,460.00,24488.00
1978:Q1,1635.00,214.00,-1264.00,534.00,1110.00,1071.00,20.00,-50.00,24309.00,19726.00,1583.00,1189.00,406.00,354.00,0.00,1051.00,-22674.00
1978:Q2,14773.00,264.00,11851.00,902.00,616.00,1170.00,20.00,-50.00,26680.00,23206.00,1554.00,460.00,872.00,367.00,0.00,221.00,-11907.00
1978:Q3,9886.00,154.00,6340.00,1110.00,1102.00,1210.00,20.00,-50.00,29814.00,25764.00,1481.00,241.00,624.00,377.00,0.00,1327.00,-19928.00
1978:Q4,28018.00,155.00,24020.00,1039.00,1571.00,1246.00,30.00,-43.00,-2254.00,-7821.00,1424.00,835.00,1409.00,382.00,0.00,1517.00,30272.00
1979:Q1,7397.00,240.00,3396.00,1920.00,837.00,1222.00,50.00,-268.00,33155.00,30753.00,1403.00,239.00,449.00,451.00,0.00,-140.00,-25758.00
1979:Q2,19211.00,143.00,14067.00,2167.00,1017.00,1297.00,30.00,490.00,26041.00,21175.00,1255.00,741.00,1006.00,498.00,0.00,1366.00,-6830.00
1979:Q3,22148.00,36.00,16295.00,2160.00,1298.00,1358.00,30.00,971.00,34622.00,31331.00,887.00,332.00,1131.00,508.00,0.00,433.00,-12474.00
1979:Q4,25222.00,329.00,21984.00,2015.00,-909.00,1412.00,40.00,351.00,-7794.00,-10885.00,591.00,1089.00,1305.00,478.00,0.00,-372.00,33016.00
1980:Q1,6027.00,258.00,1102.00,1718.00,842.00,1467.00,60.00,580.00,34834.00,31898.00,488.00,1525.00,415.00,490.00,0.00,18.00,-28807.00
1980:Q2,-2001.00,173.00,-6777.00,1515.00,638.00,1464.00,100.00,886.00,8019.00,-949.00,526.00,478.00,22.00,500.00,0.00,7442.00,-10020.00
1980:Q3,13248.00,345.00,7131.00,1419.00,585.00,1464.00,100.00,2204.00,23055.00,19832.00,623.00,1127.00,713.00,499.00,0.00,261.00,-9807.00
1980:Q4,29181.00,403.00,27788.00,1044.00,201.00,1496.00,100.00,-1851.00,3452.00,-1083.00,701.00,648.00,1604.00,495.00,0.00,1087.00,25729.00
1981:Q1,24823.00,163.00,18079.00,1506.00,1429.00,1585.00,100.00,1961.00,44843.00,42678.00,539.00,642.00,1265.00,614.00,0.00,-895.00,-20020.00
1981:Q2,9884.00,292.00,7205.00,2256.00,22.00,1558.00,100.00,-1549.00,19261.00,16771.00,777.00,762.00,535.00,690.00,0.00,-274.00,-9377.00
1981:Q3,-978.00,169.00,-3605.00,1433.00,-275.00,1566.00,100.00,-366.00,16378.00,14644.00,1372.00,638.00,52.00,704.00,0.00,-1032.00,-17356.00
1981:Q4,7879.00,346.00,5328.00,852.00,-637.00,1613.00,100.00,277.00,-25739.00,-29323.00,1848.00,500.00,482.00,534.00,0.00,220.00,33618.00
1982:Q1,-11094.00,151.00,-11411.00,664.00,1052.00,1619.00,100.00,-3269.00,8320.00,6690.00,1693.00,1079.00,-361.00,557.00,0.00,-1338.00,-19414.00
1982:Q2,8702.00,159.00,2963.00,2436.00,1860.00,1652.00,100.00,-468.00,11041.00,6192.00,1870.00,1256.00,497.00,532.00,0.00,694.00,-2339.00
1982:Q3,6683.00,221.00,2327.00,1367.00,1485.00,1684.00,150.00,-551.00,13259.00,11445.00,2112.00,-116.00,404.00,519.00,0.00,-1105.00,-6576.00
1982:Q4,19709.00,300.00,16931.00,-40.00,356.00,1726.00,150.00,286.00,-20793.00,-29335.00,2306.00,2573.00,808.00,517.00,0.00,2338.00,40502.00
1983:Q1,-16766.00,579.00,-17535.00,-1704.00,221.00,1740.00,92.00,-159.00,12394.00,12406.00,1956.00,1273.00,-668.00,511.00,0.00,-3084.00,-29160.00
1983:Q2,7924.00,534.00,3410.00,915.00,1926.00,1750.00,529.00,-1140.00,24582.00,21208.00,1913.00,1082.00,457.00,501.00,220.00,-799.00,-16658.00
1983:Q3,1239.00,604.00,-3170.00,450.00,1697.00,1805.00,-138.00,-9.00,33254.00,27322.00,1805.00,291.00,178.00,497.00,220.00,2941.00,-32015.00
1983:Q4,32467.00,724.00,25089.00,267.00,1167.00,1819.00,2003.00,1398.00,1419.00,-3534.00,1721.00,1120.00,1532.00,488.00,220.00,-128.00,31048.00
1984:Q1,13128.00,681.00,8609.00,-69.00,2590.00,1880.00,-1059.00,496.00,41446.00,35898.00,1990.00,1319.00,692.00,632.00,220.00,695.00,-28318.00
1984:Q2,26171.00,822.00,18464.00,1856.00,2609.00,1932.00,106.00,382.00,38051.00,30685.00,1883.00,2285.00,1325.00,732.00,220.00,921.00,-11880.00
1984:Q3,4631.00,739.00,-868.00,1738.00,1756.00,1993.00,594.00,-1321.00,28077.00,24699.00,1615.00,1262.00,350.00,718.00,220.00,-787.00,-23446.00
1984:Q4,13542.00,901.00,8403.00,1320.00,188.00,2033.00,738.00,-41.00,-20436.00,-23679.00,1401.00,216.00,743.00,679.00,220.00,-16.00,33978.00
1985:Q1,777.00,621.00,-2889.00,87.00,3017.00,2090.00,-1266.00,-883.00,34329.00,30555.00,1364.00,2079.00,175.00,644.00,220.00,-708.00,-33552.00
1985:Q2,12933.00,865.00,3807.00,2071.00,2877.00,2173.00,1081.00,59.00,15186.00,11494.00,1269.00,1731.00,741.00,609.00,220.00,-878.00,-2253.00
1985:Q3,3578.00,1069.00,-3050.00,933.00,2807.00,2221.00,419.00,-821.00,13970.00,10157.00,1031.00,1040.00,301.00,506.00,220.00,715.00,-10392.00
1985:Q4,48287.00,571.00,44592.00,-4362.00,1939.00,2265.00,2299.00,983.00,-3014.00,-6984.00,841.00,-1171.00,2558.00,431.00,220.00,1091.00,51301.00
1986:Q1,-32740.00,720.00,-35072.00,640.00,2059.00,2338.00,-1253.00,-2172.00,-13705.00,-14437.00,2248.00,-497.00,-2031.00,1267.00,220.00,-475.00,-19035.00
1986:Q2,-879.00,569.00,-5627.00,-3519.00,4973.00,2363.00,549.00,-187.00,20192.00,14607.00,2257.00,706.00,276.00,1092.00,220.00,1034.00,-21071.00
