date,FU796000105.Q,FU795090005.Q,FU795019005.Q,FU645012063.Q,FU795013005.Q,FU795000005.Q,FU794090005.Q,FU713011005.Q,FU713014003.Q,FU713012003.Q,FU633091003.Q,FU794010005.Q,FU793020005.Q,FU793030005.Q,FU793034005.Q,FU792050005.Q,FU794022005.Q,FU793069175.Q,FU793061105.Q,FU793061705.Q,FU793062005.Q,FU793063005.Q,FU794023005.Q,FU793068005.Q,FU793069005.Q,FU793065005.Q,FU793066005.Q,FU793064105.Q,FU793064205.Q,FU793070005.Q,FU793040005.Q,FU793092005.Q,FU793090005.Q,FU794190005.Q,FU794110005.Q,FU793120005.Q,FU703130005.Q,FU634090005.Q,FU792150005.Q,FU794122005.Q,FU793169175.Q,FU423161705.Q,FU793163005.Q,FU794123005.Q,FU793168005.Q,FU793169005.Q,FU643165005.Q,FU793164105.Q,FU653164205.Q,FU663170003.Q,FU543140005.Q,FU153050005.Q,FU793178005.Q,FU662090205.Q,FU793192005.Q,FU793190005.Q,FU797005005.Q
1992:Q3,8364.00,54922.00,20541.00,56.00,20485.00,34381.00,403701.00,-1126.00,0.00,85.00,4790.00,4615.00,1437.00,-288.00,19570.00,54779.00,154152.00,936.00,70661.00,20375.00,14695.00,47485.00,47742.00,-5972.00,-1674.00,46757.00,8631.00,10166.00,4460.00,717.00,0.00,-3461.00,106063.00,369320.00,23317.00,38466.00,-57683.00,-2874.00,68262.00,67744.00,4193.00,41585.00,21966.00,7726.00,4983.00,2633.00,110.00,9530.00,50055.00,122.00,8747.00,91384.00,-47.00,449.00,4139.00,59983.00,-46558.00
1992:Q4,24138.00,-4330.00,23583.00,2459.00,21124.00,-27913.00,199662.00,-723.00,-2000.00,109.00,-1019.00,9636.00,1532.00,-8552.00,4121.00,-9090.00,126005.00,-17070.00,62362.00,26893.00,21937.00,31883.00,46072.00,-4746.00,10428.00,25452.00,14938.00,28352.00,9727.00,2730.00,0.00,1792.00,-9030.00,227575.00,-12955.00,61492.00,-22070.00,-10670.00,-11587.00,59996.00,-305.00,36795.00,23506.00,-5634.00,-3479.00,-2371.00,216.00,10215.00,51112.00,835.00,6482.00,87647.00,-40.00,-124.00,9624.00,3252.00,28468.00
1993:Q1,17166.00,50408.00,22154.00,622.00,21532.00,28254.00,274020.00,307.00,0.00,126.00,-1676.00,-1693.00,2375.00,4135.00,2485.00,16973.00,150423.00,-22173.00,21513.00,55076.00,24838.00,71169.00,-24565.00,-28122.00,3120.00,10981.00,-10543.00,75745.00,14049.00,522.00,0.00,-1039.00,35853.00,245766.00,21262.00,-45328.00,-41760.00,13330.00,76530.00,41892.00,-19872.00,35817.00,25947.00,8358.00,-12565.00,20578.00,345.00,10802.00,67198.00,712.00,7514.00,109390.00,-2544.00,930.00,2168.00,-24688.00,-33242.00
1993:Q2,20305.00,37806.00,22645.00,511.00,22134.00,15161.00,361514.00,-347.00,0.00,132.00,380.00,-4495.00,-831.00,-2364.00,3941.00,5065.00,169282.00,-6732.00,49647.00,42431.00,32486.00,51450.00,81890.00,11822.00,4329.00,55541.00,10198.00,46802.00,17963.00,1005.00,0.00,9782.00,33308.00,346353.00,-15918.00,78814.00,-17079.00,-7112.00,-7961.00,36559.00,-3465.00,18668.00,21356.00,26640.00,7984.00,18318.00,338.00,13526.00,68572.00,1830.00,8379.00,95212.00,873.00,-343.00,6140.00,58221.00,-17501.00
1993:Q3,19914.00,45831.00,24496.00,2050.00,22446.00,21335.00,449565.00,195.00,0.00,161.00,-5249.00,3845.00,-1294.00,-9305.00,9616.00,47554.00,194214.00,-5342.00,49312.00,50563.00,22205.00,77476.00,88190.00,742.00,11245.00,54252.00,21951.00,39855.00,17463.00,-826.00,0.00,-740.00,65886.00,428230.00,12314.00,13931.00,-26531.00,-1890.00,81179.00,106324.00,-2627.00,71178.00,37773.00,2642.00,-2470.00,3570.00,1542.00,11303.00,71852.00,506.00,8880.00,90409.00,1726.00,648.00,14410.00,40527.00,-25917.00
1993:Q4,21390.00,38675.00,25418.00,1972.00,23446.00,13257.00,389359.00,233.00,0.00,229.00,-3929.00,3091.00,5831.00,3629.00,6153.00,-5652.00,153282.00,4747.00,34809.00,49529.00,24694.00,39503.00,101259.00,13933.00,19063.00,35736.00,32527.00,57028.00,21696.00,3534.00,0.00,18035.00,24941.00,376103.00,2757.00,69897.00,-195.00,14797.00,-21613.00,95206.00,20442.00,39618.00,35146.00,9115.00,1096.00,6655.00,1364.00,15488.00,72541.00,-368.00,8673.00,76555.00,2086.00,-340.00,8270.00,23234.00,-17285.00
1994:Q1,10313.00,3054.00,25840.00,1961.00,23879.00,-22786.00,436854.00,-21.00,0.00,223.00,1374.00,-546.00,3208.00,-2354.00,12758.00,60714.00,62450.00,-8249.00,-10856.00,22587.00,11683.00,47285.00,38228.00,-3666.00,7426.00,31234.00,3234.00,40334.00,23282.00,1158.00,0.00,2733.00,193314.00,459640.00,26084.00,-31277.00,4019.00,16969.00,64716.00,128254.00,6843.00,82525.00,38886.00,-4996.00,-4579.00,-2873.00,2456.00,5416.00,51425.00,2187.00,7001.00,95885.00,-619.00,-13.00,-2209.00,96798.00,7259.00
1994:Q2,20992.00,28036.00,26486.00,2318.00,24169.00,1550.00,296106.00,-1697.00,0.00,210.00,-2498.00,1272.00,-2329.00,1698.00,3992.00,17718.00,29873.00,1801.00,-4121.00,35101.00,-17308.00,14399.00,105960.00,9681.00,13706.00,49425.00,33149.00,60339.00,16331.00,-492.00,0.00,548.00,65182.00,294557.00,26615.00,8774.00,-13824.00,-5656.00,29408.00,97373.00,1246.00,69749.00,26378.00,243.00,-8556.00,5699.00,3100.00,2781.00,30122.00,-2267.00,6049.00,91137.00,-858.00,-541.00,3080.00,22121.00,-7044.00
1994:Q3,23368.00,51764.00,26683.00,2428.00,24255.00,25081.00,303490.00,167.00,0.00,251.00,-387.00,-7450.00,607.00,1736.00,16326.00,24923.00,92963.00,10741.00,6261.00,39240.00,11862.00,24859.00,109127.00,10856.00,6928.00,51660.00,39684.00,45604.00,14978.00,3873.00,0.00,1027.00,-254.00,278410.00,-910.00,-23760.00,9917.00,9563.00,42493.00,96474.00,10003.00,60514.00,25957.00,5159.00,-6439.00,8598.00,3000.00,1584.00,29401.00,268.00,16290.00,81595.00,948.00,-24.00,-5964.00,15376.00,-28396.00
1994:Q4,21762.00,17903.00,25124.00,544.00,24580.00,-7221.00,218138.00,-1094.00,0.00,215.00,7448.00,6524.00,-1164.00,2199.00,-11606.00,-63912.00,70736.00,16887.00,24334.00,34669.00,-14466.00,9311.00,146722.00,27587.00,29943.00,46164.00,43028.00,2235.00,43492.00,4512.00,0.00,-2646.00,14477.00,225358.00,39943.00,34484.00,4537.00,24810.00,-97058.00,126012.00,22360.00,79367.00,24285.00,14166.00,3082.00,9858.00,1226.00,96.00,3349.00,-1108.00,5516.00,48755.00,-305.00,-537.00,5107.00,17591.00,3859.00
1995:Q1,20281.00,44189.00,25091.00,434.00,24657.00,19099.00,348178.00,1966.00,0.00,232.00,-781.00,-6984.00,-2870.00,13855.00,5183.00,51432.00,130808.00,23037.00,38365.00,24971.00,18408.00,26027.00,79563.00,28800.00,3980.00,36540.00,10243.00,3227.00,23760.00,4074.00,0.00,1959.00,42755.00,329079.00,-11168.00,-48558.00,51920.00,30869.00,80322.00,71568.00,8877.00,23580.00,39111.00,-6365.00,-6283.00,-923.00,841.00,-627.00,23941.00,-128.00,10245.00,81683.00,1080.00,28.00,-4247.00,48516.00,-23909.00
1995:Q2,22589.00,53891.00,25426.00,1014.00,24413.00,28464.00,457874.00,891.00,0.00,264.00,360.00,-2390.00,4213.00,2596.00,1171.00,77874.00,148377.00,12990.00,10842.00,44531.00,4931.00,75083.00,149270.00,41139.00,9890.00,59757.00,38485.00,16320.00,26575.00,4148.00,0.00,1226.00,26979.00,429410.00,-4965.00,48154.00,44242.00,44799.00,59342.00,103387.00,8767.00,50933.00,43687.00,10712.00,6152.00,2598.00,1962.00,-588.00,33044.00,309.00,11373.00,83580.00,2383.00,-457.00,-2991.00,-2914.00,-31302.00
1995:Q3,23467.00,65583.00,25043.00,573.00,24470.00,40539.00,397650.00,630.00,2150.00,270.00,5910.00,-2053.00,1124.00,18807.00,1468.00,5299.00,97786.00,4531.00,503.00,55423.00,3107.00,34222.00,143178.00,18174.00,11101.00,66161.00,47743.00,16054.00,29052.00,2167.00,0.00,1816.00,73993.00,357111.00,-1551.00,-51113.00,47557.00,24200.00,22624.00,117931.00,10802.00,53161.00,53968.00,6508.00,1878.00,3508.00,1122.00,-2581.00,49377.00,667.00,6135.00,90313.00,2427.00,554.00,778.00,43285.00,-42116.00
