1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q2,573972.00,537627.00,441753.00,207185.00,234568.00,51519.00,2649.00,48870.00,6409.00,37946.00,36346.00,18175.00,0.00,0.00,0.00,0.00,0.00,3662.00,0.00,3662.00,8266.00,6243.00,5852.00,391.00,0.00,105239.00,91529.00,13599.00,10642.00,67288.00,13527.00,0.00,184.00,0.00,468733.00,169194.00,69990.00,19.53
1965:Q3,579952.00,543236.00,446934.00,208738.00,238196.00,52242.00,2656.00,49586.00,6486.00,37574.00,36716.00,18202.00,0.00,0.00,0.00,0.00,0.00,3670.00,0.00,3670.00,8487.00,6357.00,5951.00,407.00,0.00,107523.00,93708.00,13802.00,10643.00,69264.00,13628.00,0.00,187.00,0.00,472429.00,170371.00,70826.00,19.84
1965:Q4,593579.00,556912.00,458451.00,215228.00,243223.00,52389.00,2683.00,49706.00,6463.00,39609.00,36666.00,18223.00,0.00,0.00,0.00,0.00,0.00,4040.00,0.00,4040.00,7930.00,6473.00,6060.00,413.00,0.00,108535.00,95594.00,14046.00,10695.00,70853.00,12750.00,0.00,191.00,0.00,485043.00,176308.00,72579.00,19.71
1966:Q1,599928.00,562772.00,461800.00,215597.00,246203.00,53256.00,2729.00,50527.00,6603.00,41113.00,37156.00,18226.00,0.00,0.00,0.00,0.00,0.00,3701.00,0.00,3701.00,8627.00,6601.00,6176.00,426.00,0.00,112094.00,98991.00,14668.00,11379.00,72943.00,12911.00,0.00,192.00,0.00,487835.00,176409.00,73102.00,20.29
1966:Q2,616291.00,579242.00,476893.00,225432.00,251461.00,54173.00,2769.00,51404.00,6674.00,41502.00,37049.00,18219.00,0.00,0.00,0.00,0.00,0.00,3830.00,0.00,3830.00,8260.00,6740.00,6300.00,440.00,0.00,114625.00,102189.00,15622.00,11629.00,74938.00,12243.00,0.00,193.00,0.00,501666.00,185324.00,75537.00,20.37
1966:Q3,623969.00,586231.00,481987.00,227088.00,254899.00,55307.00,2818.00,52489.00,6685.00,42252.00,37738.00,18211.00,0.00,0.00,0.00,0.00,0.00,3725.00,0.00,3725.00,8915.00,6887.00,6430.00,457.00,0.00,116289.00,103714.00,15650.00,11651.00,76413.00,12381.00,0.00,194.00,0.00,507680.00,186545.00,76341.00,20.43
1966:Q4,635559.00,597841.00,493570.00,234063.00,259507.00,56843.00,2848.00,53995.00,6690.00,40738.00,37718.00,18213.00,0.00,0.00,0.00,0.00,0.00,3988.00,0.00,3988.00,8491.00,7026.00,6560.00,466.00,0.00,117021.00,105278.00,16296.00,11621.00,77361.00,11547.00,0.00,196.00,0.00,518538.00,192837.00,78269.00,20.30
1967:Q1,641462.00,603242.00,498688.00,235882.00,262806.00,57554.00,2880.00,54674.00,6668.00,40332.00,38219.00,18236.00,0.00,0.00,0.00,0.00,0.00,3654.00,0.00,3654.00,9150.00,7179.00,6701.00,478.00,0.00,118803.00,107112.00,16495.00,12176.00,78441.00,11491.00,0.00,200.00,0.00,522659.00,194292.00,79129.00,20.49
1967:Q2,650287.00,611960.00,504858.00,238290.00,266568.00,58364.00,2917.00,55447.00,6752.00,41987.00,38327.00,18266.00,0.00,0.00,0.00,0.00,0.00,3730.00,0.00,3730.00,8982.00,7349.00,6847.00,502.00,0.00,122211.00,110534.00,17240.00,12525.00,80769.00,11472.00,0.00,205.00,0.00,528075.00,196101.00,80325.00,20.93
1967:Q3,658584.00,619671.00,511908.00,241403.00,270505.00,59573.00,2967.00,56606.00,6863.00,41328.00,38912.00,18302.00,0.00,0.00,50.00,50.00,0.00,3627.00,0.00,3627.00,9422.00,7511.00,7000.00,511.00,0.00,124923.00,112844.00,17199.00,12504.00,83140.00,11869.00,0.00,210.00,0.00,533661.00,198460.00,81635.00,21.15
1967:Q4,670487.00,631474.00,522958.00,247419.00,275539.00,60646.00,3037.00,57609.00,7023.00,40847.00,39013.00,18344.00,0.00,0.00,100.00,100.00,0.00,3872.00,0.00,3872.00,9022.00,7675.00,7152.00,523.00,0.00,127282.00,115611.00,17657.00,12779.00,85176.00,11456.00,0.00,215.00,0.00,543205.00,203514.00,83606.00,21.28
1968:Q1,683011.00,645151.00,533776.00,254185.00,279591.00,61264.00,3114.00,58150.00,7203.00,42908.00,37860.00,18375.00,0.00,0.00,150.00,150.00,0.00,3592.00,0.00,3592.00,7893.00,7850.00,7316.00,534.00,0.00,126917.00,117513.00,17895.00,13189.00,86430.00,9185.00,0.00,219.00,0.00,556094.00,208871.00,85321.00,21.13
1968:Q2,695572.00,657488.00,543214.00,259431.00,283783.00,62588.00,3189.00,59399.00,7242.00,44444.00,38084.00,18418.00,0.00,0.00,200.00,200.00,0.00,3677.00,0.00,3677.00,7736.00,8053.00,7487.00,566.00,0.00,130958.00,121388.00,18759.00,13500.00,89129.00,9346.00,0.00,223.00,0.00,564614.00,212503.00,87033.00,21.50
1968:Q3,705639.00,666884.00,550910.00,262872.00,288038.00,63767.00,3274.00,60493.00,7263.00,44944.00,38755.00,18462.00,0.00,0.00,250.00,250.00,0.00,3532.00,0.00,3532.00,8263.00,8248.00,7674.00,574.00,0.00,133855.00,123689.00,18709.00,13462.00,91518.00,9939.00,0.00,228.00,0.00,571784.00,214377.00,88467.00,21.63
1968:Q4,724469.00,685651.00,569262.00,275581.00,293681.00,64819.00,3367.00,61452.00,7322.00,44247.00,38819.00,18499.00,0.00,0.00,300.00,300.00,0.00,3852.00,0.00,3852.00,7655.00,8512.00,7882.00,630.00,0.00,136167.00,126582.00,19120.00,13573.00,93888.00,9351.00,0.00,234.00,0.00,588302.00,224819.00,91341.00,21.52
1969:Q1,739087.00,699665.00,580615.00,282727.00,297888.00,65713.00,3456.00,62257.00,7459.00,45878.00,39422.00,18526.00,0.00,0.00,350.00,350.00,0.00,3530.00,0.00,3530.00,8257.00,8758.00,8114.00,645.00,0.00,139467.00,129653.00,19989.00,14148.00,95515.00,9575.00,0.00,239.00,0.00,599620.00,230801.00,93448.00,21.62
1969:Q2,753502.00,713498.00,591182.00,288553.00,302629.00,66784.00,3553.00,63231.00,7514.00,48018.00,40004.00,18546.00,0.00,0.00,400.00,400.00,0.00,3667.00,100.00,3567.00,8345.00,9046.00,8372.00,674.00,0.00,145033.00,134786.00,21026.00,14715.00,99044.00,10003.00,0.00,244.00,0.00,608469.00,235497.00,95798.00,22.15
1969:Q3,761748.00,721023.00,598402.00,291848.00,306554.00,68166.00,3651.00,64515.00,7650.00,46805.00,40724.00,18562.00,0.00,0.00,450.00,450.00,0.00,3685.00,200.00,3485.00,8705.00,9322.00,8639.00,683.00,0.00,149389.00,138610.00,21617.00,14877.00,102116.00,10529.00,0.00,250.00,0.00,612359.00,237720.00,97616.00,22.64
1969:Q4,775415.00,734621.00,609003.00,297781.00,311222.00,69958.00,3755.00,66203.00,7757.00,47903.00,40794.00,18578.00,0.00,0.00,500.00,500.00,0.00,4012.00,300.00,3712.00,8110.00,9594.00,8899.00,695.00,0.00,152153.00,141905.00,21874.00,15124.00,104907.00,9992.00,0.00,256.00,0.00,623262.00,242433.00,100066.00,22.77
1970:Q1,785048.00,743669.00,616240.00,300575.00,315665.00,70958.00,3856.00,67102.00,7791.00,48680.00,41379.00,18607.00,200.00,0.00,550.00,550.00,0.00,3814.00,400.00,3414.00,8331.00,9877.00,9169.00,709.00,0.00,152976.00,135076.00,21835.00,15856.00,97384.00,10013.00,0.00,264.00,7623.00,632072.00,244941.00,101682.00,21.37
1970:Q2,807819.00,765975.00,637153.00,314124.00,323029.00,72147.00,3970.00,68177.00,7788.00,48887.00,41844.00,18633.00,600.00,0.00,600.00,600.00,0.00,3978.00,500.00,3478.00,7860.00,10173.00,9446.00,727.00,0.00,158265.00,140021.00,22451.00,16451.00,101119.00,10208.00,0.00,272.00,7763.00,649554.00,256814.00,105697.00,21.56
1970:Q3,808133.00,765773.00,636222.00,310273.00,325949.00,73301.00,4066.00,69235.00,7904.00,48346.00,42360.00,18659.00,1000.00,0.00,650.00,650.00,0.00,4180.00,600.00,3580.00,7418.00,10453.00,9720.00,733.00,0.00,163246.00,144693.00,22522.00,16467.00,105703.00,10168.00,0.00,280.00,8105.00,644886.00,252465.00,106900.00,22.44
1970:Q4,821322.00,778646.00,648063.00,316586.00,331477.00,75678.00,4181.00,71497.00,8143.00,46762.00,42676.00,18687.00,1400.00,0.00,700.00,700.00,0.00,4529.00,700.00,3829.00,6623.00,10737.00,9979.00,758.00,0.00,166741.00,148557.00,22287.00,16635.00,109636.00,9315.00,0.00,288.00,8581.00,654582.00,257536.00,109891.00,22.69
1971:Q1,848275.00,802198.00,666251.00,327190.00,339061.00,77510.00,4297.00,73213.00,8349.00,50089.00,46076.00,18715.00,1800.00,0.00,750.00,750.00,0.00,4431.00,975.00,3456.00,8333.00,12047.00,10273.00,775.00,1000.00,173286.00,152693.00,22836.00,17423.00,112435.00,10966.00,0.00,291.00,9335.00,674989.00,267042.00,112924.00,22.62
1971:Q2,871262.00,823183.00,684252.00,337016.00,347236.00,78884.00,4415.00,74469.00,8391.00,51657.00,48079.00,18742.00,2200.00,0.00,800.00,800.00,0.00,4816.00,1275.00,3541.00,8152.00,13369.00,10574.00,795.00,2000.00,181161.00,160361.00,23780.00,18026.00,118555.00,10455.00,311.00,295.00,9739.00,690100.00,275530.00,116438.00,23.24
1971:Q3,892986.00,842447.00,702376.00,346764.00,355612.00,79920.00,4533.00,75387.00,8371.00,51780.00,50539.00,18776.00,2600.00,0.00,860.00,860.00,0.00,5082.00,1575.00,3507.00,8530.00,14690.00,10890.00,800.00,3000.00,187395.00,165708.00,23887.00,17793.00,124028.00,10290.00,674.00,299.00,10424.00,705591.00,283863.00,120077.00,23.48
1971:Q4,914387.00,861887.00,719630.00,355950.00,363680.00,80399.00,4641.00,75758.00,8218.00,53640.00,52500.00,18824.00,3000.00,0.00,900.00,900.00,0.00,5587.00,1875.00,3712.00,8123.00,16066.00,11230.00,836.00,4000.00,193494.00,171162.00,24461.00,17809.00,128891.00,9517.00,1037.00,302.00,11476.00,720893.00,291737.00,123290.00,23.74
1972:Q1,942982.00,888126.00,742508.00,367000.00,375508.00,82388.00,4778.00,77610.00,8409.00,54821.00,54855.00,18884.00,3400.00,0.00,950.00,950.00,0.00,5546.00,2175.00,3371.00,8636.00,17439.00,11593.00,846.00,5000.00,199773.00,175928.00,24887.00,18355.00,132687.00,9742.00,1400.00,307.00,12396.00,743209.00,300826.00,126738.00,23.67
1972:Q2,968717.00,911207.00,760609.00,375299.00,385310.00,83987.00,4917.00,79070.00,8441.00,58170.00,57509.00,18963.00,3800.00,0.00,1000.00,1000.00,0.00,5857.00,2450.00,3407.00,8824.00,19066.00,11985.00,881.00,6200.00,211191.00,186158.00,26261.00,18803.00,141094.00,10276.00,1763.00,312.00,12681.00,757526.00,307064.00,129132.00,24.57
1972:Q3,997685.00,937245.00,783635.00,388300.00,395335.00,85197.00,5056.00,80141.00,8405.00,60008.00,60440.00,19039.00,4200.00,0.00,1050.00,1050.00,0.00,6096.00,2725.00,3371.00,9386.00,20669.00,12382.00,888.00,7400.00,219776.00,193171.00,26176.00,18851.00,148144.00,10978.00,2126.00,317.00,13184.00,777909.00,317392.00,131810.00,24.83
1972:Q4,1032252.00,969766.00,812021.00,406666.00,405355.00,85057.00,5213.00,79844.00,8281.00,64408.00,62486.00,19093.00,4600.00,0.00,1100.00,1100.00,0.00,6630.00,3000.00,3630.00,8770.00,22294.00,12761.00,933.00,8600.00,230184.00,202550.00,27222.00,19007.00,156321.00,10662.00,2489.00,323.00,14160.00,802068.00,332661.00,135308.00,25.25
1973:Q1,1075074.00,1008567.00,841725.00,418413.00,423312.00,87586.00,5392.00,82194.00,8429.00,70827.00,66507.00,20221.00,5006.00,0.00,1133.00,1133.00,0.00,6461.00,3170.00,3291.00,9240.00,24445.00,13128.00,961.00,10356.00,244928.00,212978.00,30669.00,21069.00,161240.00,13619.00,2853.00,349.00,15128.00,830146.00,341990.00,138499.00,25.66
1973:Q2,1123758.00,1054087.00,877440.00,434979.00,442461.00,90131.00,5579.00,84552.00,8484.00,78032.00,69671.00,21357.00,5411.00,0.00,1161.00,1161.00,0.00,6673.00,3299.00,3374.00,9753.00,25315.00,13475.00,1023.00,10817.00,260566.00,224678.00,35916.00,21841.00,166920.00,17017.00,3222.00,388.00,15261.00,863192.00,355448.00,142432.00,26.03
1973:Q3,1174421.00,1101831.00,918462.00,455456.00,463006.00,92621.00,5757.00,86864.00,8497.00,82251.00,72590.00,22506.00,5813.00,0.00,1176.00,1176.00,0.00,6598.00,3330.00,3268.00,10376.00,26121.00,13819.00,1075.00,11226.00,269985.00,229627.00,40998.00,22111.00,166518.00,20453.00,3599.00,419.00,15888.00,904436.00,372349.00,147529.00,25.39
1973:Q4,1213188.00,1137625.00,952736.00,469182.00,483554.00,94523.00,5942.00,88581.00,8452.00,81914.00,75563.00,23653.00,6213.00,0.00,1183.00,1183.00,0.00,6722.00,3285.00,3437.00,11086.00,26706.00,14176.00,1103.00,11427.00,276029.00,230141.00,44887.00,22349.00,162906.00,24018.00,3985.00,438.00,17447.00,937159.00,383304.00,152506.00,24.56
1974:Q1,1244676.00,1166524.00,981951.00,484223.00,497728.00,96538.00,6174.00,90364.00,8657.00,79379.00,78151.00,24094.00,6735.00,0.00,1199.00,1199.00,0.00,6475.00,3354.00,3121.00,12540.00,27108.00,14549.00,1126.00,11433.00,288751.00,239050.00,47909.00,23318.00,167824.00,26283.00,4419.00,476.00,18524.00,955924.00,396139.00,156560.00,25.01
1974:Q2,1279253.00,1198869.00,1015814.00,500086.00,515728.00,100107.00,6494.00,93613.00,8822.00,74125.00,80384.00,24335.00,7205.00,0.00,1214.00,1214.00,0.00,6572.00,3406.00,3166.00,13632.00,27426.00,14937.00,1232.00,11258.00,303549.00,250896.00,50597.00,24324.00,175975.00,27920.00,4836.00,514.00,19382.00,975704.00,409282.00,163563.00,25.71
1974:Q3,1333041.00,1252207.00,1056064.00,519837.00,536227.00,105823.00,6905.00,98918.00,8913.00,81407.00,80834.00,24181.00,7546.00,0.00,1226.00,1226.00,0.00,6458.00,3418.00,3040.00,13821.00,27602.00,15317.00,1280.00,11005.00,315702.00,260881.00,52204.00,25274.00,183403.00,28075.00,5208.00,553.00,20985.00,1017339.00,425925.00,172221.00,25.64
1974:Q4,1372872.00,1292573.00,1092686.00,536603.00,556083.00,114470.00,7295.00,107175.00,8954.00,76463.00,80299.00,23744.00,7784.00,0.00,1238.00,1238.00,0.00,6476.00,3393.00,3083.00,13288.00,27769.00,15664.00,1329.00,10776.00,323530.00,267249.00,53190.00,25928.00,188132.00,27123.00,5545.00,588.00,23025.00,1049342.00,440273.00,180955.00,25.47
1975:Q1,1408301.00,1327887.00,1125232.00,550397.00,574835.00,119216.00,7562.00,111654.00,9160.00,74280.00,80414.00,23714.00,7877.00,0.00,1228.00,1228.00,0.00,5923.00,3278.00,2645.00,13693.00,27978.00,16100.00,1369.00,10510.00,330476.00,272750.00,54100.00,26553.00,192097.00,27490.00,5847.00,583.00,23806.00,1077825.00,451950.00,185928.00,25.31
1975:Q2,1446254.00,1365290.00,1151521.00,560853.00,590668.00,123251.00,7757.00,115494.00,9467.00,81051.00,80964.00,23769.00,7964.00,0.00,1226.00,1226.00,0.00,5855.00,3196.00,2659.00,14062.00,28089.00,16552.00,1399.00,10137.00,338308.00,279858.00,55093.00,28203.00,196562.00,27932.00,6134.00,578.00,23807.00,1107946.00,460287.00,189301.00,25.26
1975:Q3,1470203.00,1388602.00,1171457.00,567444.00,604013.00,125437.00,7948.00,117489.00,9446.00,82262.00,81601.00,23989.00,8033.00,0.00,1243.00,1243.00,0.00,5722.00,3190.00,2532.00,14341.00,28273.00,17023.00,1430.00,9820.00,343658.00,284188.00,55983.00,29066.00,199138.00,28312.00,6383.00,573.00,24202.00,1126544.00,465101.00,190874.00,25.23
1975:Q4,1496727.00,1413739.00,1196958.00,578653.00,618305.00,127389.00,8177.00,119212.00,9266.00,80126.00,82989.00,24325.00,8088.00,0.00,1274.00,1274.00,0.00,5920.00,3252.00,2668.00,14551.00,28831.00,17524.00,1587.00,9719.00,349260.00,287601.00,56659.00,29985.00,200956.00,28435.00,6602.00,567.00,26055.00,1147468.00,474260.00,192906.00,25.06
1976:Q1,1526702.00,1442756.00,1222961.00,584894.00,638067.00,131064.00,8405.00,122659.00,9574.00,79157.00,83946.00,24600.00,8206.00,0.00,1249.00,1249.00,0.00,5665.00,3326.00,2339.00,14542.00,29684.00,18216.00,1645.00,9823.00,357887.00,295606.00,57632.00,31143.00,206831.00,29052.00,6894.00,571.00,25764.00,1168815.00,478336.00,194990.00,25.29
1976:Q2,1579047.00,1493054.00,1266331.00,605304.00,661027.00,133867.00,8629.00,125238.00,9833.00,83023.00,85993.00,24958.00,8417.00,0.00,1258.00,1258.00,0.00,5840.00,3462.00,2378.00,14666.00,30854.00,19039.00,1703.00,10112.00,366947.00,303301.00,59546.00,32630.00,211125.00,29996.00,7187.00,575.00,25888.00,1212100.00,493867.00,199693.00,25.02
1976:Q3,1616316.00,1527318.00,1302414.00,618478.00,683936.00,136588.00,8819.00,127769.00,9877.00,78438.00,88999.00,25526.00,8859.00,0.00,1352.00,1352.00,0.00,5997.00,3741.00,2256.00,15123.00,32142.00,19910.00,1739.00,10493.00,375754.00,310604.00,60857.00,34194.00,215553.00,30741.00,7484.00,579.00,26346.00,1240563.00,503292.00,203957.00,25.04
1976:Q4,1661771.00,1568526.00,1341057.00,633688.00,707369.00,139084.00,8996.00,130088.00,9688.00,78698.00,93245.00,26271.00,9490.00,0.00,1515.00,1515.00,0.00,6632.00,4151.00,2481.00,15849.00,33488.00,20748.00,1866.00,10873.00,384189.00,317082.00,62117.00,34953.00,220013.00,31438.00,7785.00,583.00,27301.00,1277583.00,514425.00,208397.00,24.82
1977:Q1,1710612.00,1614915.00,1381466.00,651848.00,729618.00,143579.00,9159.00,134420.00,9936.00,79934.00,95697.00,26808.00,9951.00,0.00,1686.00,1686.00,0.00,6482.00,4320.00,2162.00,15878.00,34891.00,21653.00,1942.00,11296.00,396850.00,327622.00,63660.00,37751.00,226211.00,32994.00,8065.00,579.00,27590.00,1313762.00,529955.00,216630.00,24.94
1977:Q2,1757644.00,1658031.00,1421956.00,673249.00,748707.00,147395.00,9363.00,138032.00,10043.00,78638.00,99613.00,27405.00,10491.00,0.00,1878.00,1878.00,0.00,6615.00,4557.00,2058.00,16826.00,36398.00,22603.00,1993.00,11802.00,410110.00,340344.00,66680.00,39258.00,234407.00,34219.00,8341.00,575.00,26631.00,1347534.00,547643.00,221502.00,25.26
1977:Q3,1813175.00,1708743.00,1467923.00,698948.00,768975.00,151021.00,9620.00,141401.00,10058.00,79740.00,104432.00,28130.00,11229.00,0.00,2123.00,2123.00,0.00,6805.00,4959.00,1846.00,18221.00,37924.00,23596.00,2011.00,12317.00,421272.00,350362.00,68840.00,40371.00,241151.00,34892.00,8609.00,571.00,26838.00,1391903.00,569287.00,227031.00,25.17
1977:Q4,1873172.00,1762668.00,1512676.00,723900.00,788776.00,153777.00,9927.00,143850.00,10010.00,86205.00,110504.00,28954.00,12127.00,0.00,2412.00,2412.00,0.00,7506.00,5509.00,1997.00,19976.00,39529.00,24627.00,2138.00,12764.00,431590.00,359811.00,70439.00,41385.00,247987.00,35037.00,8871.00,623.00,27248.00,1441582.00,590438.00,231935.00,24.96
1978:Q1,1950482.00,1835224.00,1567899.00,747044.00,820855.00,159957.00,10205.00,149752.00,10699.00,96669.00,115259.00,29752.00,12665.00,0.00,2732.00,2732.00,0.00,7489.00,6006.00,1483.00,21559.00,41062.00,25694.00,2217.00,13151.00,444535.00,370564.00,72859.00,43470.00,254235.00,35571.00,8965.00,656.00,28779.00,1505947.00,608786.00,240428.00,24.61
1978:Q2,2026090.00,1905538.00,1627929.00,773092.00,854837.00,164544.00,10533.00,154011.00,11058.00,102007.00,120552.00,30560.00,13327.00,0.00,3001.00,3001.00,0.00,7910.00,6563.00,1347.00,23113.00,42641.00,26824.00,2333.00,13485.00,462888.00,387212.00,77792.00,46934.00,262486.00,36474.00,9130.00,696.00,29376.00,1563202.00,628709.00,248997.00,24.77
1978:Q3,2097357.00,1971250.00,1685332.00,798406.00,886926.00,169416.00,10899.00,158517.00,11190.00,105312.00,126106.00,31385.00,14299.00,0.00,3143.00,3143.00,0.00,8476.00,7273.00,1203.00,24594.00,44209.00,27968.00,2428.00,13814.00,480973.00,403622.00,82437.00,49789.00,271396.00,37584.00,9470.00,744.00,29553.00,1616383.00,647413.00,255784.00,24.97
1978:Q4,2171170.00,2038873.00,1742627.00,823173.00,919454.00,174002.00,11294.00,162708.00,10959.00,111284.00,132297.00,32227.00,15522.00,0.00,3184.00,3184.00,0.00,9572.00,8114.00,1458.00,26018.00,45775.00,29075.00,2514.00,14186.00,498116.00,418206.00,85961.00,51893.00,280351.00,38623.00,9951.00,848.00,30488.00,1673054.00,666480.00,262710.00,25.00
1979:Q1,2262580.00,2124738.00,1806495.00,848519.00,957976.00,179697.00,11681.00,168016.00,11442.00,127103.00,137843.00,32981.00,17001.00,0.00,3192.00,3192.00,0.00,9922.00,8970.00,952.00,27421.00,47326.00,30145.00,2576.00,14604.00,515330.00,430838.00,89249.00,54256.00,287333.00,40543.00,10517.00,955.00,32477.00,1747250.00,685048.00,273831.00,24.66
1979:Q2,2356705.00,2213103.00,1884492.00,886757.00,997735.00,186723.00,12010.00,174713.00,11861.00,130027.00,143602.00,33724.00,18463.00,0.00,3159.00,3159.00,0.00,10622.00,9771.00,851.00,28676.00,48958.00,31187.00,2698.00,15073.00,543768.00,455969.00,94380.00,59157.00,302432.00,42710.00,11141.00,1062.00,32887.00,1812937.00,713783.00,286050.00,25.15
1979:Q3,2448326.00,2299711.00,1963854.00,925259.00,1038595.00,193396.00,12334.00,181062.00,12046.00,130415.00,148614.00,34430.00,19882.00,0.00,3024.00,3024.00,0.00,11158.00,10437.00,721.00,29563.00,50557.00,32241.00,2787.00,15529.00,568056.00,476415.00,98714.00,61200.00,316501.00,44870.00,11910.00,1169.00,33693.00,1880269.00,741863.00,297863.00,25.34
1979:Q4,2532189.00,2378705.00,2033457.00,956249.00,1077208.00,202095.00,12745.00,189350.00,12205.00,130948.00,153483.00,35110.00,21269.00,0.00,2805.00,2805.00,0.00,11884.00,11001.00,883.00,30154.00,52261.00,33350.00,3003.00,15908.00,590650.00,492016.00,101694.00,64222.00,326101.00,46885.00,12795.00,1529.00,37425.00,1941538.00,764911.00,306567.00,25.34
1980:Q1,2601981.00,2447160.00,2100244.00,993249.00,1106995.00,205762.00,13203.00,192559.00,12549.00,128605.00,154821.00,35869.00,21537.00,0.00,2635.00,2635.00,0.00,11188.00,10779.00,409.00,30642.00,52951.00,34300.00,3143.00,15507.00,612745.00,509472.00,102154.00,67947.00,339372.00,48603.00,13870.00,1814.00,38986.00,1989236.00,789554.00,315370.00,25.61
1980:Q2,2681699.00,2526303.00,2167109.00,1026808.00,1140301.00,213618.00,13674.00,199944.00,13012.00,132564.00,155395.00,36606.00,21994.00,0.00,2509.00,2509.00,0.00,10992.00,10767.00,225.00,31168.00,52127.00,35236.00,3268.00,13623.00,634023.00,525617.00,102796.00,70245.00,352576.00,50118.00,14768.00,2080.00,41439.00,2047676.00,811144.00,326084.00,25.67
1980:Q3,2766124.00,2607563.00,2237965.00,1061500.00,1176465.00,221329.00,14122.00,207207.00,13510.00,134760.00,158560.00,37289.00,22923.00,0.00,2493.00,2493.00,0.00,11428.00,11278.00,150.00,31791.00,52636.00,36145.00,3359.00,13132.00,652875.00,541012.00,103488.00,72179.00,365346.00,51537.00,15225.00,2399.00,42702.00,2113248.00,832742.00,338030.00,25.60
1980:Q4,2856338.00,2689187.00,2313816.00,1097635.00,1216181.00,227621.00,14512.00,213109.00,13668.00,134082.00,167152.00,37941.00,24231.00,0.00,2564.00,2564.00,0.00,12367.00,12217.00,150.00,32492.00,57557.00,37020.00,3630.00,16906.00,670845.00,555061.00,104594.00,74201.00,376266.00,52581.00,15328.00,3672.00,44203.00,2185494.00,855612.00,353995.00,25.40
1981:Q1,2926514.00,2751702.00,2368252.00,1129556.00,1238696.00,234879.00,14992.00,219887.00,14485.00,134086.00,174812.00,38429.00,24670.00,0.00,2728.00,2728.00,0.00,13981.00,13906.00,75.00,33031.00,61972.00,37821.00,3730.00,20421.00,689095.00,573155.00,106493.00,78543.00,388119.00,54087.00,15036.00,3994.00,42822.00,2237419.00,877189.00,373596.00,25.62
1981:Q2,2987606.00,2804921.00,2410792.00,1152618.00,1258174.00,242218.00,15471.00,226747.00,14898.00,137013.00,182685.00,38959.00,24981.00,0.00,2900.00,2900.00,0.00,15781.00,15731.00,50.00,33808.00,66255.00,38560.00,3885.00,23811.00,708573.00,591751.00,111361.00,83169.00,397221.00,56343.00,14703.00,4319.00,41457.00,2279033.00,891940.00,388926.00,25.96
1981:Q3,3030319.00,2839342.00,2445497.00,1172021.00,1273476.00,247449.00,15935.00,231514.00,15225.00,131171.00,190977.00,39574.00,25276.00,0.00,3091.00,3091.00,0.00,17948.00,17898.00,50.00,35180.00,69908.00,39294.00,4038.00,26576.00,724206.00,605457.00,114801.00,85209.00,405447.00,57776.00,14266.00,4675.00,42032.00,2306113.00,903097.00,400777.00,26.25
1981:Q4,3083139.00,2883149.00,2485585.00,1194394.00,1291191.00,253958.00,16274.00,237684.00,15314.00,128292.00,199990.00,40262.00,25700.00,0.00,3298.00,3298.00,0.00,20364.00,20339.00,25.00,37028.00,73338.00,40079.00,4293.00,28966.00,739975.00,619777.00,115997.00,85315.00,418465.00,58628.00,13744.00,4930.00,42896.00,2343165.00,917778.00,411190.00,26.45
1982:Q1,3129967.00,2928206.00,2524606.00,1220457.00,1304149.00,253163.00,16678.00,236485.00,15420.00,135017.00,201761.00,40582.00,26211.00,0.00,3080.00,3080.00,0.00,21893.00,21868.00,25.00,38721.00,71274.00,40958.00,4482.00,25834.00,759633.00,631402.00,114722.00,85980.00,430700.00,59292.00,13774.00,5156.00,50009.00,2370334.00,931580.00,422727.00,26.64
1982:Q2,3169439.00,2965400.00,2554070.00,1248779.00,1305291.00,257049.00,17054.00,239995.00,15596.00,138686.00,204039.00,41153.00,26769.00,0.00,2945.00,2945.00,0.00,23247.00,23247.00,0.00,40591.00,69334.00,42068.00,4439.00,22827.00,788037.00,650037.00,114130.00,88515.00,447393.00,61728.00,13941.00,5412.00,56919.00,2381402.00,946117.00,431332.00,27.30
1982:Q3,3191700.00,2984044.00,2575496.00,1267600.00,1307896.00,260725.00,17296.00,243429.00,15923.00,131900.00,207656.00,42335.00,27392.00,0.00,3014.00,3014.00,0.00,24252.00,24252.00,0.00,42703.00,67959.00,42987.00,4528.00,20445.00,814341.00,667117.00,112249.00,89527.00,465341.00,63095.00,14450.00,5771.00,63908.00,2377358.00,954010.00,439194.00,28.06
