1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,5612.00,0.00,0.00,0.00,0.00,2908.00,0.00,1000.00,136.00,-420.00,2192.00,424.00,264.00,0.00,2016.00,2016.00,0.00,5612.00
1964:Q3,5804.00,0.00,0.00,0.00,0.00,1976.00,0.00,364.00,-24.00,-392.00,2028.00,460.00,280.00,0.00,3088.00,3088.00,0.00,5804.00
1964:Q4,5968.00,-8.00,0.00,0.00,0.00,1496.00,0.00,-144.00,48.00,-364.00,1956.00,532.00,300.00,0.00,3648.00,3648.00,0.00,5968.00
1965:Q1,6011.00,0.00,0.00,0.00,0.00,3196.00,0.00,1548.00,-20.00,-320.00,1988.00,604.00,320.00,0.00,1891.00,1891.00,0.00,6012.00
1965:Q2,6263.00,0.00,0.00,0.00,0.00,2540.00,0.00,692.00,20.00,-288.00,2116.00,672.00,332.00,0.00,2719.00,2719.00,0.00,6264.00
1965:Q3,6515.00,4.00,0.00,0.00,0.00,1628.00,0.00,-956.00,416.00,-256.00,2424.00,712.00,360.00,0.00,3811.00,3811.00,0.00,6516.00
1965:Q4,6691.00,20.00,0.00,0.00,0.00,1676.00,0.00,-792.00,28.00,-236.00,2676.00,716.00,396.00,0.00,3883.00,3883.00,0.00,6692.00
1966:Q1,6695.00,32.00,0.00,0.00,0.00,3368.00,0.00,636.00,40.00,-184.00,2876.00,760.00,440.00,0.00,2095.00,2095.00,0.00,6696.00
1966:Q2,6895.00,40.00,0.00,0.00,0.00,2336.00,0.00,-1064.00,480.00,-144.00,3064.00,828.00,476.00,0.00,3215.00,3215.00,0.00,6896.00
1966:Q3,7071.00,56.00,0.00,0.00,0.00,3584.00,0.00,480.00,196.00,-120.00,3028.00,804.00,508.00,0.00,2119.00,2119.00,0.00,7072.00
1966:Q4,7155.00,76.00,0.00,0.00,0.00,2380.00,0.00,-204.00,-76.00,-128.00,2788.00,688.00,528.00,0.00,3483.00,3483.00,0.00,7156.00
1967:Q1,7107.00,156.00,0.00,0.00,0.00,1952.00,0.00,-1260.00,68.00,-80.00,3224.00,660.00,580.00,0.00,3759.00,3759.00,0.00,7108.00
1967:Q2,7359.00,32.00,68.00,0.00,0.00,2700.00,0.00,-616.00,300.00,-76.00,3092.00,664.00,576.00,0.00,3319.00,3319.00,0.00,7360.00
1967:Q3,7723.00,-136.00,208.00,0.00,0.00,2932.00,0.00,-1352.00,60.00,-72.00,4296.00,312.00,760.00,0.00,3647.00,3647.00,0.00,7724.00
1967:Q4,8111.00,-312.00,368.00,0.00,0.00,3796.00,0.00,-572.00,104.00,-72.00,4336.00,312.00,764.00,0.00,3183.00,3183.00,0.00,8112.00
1968:Q1,8466.00,248.00,-212.00,0.00,0.00,2164.00,0.00,216.00,-108.00,124.00,1932.00,580.00,1080.00,0.00,4606.00,4606.00,0.00,8468.00
1968:Q2,8926.00,152.00,-132.00,0.00,0.00,3124.00,0.00,-396.00,1080.00,-260.00,2700.00,484.00,1172.00,0.00,4126.00,4126.00,0.00,8928.00
1968:Q3,9462.00,104.00,284.00,0.00,0.00,3036.00,0.00,-388.00,440.00,48.00,2936.00,24.00,1284.00,0.00,4730.00,4730.00,0.00,9464.00
1968:Q4,9850.00,-208.00,336.00,0.00,0.00,3680.00,0.00,-408.00,1088.00,-8.00,3008.00,348.00,1732.00,0.00,3962.00,3962.00,0.00,9852.00
1969:Q1,9974.00,480.00,-712.00,0.00,0.00,3184.00,0.00,-284.00,108.00,16.00,3344.00,256.00,1208.00,0.00,5558.00,5558.00,0.00,9976.00
1969:Q2,10386.00,-728.00,364.00,0.00,0.00,3792.00,0.00,-140.00,112.00,-72.00,3892.00,196.00,2120.00,0.00,4642.00,4642.00,0.00,10388.00
1969:Q3,10774.00,56.00,272.00,0.00,0.00,4400.00,0.00,-476.00,348.00,-80.00,4608.00,300.00,1720.00,0.00,4026.00,4026.00,0.00,10776.00
1969:Q4,11034.00,-80.00,-164.00,0.00,0.00,3084.00,0.00,-1036.00,56.00,-68.00,4132.00,100.00,2104.00,0.00,5990.00,5990.00,0.00,11036.00
1970:Q1,11066.00,-292.00,-128.00,0.00,0.00,3840.00,0.00,-408.00,104.00,-92.00,4236.00,300.00,1896.00,0.00,5450.00,5450.00,0.00,11068.00
1970:Q2,11506.00,280.00,284.00,0.00,0.00,3320.00,0.00,-624.00,68.00,-596.00,4472.00,632.00,2244.00,0.00,4746.00,4746.00,0.00,11508.00
1970:Q3,12030.00,-128.00,-168.00,0.00,0.00,5332.00,0.00,380.00,-132.00,-104.00,5188.00,-76.00,1520.00,0.00,5550.00,5550.00,0.00,12032.00
1970:Q4,12522.00,456.00,184.00,0.00,0.00,2664.00,0.00,-680.00,-340.00,-404.00,4088.00,524.00,2888.00,0.00,5806.00,5806.00,0.00,12524.00
1971:Q1,12807.00,-144.00,80.00,0.00,0.00,3704.00,0.00,-896.00,-308.00,32.00,4876.00,396.00,2768.00,0.00,6003.00,6003.00,0.00,12808.00
1971:Q2,13587.00,272.00,-212.00,0.00,0.00,3032.00,0.00,-1816.00,-56.00,8.00,4896.00,604.00,3052.00,0.00,6839.00,6839.00,0.00,13588.00
1971:Q3,14451.00,120.00,-24.00,0.00,0.00,2556.00,0.00,-220.00,192.00,32.00,2552.00,32.00,3844.00,0.00,7923.00,7923.00,0.00,14452.00
1971:Q4,15199.00,392.00,-104.00,0.00,0.00,2332.00,0.00,-1900.00,384.00,408.00,3440.00,440.00,3076.00,0.00,9063.00,9063.00,0.00,15200.00
1972:Q1,15723.00,620.00,-436.00,0.00,0.00,4240.00,0.00,-1052.00,496.00,308.00,4488.00,84.00,2052.00,0.00,9163.00,9163.00,0.00,15724.00
