1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,329.00,138.00,6580.00,0.00,0.00,1052.00,0.00,308.00,744.00,0.00,0.00,5456.00,0.00,452.00,5004.00,0.00,72.00,6324.00,568.00,5760.00,8.00,5752.00,0.00,0.00,0.00,-4.00,-65.00
1976:Q1,421.00,153.00,6224.00,0.00,0.00,800.00,0.00,220.00,580.00,0.00,0.00,5736.00,0.00,584.00,5152.00,0.00,-312.00,5988.00,152.00,5856.00,228.00,5628.00,0.00,0.00,0.00,-20.00,32.00
1976:Q2,468.00,157.00,6560.00,0.00,0.00,672.00,0.00,172.00,500.00,0.00,0.00,5952.00,0.00,-76.00,6028.00,0.00,-64.00,6296.00,820.00,5484.00,188.00,5296.00,0.00,0.00,0.00,-8.00,47.00
1976:Q3,515.00,163.00,7168.00,0.00,0.00,528.00,0.00,140.00,388.00,0.00,0.00,6860.00,0.00,1064.00,5796.00,0.00,-220.00,6816.00,1656.00,5156.00,204.00,4952.00,0.00,0.00,0.00,4.00,0.00
1976:Q4,546.00,169.00,6128.00,0.00,0.00,552.00,0.00,132.00,420.00,0.00,0.00,5492.00,0.00,456.00,5036.00,0.00,84.00,5824.00,-1660.00,7472.00,208.00,7264.00,0.00,0.00,0.00,12.00,73.00
1977:Q1,546.00,180.00,6752.00,0.00,0.00,648.00,0.00,140.00,508.00,0.00,0.00,6716.00,0.00,588.00,6128.00,0.00,-612.00,7028.00,-980.00,7260.00,316.00,6944.00,0.00,0.00,0.00,748.00,642.00
1977:Q2,562.00,187.00,7380.00,0.00,0.00,436.00,0.00,164.00,272.00,0.00,0.00,6860.00,0.00,-532.00,7392.00,0.00,84.00,7636.00,272.00,6732.00,384.00,6348.00,0.00,0.00,0.00,632.00,631.00
1977:Q3,581.00,194.00,7348.00,0.00,0.00,380.00,0.00,96.00,284.00,0.00,0.00,7228.00,0.00,916.00,6312.00,0.00,-260.00,7552.00,-644.00,7776.00,380.00,7396.00,0.00,0.00,0.00,420.00,591.00
1977:Q4,614.00,205.00,6644.00,0.00,0.00,368.00,0.00,-76.00,444.00,0.00,0.00,6140.00,0.00,228.00,5912.00,0.00,136.00,6876.00,-2560.00,8996.00,340.00,8656.00,0.00,0.00,0.00,440.00,641.00
1978:Q1,667.00,246.00,8072.00,0.00,0.00,-60.00,0.00,-680.00,620.00,0.00,0.00,8112.00,0.00,776.00,7336.00,0.00,20.00,7844.00,-1720.00,9028.00,436.00,8496.00,96.00,0.00,0.00,536.00,193.00
