1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,10642.00,10642.00,10642.00,12339.00,13527.00,-1188.00,-1697.00,-316.00,920.00,0.00,0.00,0.00,0.00,0.00,1036.00,0.00,1036.00,-2476.00,204.00,192.00,12.00,0.00,1381.00,2667.00,1272.00,395.00,1000.00,-1700.00,0.00,4.00,0.00,410.00
1958:Q1,10783.00,10783.00,10783.00,15420.00,13544.00,1876.00,-4637.00,5092.00,1536.00,0.00,0.00,0.00,0.00,0.00,-1600.00,0.00,-1600.00,4956.00,200.00,192.00,8.00,0.00,9729.00,1683.00,-312.00,511.00,1484.00,5052.00,0.00,8.00,0.00,2987.00
1958:Q2,10897.00,10897.00,10897.00,14959.00,13697.00,1262.00,-4062.00,2268.00,2232.00,0.00,0.00,0.00,0.00,0.00,288.00,0.00,288.00,-404.00,152.00,152.00,0.00,0.00,6330.00,3935.00,812.00,11.00,3112.00,500.00,0.00,8.00,0.00,1887.00
1958:Q3,10998.00,10998.00,10998.00,16297.00,14172.00,2125.00,-5299.00,3680.00,1920.00,0.00,0.00,0.00,0.00,0.00,136.00,0.00,136.00,1432.00,192.00,152.00,40.00,0.00,8979.00,4593.00,248.00,453.00,3892.00,1156.00,0.00,8.00,0.00,3222.00
1958:Q4,11078.00,11078.00,11078.00,17115.00,15185.00,1930.00,-6037.00,-12.00,600.00,0.00,0.00,0.00,0.00,0.00,1180.00,0.00,1180.00,-1988.00,196.00,180.00,16.00,0.00,6025.00,4987.00,1472.00,691.00,2824.00,-2412.00,0.00,8.00,0.00,3442.00
1959:Q1,11139.00,11139.00,11139.00,15239.00,15303.00,-64.00,-4100.00,1332.00,-660.00,0.00,0.00,0.00,0.00,0.00,-1068.00,0.00,-1068.00,2808.00,252.00,232.00,20.00,0.00,5432.00,5654.00,492.00,1006.00,4156.00,2696.00,0.00,8.00,0.00,-2925.00
1959:Q2,11192.00,11192.00,11192.00,14561.00,15964.00,-1403.00,-3369.00,-3248.00,-1968.00,0.00,0.00,0.00,0.00,0.00,532.00,0.00,532.00,-2092.00,280.00,272.00,8.00,0.00,121.00,7812.00,1288.00,588.00,5936.00,24.00,0.00,12.00,0.00,-7727.00
1959:Q3,11236.00,11236.00,11236.00,14057.00,16105.00,-2048.00,-2821.00,-1660.00,-2248.00,0.00,0.00,0.00,0.00,0.00,-100.00,0.00,-100.00,368.00,320.00,272.00,48.00,0.00,1161.00,6709.00,1216.00,349.00,5144.00,1268.00,0.00,12.00,0.00,-6828.00
1959:Q4,11271.00,11271.00,11271.00,14149.00,15588.00,-1439.00,-2878.00,-4988.00,-1520.00,0.00,0.00,0.00,0.00,0.00,1924.00,0.00,1924.00,-5656.00,264.00,244.00,20.00,0.00,-2110.00,4098.00,1224.00,134.00,2740.00,-5628.00,0.00,12.00,0.00,-592.00
1960:Q1,11291.00,11291.00,11291.00,18700.00,15550.00,3150.00,-7409.00,3020.00,-1036.00,0.00,0.00,0.00,0.00,0.00,-2244.00,0.00,-2244.00,6084.00,216.00,192.00,24.00,0.00,10429.00,4413.00,548.00,513.00,3352.00,6212.00,0.00,4.00,0.00,-200.00
