date,FA153050005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA153050005.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6555.00,400.00,1380.00,3892.00,883.00,6555.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,6558.00,500.00,1517.00,3435.00,1106.00,6558.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,6948.00,600.00,1364.00,3633.00,1351.00,6948.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q1,56348.00,2612.00,19584.00,23084.00,11068.00,56348.00,ND,ND,ND,ND,ND,ND,ND
1970:Q2,57632.00,2604.00,18788.00,24732.00,11508.00,57632.00,ND,ND,ND,ND,ND,ND,ND
1970:Q3,59004.00,2876.00,17852.00,26244.00,12032.00,59004.00,ND,ND,ND,ND,ND,ND,ND
1970:Q4,60372.00,3440.00,17164.00,27244.00,12524.00,60372.00,ND,ND,ND,ND,ND,ND,ND
1971:Q1,59920.00,4200.00,15496.00,27416.00,12808.00,59920.00,ND,ND,ND,ND,ND,ND,ND
1971:Q2,62604.00,4748.00,15940.00,28328.00,13588.00,62604.00,ND,ND,ND,ND,ND,ND,ND
1971:Q3,65592.00,4900.00,17112.00,29128.00,14452.00,65592.00,ND,ND,ND,ND,ND,ND,ND
1971:Q4,68148.00,4632.00,18784.00,29532.00,15200.00,68148.00,ND,ND,ND,ND,ND,ND,ND
1972:Q1,72860.00,4332.00,23252.00,29552.00,15724.00,72860.00,ND,ND,ND,ND,ND,ND,ND
1972:Q2,77532.00,3976.00,27408.00,29864.00,16284.00,77532.00,ND,ND,ND,ND,ND,ND,ND
1972:Q3,80164.00,4220.00,28600.00,30512.00,16832.00,80164.00,ND,ND,ND,ND,ND,ND,ND
1972:Q4,78104.00,5032.00,25216.00,30840.00,17016.00,78104.00,ND,ND,ND,ND,ND,ND,ND
1973:Q1,75600.00,4916.00,23472.00,30484.00,16728.00,75600.00,ND,ND,ND,ND,ND,ND,ND
1973:Q2,74724.00,5420.00,21192.00,31112.00,17000.00,74724.00,ND,ND,ND,ND,ND,ND,ND
1973:Q3,77152.00,5996.00,22084.00,31708.00,17364.00,77152.00,ND,ND,ND,ND,ND,ND,ND
1973:Q4,80336.00,6648.00,24080.00,31916.00,17692.00,80336.00,ND,ND,ND,ND,ND,ND,ND
1974:Q1,79656.00,5264.00,25236.00,31384.00,17772.00,79656.00,ND,ND,ND,ND,ND,ND,ND
1974:Q2,83440.00,6172.00,26820.00,31856.00,18592.00,83440.00,ND,ND,ND,ND,ND,ND,ND
1974:Q3,87348.00,6436.00,29020.00,32308.00,19584.00,87348.00,ND,ND,ND,ND,ND,ND,ND
1974:Q4,86692.00,6060.00,27784.00,32400.00,20448.00,86692.00,ND,ND,ND,ND,ND,ND,ND
1975:Q1,88704.00,8336.00,27840.00,31784.00,20744.00,88704.00,ND,ND,ND,ND,ND,ND,ND
1975:Q2,92020.00,7440.00,30864.00,32252.00,21464.00,92020.00,ND,ND,ND,ND,ND,ND,ND
1975:Q3,97128.00,8224.00,34356.00,32764.00,21784.00,97128.00,ND,ND,ND,ND,ND,ND,ND
1975:Q4,96500.00,10652.00,31380.00,32976.00,21492.00,96500.00,ND,ND,ND,ND,ND,ND,ND
1976:Q1,94712.00,12880.00,28108.00,32868.00,20856.00,94712.00,ND,ND,ND,ND,ND,ND,ND
1976:Q2,92512.00,15024.00,23720.00,33152.00,20616.00,92512.00,ND,ND,ND,ND,ND,ND,ND
1976:Q3,102796.00,16024.00,31920.00,33844.00,21008.00,102796.00,ND,ND,ND,ND,ND,ND,ND
1976:Q4,105292.00,15876.00,33536.00,34260.00,21620.00,105292.00,ND,ND,ND,ND,ND,ND,ND
1977:Q1,109612.00,15512.00,38016.00,34108.00,21976.00,109612.00,ND,ND,ND,ND,ND,ND,ND
1977:Q2,103384.00,16188.00,28736.00,35384.00,23076.00,103384.00,ND,ND,ND,ND,ND,ND,ND
1977:Q3,116632.00,17280.00,38244.00,37092.00,24016.00,116632.00,ND,ND,ND,ND,ND,ND,ND
1977:Q4,112320.00,18308.00,30780.00,38748.00,24484.00,112320.00,ND,ND,ND,ND,ND,ND,ND
1978:Q1,126036.00,18396.00,43764.00,39572.00,24304.00,126036.00,ND,ND,ND,ND,ND,ND,ND
1978:Q2,117224.00,19232.00,31536.00,41496.00,24960.00,117224.00,ND,ND,ND,ND,ND,ND,ND
1978:Q3,123972.00,19552.00,35612.00,43012.00,25796.00,123972.00,ND,ND,ND,ND,ND,ND,ND
1978:Q4,121916.00,19352.00,32464.00,43568.00,26532.00,121916.00,ND,ND,ND,ND,ND,ND,ND
1979:Q1,114264.00,19124.00,25592.00,42832.00,26716.00,114264.00,ND,ND,ND,ND,ND,ND,ND
1979:Q2,118340.00,18848.00,28420.00,43372.00,27700.00,118340.00,ND,ND,ND,ND,ND,ND,ND
1979:Q3,129712.00,19248.00,38024.00,43936.00,28504.00,129712.00,ND,ND,ND,ND,ND,ND,ND
1979:Q4,156736.00,20324.00,63476.00,44136.00,28800.00,156736.00,ND,ND,ND,ND,ND,ND,ND
